mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
76	76	1/2	1/2	3/4	2	1	V7(9)				B	I		V7(9)		V		7	9				Mm7	0	0	6, 10, 7, 4	8	6	6	0	5	0.0	0.0	1.25	0.0
77	77	0	0	3/4	2	1	I				B	I		I		I							M	0	0	5, 9, 6		5	5	4	11	0.26666666666666666	0.5	2.375	0.17391304347826086
78	78	0	0	3/4	2	1	#viio2/iii				B	I		#viio2/iii		#vii	o	2		iii			o7	0	0	5, 14, 11, 8		14	5	0	9	0.0	0.0	1.875	0.0
78	78	1/2	1/2	3/4	2	1	I				B	I		I		I							M	0	0	5, 9, 6		5	5	0	6	0.0	0.0	1.5	0.0
79	79	0	0	3/4	2	1	IV				B	I		IV		IV							M	0	0	4, 8, 5		4	4	2	15	0.11764705882352941	0.25	2.625	0.08695652173913043
80	80	0	0	3/4	2	1	#viio2/iii				B	I		#viio2/iii		#vii	o	2		iii			o7	0	0	5, 14, 11, 8		14	5	0	9	0.0	0.0	1.8125	0.0
80	80	1/2	1/2	3/4	2	1	I				B	I		I		I							M	0	0	5, 9, 6		5	5	0	6	0.0	0.0	1.5	0.0
81	81	0	0	3/4	2	1	V7(9)				B	I		V7(9)		V		7	9				Mm7	0	0	6, 10, 7, 4	8	6	6	0	12	0.0	0.0	2.5	0.0
81	81	1/2	1/2	3/4	2	1	V(6)				B	I		V(6)		V			6				M	0	0	6, 10, 9		6	6	1	4	0.2	0.0	0.625	0.0
81	81	5/8	5/8	3/4	2	1	V7				B	I		V7		V		7					Mm7	0	0	6, 10, 7, 4		6	6	0	2	0.0	0.0	0.25	0.0
82	82	0	0	3/4	2	1	vi(9#4)				B	I		vi(9#4)		vi			9#4				m	0	0	8, 5, 14	10	8	8	2	7	0.2222222222222222	0.3125	1.5	0.1724137931034483
82	82	1/2	1/2	3/4	2	1	vi7				B	I		vi7		vi		7					mm7	0	0	8, 5, 9, 6		8	8	0	6	0.0	0.0	1.5	0.0
83	83	0	0	3/4	2	1	V7(9)/V				B	I		V7(9)/V		V		7	9	V			Mm7	0	0	7, 11, 8, 5	9	7	7	0	7	0.0	0.0	1.5	0.0
