mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
14	14	39	0.5		0	0	3/4	1	1	1/8		1/8	1		0	72	C5	5	98
14	14	79/2	0.5		1/8	1/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	99
14	14	40	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	51	Eb3	3	103
14	14	40	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		1	55	G3	3	103
14	14	40	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	103
14	14	40	1.5		1/4	1/4	3/4	1	1	3/8		1/4	3/2		-3	75	Eb5	5	100
14	14	41	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-3	51	Eb3	3	104
14	14	41	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-6	54	Gb3	3	104
14	14	41	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	104
14	14	83/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	101
15	15	42	1.0		0	0	3/4	2	1	1/4		1/4	1		-1	41	F2	2	111
15	15	42	0.5		0	0	3/4	1	1	1/8		1/8	1		3	69	A4	4	105
15	15	171/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		1	79	G5	5	106
15	15	43	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	112
15	15	43	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	112
15	15	43	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	112
15	15	43	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		-1	77	F5	5	107
15	15	87/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	108
15	15	44	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	113
15	15	44	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	113
15	15	44	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	113
15	15	44	0.5		1/2	1/2	3/4	1	1	1/8		1/8	1		-3	75	Eb5	5	109
15	15	89/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		3	69	A4	4	110
16	16		1.0	1	0	0	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	119
16	16		0.3333333333333333	1	0	0	3/4	1	1	1/12		1/8	2/3		-2	70	Bb4	4	114
16	16		0.3333333333333333	1	1/12	1/12	3/4	1	1	1/12		1/8	2/3		-2	70	Bb4	4	115
16	16		0.3333333333333333	1	1/6	1/6	3/4	1	1	1/12		1/8	2/3		-2	70	Bb4	4	116
16	16		1.0	1	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	120
16	16		1.0	1	1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	120
16	16		1.0	1	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	120
16	16		0.5	1	1/4	1/4	3/4	1	1	1/8		1/8	1		-2	82	Bb5	5	117
16	16		1.0	1	1/2	1/2	3/4	1	1	1/4		1/4	1		1	67	G4	4	118
17	16	45	1.0	2	0	0	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	126
17	16	45	0.3333333333333333	2	0	0	3/4	1	1	1/12		1/8	2/3		-2	70	Bb4	4	121
17	16	136/3	0.3333333333333333	2	1/12	1/12	3/4	1	1	1/12		1/8	2/3		-2	70	Bb4	4	122
17	16	137/3	0.3333333333333333	2	1/6	1/6	3/4	1	1	1/12		1/8	2/3		-2	70	Bb4	4	123
17	16	46	1.0	2	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	127
17	16	46	1.0	2	1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	127
17	16	46	1.0	2	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	127
17	16	46	0.5	2	1/4	1/4	3/4	1	1	1/8		1/8	1		-2	82	Bb5	5	124
17	16	47	1.0	2	1/2	1/2	3/4	1	1	1/4		1/4	1		-2	82	Bb5	5	125
18	17	48	1.0		0	0	3/4	2	1	1/4		1/4	1		1	43	G2	2	132
18	17	48	0.5		0	0	3/4	1	1	1/8		1/8	1		-2	94	Bb6	6	128
18	17	195/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		3	93	A6	6	129
18	17	49	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		2	50	D3	3	133
18	17	49	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	133
18	17	49	1.5		1/4	1/4	3/4	1	1	3/8		1/4	3/2		1	91	G6	6	130
18	17	50	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		1	43	G2	2	134
18	17	101/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		-1	89	F6	6	131
19	18	51	1.0		0	0	3/4	2	1	1/4		1/4	1		0	48	C3	3	140
19	18	51	0.75		0	0	3/4	1	1	3/16		1/8	3/2		-3	87	Eb6	6	135
19	18	207/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		-1	89	F6	6	136
