mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin	crescendo_line	pedal
31	30	87	87	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	224				34				
31	30	175/2	175/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	225				34				
31	30	88	88	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	226		ornamentTrill		34				
31	30	89	89	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	227				34				
31	30	179/2	179/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	228				34				
31	30	87	87	0.0		0	0	Spanner	3/4	2	1	0												
31	30	87	87	0.0		0	0	Spanner	3/4	2	1	0												16
31	30	87	87	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	229		articStaccatoBelow						16
31	30	88	88	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	230		articStaccatoAbove						16
31	30	89	89	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	231		articStaccatoBelow						16
32	31	90	90	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	232				34				
32	31	181/2	181/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	233				34				
32	31	91	91	0.0		1/4	1/4	Spanner	3/4	1	1	0									5			
32	31	91	91	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	234					5			
32	31	92	92	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	235				35	5			
32	31	185/2	185/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	236				35	5			
32	31	90	90	0.0		0	0	Spanner	3/4	2	1	0												17
32	31	90	90	0.0		0	0	Spanner	3/4	2	1	0												17
32	31	90	90	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	237		articStaccatoAbove						17
32	31	91	91	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	238		articStaccatoBelow						17
32	31	92	92	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	239								17
33	32	93	93	0.0		0	0	StaffText	3/4	1	1	0							poco rall.	35				
33	32	93	93	0.0		0	0	Spanner	3/4	1	1	0								35				
33	32	93	93	0.0		0	0	Spanner	3/4	1	1	0								35		14		
33	32	93	93	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	240				35		14		
33	32	280/3	280/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	241				35		14		
33	32	281/3	281/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	242				35		14		
33	32	94	94	0.0		1/4	1/4	Spanner	3/4	1	1	0												
33	32	94	94	0.75		1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	243		articMarcatoAbove						
33	32	379/4	379/4	0.0		7/16	7/16	StaffText	3/4	1	1	0							a tempo					
33	32	379/4	379/4	0.0		7/16	7/16	Spanner	3/4	1	1	0									6			
33	32	379/4	379/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	244				36	6			
33	32	95	95	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	245					6			
33	32	286/3	286/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	246				37	6			
33	32	287/3	287/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	247					6			
33	32	93	93	0.0		0	0	Spanner	3/4	2	1	0												
33	32	93	93	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	248				38				
33	32	94	94	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	249								
34	33	96	96	0.0		0	0	Dynamic	3/4	1	1	0					f				6			
34	33	96	96	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	250					6			
34	33	96	96	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	251					6			
34	33	193/2	193/2	0.0		1/8	1/8	Spanner	3/4	1	1	0												
34	33	387/4	387/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	252								
34	33	97	97	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	253				39				
34	33	98	98	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	254				39				
34	33	96	96	0.0		0	0	StaffText	3/4	2	1	0							Ped. come sopra					
34	33	96	96	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	255								
34	33	97	97	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	256								
34	33	98	98	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	257								
35	34	99	99	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	258								
35	34	399/4	399/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	259				40				
35	34	100	100	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	260				40				
35	34	101	101	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	261				40				
35	34	203/2	203/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	262				40				
35	34	99	99	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	263								
35	34	100	100	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	264								
35	34	101	101	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	265								
36	35	102	102	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	266								
36	35	411/4	411/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	267				41				
36	35	103	103	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	268		ornamentTrill		41				
36	35	104	104	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	269				41				
36	35	209/2	209/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	270				41				
36	35	102	102	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	271								
36	35	103	103	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	272								
37	36	105	105	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	273								
37	36	105	105	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	274		articStaccatissimoAbove						
37	36	423/4	423/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										15		
37	36	423/4	423/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	275				42		15		
37	36	106	106	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	276						15		
37	36	105	105	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	277								
37	36	106	106	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	278								
37	36	107	107	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	279								
38	37	108	108	0.0		0	0	Spanner	3/4	1	1	0												
38	37	108	108	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	280								
38	37	108	108	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	281		articStaccatissimoAbove						
38	37	435/4	435/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										16		
38	37	435/4	435/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	282				43		16		
38	37	109	109	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	283						16		
38	37	108	108	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	284								
38	37	109	109	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	285								
38	37	110	110	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	286								
39	38	111	111	0.0		0	0	Spanner	3/4	1	1	0												
39	38	111	111	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	287								
39	38	111	111	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	288		articStaccatissimoAbove						
39	38	447/4	447/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										17		
39	38	447/4	447/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	289				44		17		
39	38	112	112	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	290				45		17		
39	38	111	111	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	291								
39	38	112	112	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	292								
39	38	113	113	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	293								
40	39	114	114	0.0		0	0	Spanner	3/4	1	1	0												
40	39	114	114	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	294								
40	39	459/4	459/4	0.0		3/16	3/16	Spanner	3/4	1	1	0									7			
40	39	459/4	459/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	295				46	7			
40	39	115	115	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	296				46	7			
40	39	231/2	231/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	297				46	7			
40	39	116	116	0.0		1/2	1/2	Spanner	3/4	1	1	0												
40	39	116	116	0.0		1/2	1/2	Spanner	3/4	1	1	0										18		
40	39	116	116	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	298						18		
40	39	467/4	467/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	299						18		
40	39	114	114	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	300								
40	39	115	115	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	301								
40	39	116	116	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	302								
41	40	117	117	0.0		0	0	Spanner	3/4	1	1	0												
41	40	117	117	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	303								
41	40	117	117	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	304								
41	40	471/4	471/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										19		
41	40	471/4	471/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	305				47		19		
41	40	118	118	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	306		ornamentShortTrill		47		19		
41	40	237/2	237/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	307				47		19		
41	40	119	119	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	308						19		
41	40	117	117	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	309								
41	40	118	118	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	310								
41	40	119	119	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	311								
42	41	120	120	0.0		0	0	Spanner	3/4	1	1	0												
42	41	120	120	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	312								
42	41	120	120	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	313		articStaccatissimoAbove						
42	41	483/4	483/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										20		
42	41	483/4	483/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	314				48		20		
42	41	121	121	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	315						20		
42	41	120	120	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	316								
42	41	121	121	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	317								
42	41	122	122	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	318								
43	42	123	123	0.0		0	0	Spanner	3/4	1	1	0												
43	42	123	123	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	319								
43	42	123	123	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	320								
43	42	123	123	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	321		articStaccatissimoAbove						
43	42	495/4	495/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										21		
43	42	495/4	495/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	322				49		21		
43	42	124	124	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	323				50		21		
43	42	123	123	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	324								
43	42	124	124	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	325								
43	42	125	125	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	326								
44	43	126	126	0.0		0	0	Spanner	3/4	1	1	0												
44	43	126	126	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	327								
44	43	507/4	507/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	328				51				
44	43	127	127	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	329				51				
44	43	255/2	255/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	330				51				
44	43	128	128	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	331				51				
44	43	257/2	257/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	332				51				
44	43	126	126	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	333								
44	43	127	127	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	334								
44	43	128	128	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	335								
45	44	129	129	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	336		articStaccatoBelow						
45	44	519/4	519/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										22		
45	44	519/4	519/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	337				52		22		
45	44	130	130	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	338						22		
45	44	129	129	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	339								
45	44	130	130	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	340								
46	44	131	131	0.0		0	1/2	Spanner	3/4	1	1	0												
46	44	131	131	1.0		0	1/2	Chord	3/4	2	1	1/4		1/4	1	341								
47	45	132	132	0.0		0	0	Dynamic	3/4	1	1	0					pp							
47	45	132	132	0.0		0	0	StaffText	3/4	1	1	0							sotto voce					
47	45	132	132	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	342		articStaccatoAbove						
47	45	531/4	531/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	343				53				
47	45	133	133	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	344				53				
47	45	134	134	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	345				53				
47	45	269/2	269/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	346				53				
47	45	132	132	0.0		0	0	Spanner	3/4	2	1	0												18
47	45	132	132	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	347		articStaccatoBelow		54				18
47	45	133	133	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	348		articStaccatoBelow		54				18
47	45	134	134	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	349		articStaccatoBelow						18
48	46	135	135	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	350								
48	46	543/4	543/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	351				55				
48	46	136	136	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	352		ornamentShortTrill		55				
48	46	137	137	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	353								
48	46	551/4	551/4	0.0		11/16	11/16	Spanner	3/4	1	1	0									8			
48	46	551/4	551/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	354				56	8			
48	46	135	135	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	355								18
48	46	136	136	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	356								18
48	46	137	137	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	357								18
49	47	138	138	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	358		articStaccatoAbove			8			
49	47	277/2	277/2	0.0		1/8	1/8	Spanner	3/4	1	1	0												
49	47	555/4	555/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	359				57				
49	47	139	139	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	360				57				
49	47	140	140	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	361				57				
49	47	281/2	281/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	362								
49	47	138	138	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	363								18
49	47	139	139	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	364								18
49	47	140	140	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	365								18
50	48	141	141	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	366				58				
50	48	424/3	424/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	367				58				
50	48	425/3	425/3	0.0		1/6	1/6	Spanner	3/4	1	1	0										23		
50	48	425/3	425/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	368						23		
50	48	142	142	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	369				59		23		
50	48	141	141	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	370								18
50	48	142	142	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	371								18
50	48	143	143	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	372								18
51	49	144	144	0.0		0	0	StaffText	3/4	1	1	0							rubato					
51	49	144	144	0.0		0	0	Spanner	3/4	1	1	0												
51	49	144	144	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	373		articStaccatissimoAbove						
51	49	579/4	579/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	374				60				
51	49	145	145	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	375				60				
51	49	146	146	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	376				60				
51	49	293/2	293/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	377				60				
51	49	144	144	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	378								18
51	49	145	145	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	379								18
51	49	146	146	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	380								18
52	50	147	147	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	381								
52	50	591/4	591/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	382				61				
52	50	148	148	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	383		ornamentTrill		61				
52	50	149	149	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	384								
52	50	599/4	599/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	385				62				
52	50	147	147	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	386								18
52	50	148	148	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	387								18
52	50	149	149	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	388								18
53	51	150	150	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	389		articStaccatoAbove						
53	51	603/4	603/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	390				63				
53	51	151	151	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	391				63				
53	51	152	152	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	392				63				
53	51	611/4	611/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	393				63				
53	51	150	150	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	394								18
53	51	151	151	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	395		articAccentBelow						18
53	51	152	152	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	396								18
54	52	153	153	0.0		0	0	StaffText	3/4	1	1	0							poco rall	63				
54	52	153	153	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	397				63				
54	52	460/3	460/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	398				63				
54	52	461/3	461/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	399				63				
54	52	154	154	0.0		1/4	1/4	Spanner	3/4	1	1	0								63		24		
54	52	154	154	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	400				63		24		
54	52	311/2	311/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	401				63		24		
54	52	153	153	0.0		0	0	Spanner	3/4	2	1	0												
54	52	153	153	0.0		0	0	Spanner	3/4	2	1	0												19
54	52	153	153	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	402								19
54	52	154	154	0.0		1/4	1/4	Spanner	3/4	2	1	0												
54	52	154	154	0.0		1/4	1/4	Spanner	3/4	2	1	0												20
54	52	154	154	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	403		articAccentAbove						20
54	52	153	153	3.0		0	0	Chord	3/4	2	2	3/4		1/2	3/2	404								20
55	53	156	156	0.0		0	0	Dynamic	3/4	1	1	0					f							
55	53	156	156	0.0		0	0	StaffText	3/4	1	1	0							a tempo					
55	53	156	156	0.0		0	0	Spanner	3/4	1	1	0												
55	53	156	156	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	405								
55	53	627/4	627/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	406				64				
55	53	157	157	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	407				64				
55	53	158	158	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	408				64				
55	53	156	156	0.0		0	0	StaffText	3/4	2	1	0							Ped. come sopra					
55	53	156	156	0.0		0	0	Spanner	3/4	2	1	0												
55	53	156	156	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	409								
55	53	157	157	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	410								
55	53	158	158	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	411								
56	54	159	159	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	412								
56	54	639/4	639/4	0.0		3/16	3/16	Spanner	3/4	1	1	0											2	
56	54	639/4	639/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	413				65			2	
56	54	160	160	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	414				65			2	
56	54	161	161	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	415				65			2	
56	54	323/2	323/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	416				65			2	
56	54	159	159	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	417								
56	54	160	160	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	418								
56	54	161	161	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	419								
57	55	162	162	0.0		0	0	Spanner	3/4	1	1	0												
57	55	162	162	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	420								
57	55	651/4	651/4	0.0		3/16	3/16	Dynamic	3/4	1	1	0					f							
57	55	651/4	651/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	421				66				
57	55	163	163	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	422		ornamentTrill		66				
57	55	164	164	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	423				66				
57	55	329/2	329/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	424								
57	55	162	162	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	425								
57	55	163	163	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	426								
58	56	165	165	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	427								
58	56	165	165	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	428		articStaccatissimoAbove						
58	56	663/4	663/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										25		
58	56	663/4	663/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	429				67		25		
58	56	166	166	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	430						25		
58	56	165	165	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	431								
58	56	166	166	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	432								
58	56	167	167	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	433								
59	57	168	168	0.0		0	0	Spanner	3/4	1	1	0												
59	57	168	168	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	434								
59	57	168	168	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	435		articStaccatissimoAbove						
59	57	675/4	675/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	436				68				
59	57	169	169	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	437								
59	57	168	168	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	438								
59	57	169	169	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	439								
59	57	170	170	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	440								
60	58	171	171	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	441								
60	58	171	171	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	442		articStaccatissimoAbove						
60	58	687/4	687/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										26		
60	58	687/4	687/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	443				69		26		
60	58	172	172	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	444				70		26		
60	58	171	171	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	445								
60	58	172	172	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	446								
60	58	173	173	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	447								
61	59	174	174	0.0		0	0	Spanner	3/4	1	1	0												
61	59	174	174	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	448								
61	59	699/4	699/4	0.0		3/16	3/16	Spanner	3/4	1	1	0									9			
61	59	699/4	699/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	449				71	9			
61	59	175	175	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	450				71	9			
61	59	351/2	351/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	451				71	9			
61	59	176	176	0.0		1/2	1/2	Spanner	3/4	1	1	0												
61	59	176	176	0.0		1/2	1/2	Spanner	3/4	1	1	0										27		
61	59	176	176	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	452						27		
61	59	707/4	707/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	453						27		
61	59	174	174	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	454								
61	59	175	175	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	455								
61	59	176	176	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	456								
62	60	177	177	0.0		0	0	Spanner	3/4	1	1	0												
62	60	177	177	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	457								
62	60	177	177	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	458								
62	60	711/4	711/4	0.0		3/16	3/16	Spanner	3/4	1	1	0										28		
62	60	711/4	711/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	459				72		28		
62	60	178	178	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	460		ornamentShortTrill		72		28		
62	60	357/2	357/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	461				72		28		
62	60	179	179	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	462						28		
