mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	crescendo_line	HairPin:2_poco a poco cresc.	HairPin:2_poco cresc.	pedal	Pedal_<sym>keyboardPedalPed</sym>
59	58	174	174	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	496							3	3			
59	58	172	172	0.0	0	0	Spanner	3/4	2	1	0														44	44
59	58	172	172	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	497										44	44
59	58	173	173	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	498										44	44
59	58	174	174	0.0	1/2	1/2	Spanner	3/4	2	1	0															
59	58	174	174	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	499											
60	59	175	175	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	500						24	3	3			
60	59	351/2	351/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	501						24	3	3			
60	59	176	176	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	502						24	3	3			
60	59	177	177	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	503						24	3	3			
60	59	355/2	355/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	504						24	3	3			
60	59	175	175	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	505							3	3			
60	59	176	176	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	506							3	3			
60	59	177	177	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	507							3	3			
60	59	175	175	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	508											
60	59	176	176	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	509											
60	59	177	177	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	510											
61	60	178	178	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	511						24	3	3			
61	60	357/2	357/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	512						24	3	3			
61	60	179	179	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	513						24	3	3			
61	60	180	180	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	514						24	3	3			
61	60	361/2	361/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	515						24	3	3			
61	60	178	178	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	516							3	3			
61	60	179	179	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	517							3	3			
61	60	180	180	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	518							3	3			
61	60	178	178	0.0	0	0	Spanner	3/4	2	1	0														45	45
61	60	178	178	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	519										45	45
61	60	179	179	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	520										45	45
61	60	180	180	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	521										45	45
62	61	181	181	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	522						24	3	3			
62	61	363/2	363/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	523						24	3	3			
62	61	182	182	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	524						24	3	3			
62	61	183	183	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	525						24	3	3			
62	61	367/2	367/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	526						24	3	3			
62	61	181	181	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	527							3	3			
62	61	182	182	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	528							3	3			
62	61	183	183	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	529							3	3			
62	61	181	181	0.0	0	0	Spanner	3/4	2	1	0															
62	61	181	181	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	530											
62	61	182	182	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	531											
62	61	183	183	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	532											
63	62	184	184	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	533						24	3	3			
63	62	369/2	369/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	534						24	3	3			
63	62	185	185	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	535						24	3	3			
63	62	186	186	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	536						24	3	3			
63	62	184	184	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	537							3	3			
63	62	185	185	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	538							3	3			
63	62	186	186	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	539							3	3			
63	62	184	184	0.0	0	0	Spanner	3/4	2	1	0														46	46
63	62	184	184	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	540										46	46
63	62	185	185	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	541										46	46
63	62	186	186	0.0	1/2	1/2	Spanner	3/4	2	1	0															
63	62	186	186	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	542											
64	63	187	187	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	543						24	3	3			
64	63	751/4	751/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	544						24	3	3			
64	63	188	188	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	545						24	3	3			
64	63	189	189	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	546						24	3	3			
64	63	379/2	379/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	547						24	3	3			
64	63	189	189	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	548							3	3			
64	63	187	187	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	549											
64	63	751/4	751/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	550											
64	63	188	188	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	551											
64	63	189	189	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	552											
65	64	190	190	0.0	0	0	Spanner	3/4	1	1	0															
65	64	190	190	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	553											
65	64	191	191	0.0	1/4	1/4	Dynamic	3/4	1	1	0					fz										
65	64	191	191	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	554											
65	64	190	190	0.0	0	0	Spanner	3/4	2	1	0														47	47
65	64	190	190	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	555										47	47
65	64	191	191	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	556										47	47
65	64	192	192	0.0	1/2	1/2	Spanner	3/4	2	1	0															
