mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	crescendo_line	diminuendo_line	HairPin:3_decresc.
33	31	90	90	0.0	0	0	StaffText	3/4	1	1	0							con forza											
33	31	90	90	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	241		articStaccatissimoBelow												
33	31	363/4	363/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	242								32						
33	31	91	91	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	243														
33	31	92	92	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	244														
33	31	90	90	0.0	0	0	Spanner	3/4	2	1	0																		
33	31	90	90	0.0	0	0	Spanner	3/4	2	1	0													18	18				
33	31	90	90	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	245									18	18				
33	31	91	91	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	246									18	18				
33	31	92	92	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	247									18	18				
34	32	93	93	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	248														
34	32	93	93	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	249		articAccentBelow												
34	32	93	93	0.0	0	0	Spanner	3/4	2	1	0																		
34	32	93	93	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	250														
34	32	94	94	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	251														
35	32	95	95	0.0	0	1/2	Dynamic	3/4	1	1	0					p													
35	32	95	95	0.0	0	1/2	StaffText	3/4	1	1	0							<i>gajo</i>											
35	32	95	95	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	252								33						
36	33	96	96	0.0	0	0	Spanner	3/4	1	1	0												33			1			
36	33	96	96	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	253								33			1			
36	33	193/2	193/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	254								33			1			
36	33	97	97	0.0	1/4	1/4	Spanner	3/4	1	1	0												33						
36	33	97	97	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	255								33						
36	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	256														
36	33	96	96	0.0	0	0	Spanner	3/4	2	1	0													19	19				
36	33	96	96	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	257									19	19				
36	33	97	97	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	258									19	19				
36	33	98	98	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	259									19	19				
37	34	99	99	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	260								34						
37	34	199/2	199/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	261								34						
37	34	100	100	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	262		articAccentBelow												
37	34	99	99	0.0	0	0	Spanner	3/4	2	1	0																		
37	34	99	99	0.0	0	0	Spanner	3/4	2	1	0													20	20				
37	34	99	99	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	263									20	20				
37	34	100	100	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	264									20	20				
37	34	101	101	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	265									20	20				
38	35	102	102	0.0	0	0	Spanner	3/4	1	1	0															2			
38	35	102	102	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	266								35			2			
38	35	205/2	205/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	267								35			2			
38	35	103	103	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	268		articStaccatoAbove									2			
38	35	104	104	0.0	1/2	1/2	Spanner	3/4	1	1	0																		
38	35	104	104	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	269														
38	35	104	104	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	270								36						
38	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	271								36						
38	35	102	102	0.0	0	0	Spanner	3/4	2	1	0													21	21				
38	35	102	102	0.0	0	0	Spanner	3/4	2	1	0													21	21				
38	35	102	102	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	272									21	21				
38	35	103	103	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	273									21	21				
38	35	104	104	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	274									21	21				
39	36	105	105	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	275								36						
39	36	211/2	211/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	276														
39	36	106	106	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	277		articAccentBelow												
39	36	105	105	0.0	0	0	Spanner	3/4	2	1	0																		
39	36	105	105	0.0	0	0	Spanner	3/4	2	1	0													22	22				
39	36	105	105	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	278									22	22				
39	36	106	106	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	279									22	22				
39	36	107	107	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	280									22	22				
40	37	108	108	0.0	0	0	Dynamic	3/4	1	1	0					p													
40	37	108	108	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	281								37						
40	37	217/2	217/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	282								37						
40	37	109	109	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	283														
40	37	108	108	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	284														
40	37	109	109	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	285														
40	37	110	110	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	286														
40	37	108	108	0.0	0	0	Spanner	3/4	2	1	0																		
40	37	108	108	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	287								38						
40	37	109	109	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	288		articStaccatoBelow						38						
40	37	110	110	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	289		articStaccatoBelow												
41	38	111	111	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	290								39						
41	38	223/2	223/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	291								39						
41	38	223/2	223/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	292								39						
41	38	112	112	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	293														
41	38	111	111	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	294		articAccentBelow												
41	38	112	112	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	295														
41	38	113	113	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	296														
41	38	111	111	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	297								40						
41	38	112	112	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	298		articStaccatoBelow						40						
41	38	113	113	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	299		articStaccatoBelow												
42	39	114	114	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	300								41						
42	39	229/2	229/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	301								41						
42	39	115	115	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	302								41						
42	39	116	116	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	303														
42	39	114	114	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	304		articAccentBelow												
42	39	115	115	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	305														
42	39	116	116	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	306														
42	39	114	114	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	307								42						
42	39	115	115	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	308		articStaccatoBelow						42						
42	39	116	116	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	309		articStaccatoBelow												
43	40	117	117	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	310								43						
43	40	235/2	235/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	311								43						
43	40	118	118	0.0	1/4	1/4	Dynamic	3/4	1	1	0					f													
43	40	118	118	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	312		articAccentBelow												
43	40	117	117	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	313														
43	40	117	117	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	314														
43	40	118	118	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	315		articAccentBelow												
43	40	119	119	0.0	1/2	1/2	Spanner	3/4	2	1	0													23	23				
43	40	119	119	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	316		articAccentBelow							23	23				
43	40	117	117	0.75	0	0	Chord	3/4	2	2	3/16		1/8	3/2	317									23	23				
43	40	471/4	471/4	0.25	3/16	3/16	Chord	3/4	2	2	1/16		1/16	1	318									23	23				
44	41	120	120	0.0	0	0	Dynamic	3/4	1	1	0					f													
44	41	120	120	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	319								44						
44	41	241/2	241/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	320								44						
44	41	121	121	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	321		articAccentAbove						44						
44	41	245/2	245/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	322														
44	41	121	121	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	323									23	23				
44	41	122	122	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	324									23	23				
45	42	123	123	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	325								45						
45	42	247/2	247/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	326														
45	42	124	124	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	327		articAccentBelow												
45	42	123	123	0.0	0	0	Spanner	3/4	2	1	0																		
45	42	123	123	0.0	0	0	Spanner	3/4	2	1	0													24	24				
45	42	123	123	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	328									24	24				
45	42	124	124	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	329									24	24				
45	42	125	125	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	330									24	24				
46	43	126	126	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	331								46						
46	43	253/2	253/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	332								46						
46	43	127	127	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	333														
46	43	128	128	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	334														
46	43	128	128	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	335								47						
46	43	257/2	257/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	336														
46	43	126	126	0.0	0	0	Spanner	3/4	2	1	0																		
46	43	126	126	0.0	0	0	Spanner	3/4	2	1	0													25	25				
46	43	126	126	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	337									25	25				
46	43	127	127	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	338									25	25				
46	43	128	128	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	339									25	25				
47	44	129	129	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	340								48						
47	44	259/2	259/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	341								48						
47	44	130	130	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	342		articAccentBelow												
47	44	129	129	0.0	0	0	Spanner	3/4	2	1	0																		
47	44	129	129	0.0	0	0	Spanner	3/4	2	1	0													26	26				
47	44	129	129	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	343									26	26				
47	44	130	130	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	344									26	26				
47	44	131	131	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	345									26	26				
48	45	132	132	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	346								49						
48	45	265/2	265/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	347								49						
48	45	133	133	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	348		articAccentAbove												
48	45	132	132	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	349														
48	45	133	133	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	350														
48	45	134	134	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	351														
48	45	132	132	0.0	0	0	Spanner	3/4	2	1	0																		
48	45	132	132	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	352														
48	45	133	133	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	353		articStaccatoBelow												
48	45	134	134	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	354		articStaccatoBelow												
49	46	135	135	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	355								50						
49	46	271/2	271/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	356								50						
49	46	271/2	271/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	357								50						
49	46	136	136	0.0	1/4	1/4	Spanner	3/4	1	1	0																	0	0
49	46	136	136	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	358		articAccentAbove											0	0
49	46	135	135	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	359		articAccentBelow											0	0
49	46	136	136	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	360													0	0
49	46	137	137	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	361													0	0
49	46	135	135	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	362														
49	46	136	136	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	363								51						
49	46	137	137	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	364								51						
50	47	138	138	0.0	0	0	Spanner	3/4	1	1	0																		
50	47	138	138	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	365								52						
50	47	277/2	277/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	366								52						
50	47	139	139	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	367		articStaccatoAbove						52						
50	47	140	140	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	368		articStaccatoAbove												
50	47	138	138	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	369		articAccentBelow												
50	47	139	139	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	370														
50	47	140	140	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	371														
50	47	138	138	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	372														
50	47	139	139	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	373														
50	47	140	140	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	374														
51	48	141	141	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	375								53						
51	48	283/2	283/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	376								53						
51	48	142	142	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	377		articAccentAbove												
51	48	141	141	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	378		articAccentBelow												
51	48	142	142	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	379														
51	48	143	143	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	380								54						
51	48	287/2	287/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	381								54						
51	48	141	141	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	382														
51	48	142	142	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	383														
51	48	143	143	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	384														
52	49	144	144	0.0	0	0	StaffText	3/4	1	1	0							<i>sotto voce</i>											
52	49	144	144	0.0	0	0	Dynamic	3/4	1	1	0					p													
52	49	144	144	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	385														
52	49	145	145	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	386		articAccentAbove												
52	49	144	144	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	387														
52	49	145	145	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	388														
52	49	146	146	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	389								55						
52	49	293/2	293/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	390														
52	49	144	144	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	391														
52	49	145	145	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	392		articAccentBelow												
53	50	147	147	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	393														
53	50	148	148	0.0	1/4	1/4	StaffText	3/4	1	1	0							<i>sempre legato</i>											
53	50	148	148	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	394		articAccentAbove												
53	50	147	147	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	395														
53	50	295/2	295/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	396														
53	50	148	148	1.5	1/4	1/4	Chord	3/4	1	2	3/8		1/4	3/2	397														
53	50	299/2	299/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	398														
53	50	147	147	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	399														
53	50	148	148	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	400		articAccentBelow												
54	51	150	150	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	401														
54	51	151	151	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	402		articAccentAbove												
54	51	150	150	0.3333333333333333	0	0	Chord	3/4	1	2	1/12		1/8	2/3	403								56						
54	51	451/3	451/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	2	1/12		1/8	2/3	404								56						
54	51	452/3	452/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	2	1/12		1/8	2/3	405								56						
54	51	151	151	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	406								56						
54	51	152	152	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	407								56						
54	51	305/2	305/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	408														
54	51	150	150	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	409														
54	51	151	151	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	410		articAccentBelow												
55	52	153	153	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	411														
55	52	154	154	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	412		articAccentAbove												
55	52	153	153	0.3333333333333333	0	0	Chord	3/4	1	2	1/12		1/8	2/3	413														
55	52	460/3	460/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	2	1/12		1/8	2/3	414														
55	52	461/3	461/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	2	1/12		1/8	2/3	415														
55	52	154	154	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	416														
55	52	153	153	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	417														
55	52	154	154	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	418		articAccentBelow												
56	53	156	156	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	419		articAccentAbove												
56	53	157	157	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	420		articAccentAbove												
56	53	158	158	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	421		articAccentAbove												
56	53	156	156	0.3333333333333333	0	0	Chord	3/4	1	2	1/12		1/8	2/3	422								57						
56	53	469/3	469/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	2	1/12		1/8	2/3	423								57						
56	53	470/3	470/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	2	1/12		1/8	2/3	424								57						
56	53	157	157	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	425														
56	53	158	158	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	426								58						
56	53	317/2	317/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	427								58						
56	53	156	156	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	428														
56	53	157	157	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	429														
56	53	158	158	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	430														
57	54	159	159	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	431		articAccentAbove												
57	54	160	160	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	432		articAccentAbove												
57	54	161	161	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	433		articAccentAbove												
57	54	159	159	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	434								58						
57	54	319/2	319/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	435								58						
57	54	160	160	0.0	1/4	1/4	Chord	3/4	1	2	0	acciaccatura	1/8	1	436								58						
57	54	160	160	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	437								58						
57	54	321/2	321/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	438								58						
57	54	161	161	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	439								58						
57	54	323/2	323/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	440														
57	54	159	159	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	441														
57	54	160	160	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	442														
57	54	161	161	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	443														
58	55	162	162	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	444														
58	55	163	163	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	445														
58	55	164	164	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	446														
58	55	162	162	0.3333333333333333	0	0	Chord	3/4	1	2	1/12		1/8	2/3	447														
58	55	487/3	487/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	2	1/12		1/8	2/3	448														
58	55	488/3	488/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	2	1/12		1/8	2/3	449														
58	55	163	163	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	450														
58	55	164	164	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	451		articStaccatoBelow						59						
58	55	329/2	329/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	452		articStaccatoBelow												
58	55	162	162	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	453														
58	55	163	163	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	454														
58	55	164	164	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	455														
59	56	165	165	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	456		articStaccatoBelow						60						
59	56	496/3	496/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	457		articStaccatoBelow						60						
59	56	497/3	497/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	458		articStaccatoBelow												
59	56	166	166	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	459														
59	56	167	167	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	460		articAccentBelow						61						
59	56	165	165	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	461														
59	56	166	166	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	462														
60	57	168	168	0.0	0	0	Dynamic	3/4	1	1	0					p													
60	57	168	168	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	463														
60	57	675/4	675/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	464								62						
60	57	169	169	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	465								62						
60	57	341/2	341/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	466														
60	57	168	168	0.0	0	0	Spanner	3/4	2	1	0													27	27				
60	57	168	168	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	467									27	27				
60	57	169	169	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	468									27	27				
60	57	170	170	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	469									27	27				
61	58	171	171	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	470								63						
61	58	687/4	687/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	471								63						
61	58	172	172	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	472								63						
61	58	173	173	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	473								63						
61	58	171	171	0.0	0	0	Spanner	3/4	2	1	0																		
61	58	171	171	0.0	0	0	Spanner	3/4	2	1	0													28	28				
61	58	171	171	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	474									28	28				
61	58	172	172	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	475									28	28				
61	58	173	173	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	476									28	28				
62	59	174	174	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	477														
62	59	699/4	699/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	478								64						
62	59	175	175	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	479								64						
62	59	176	176	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	480		articAccentAbove												
62	59	174	174	0.0	0	0	Spanner	3/4	2	1	0																		
62	59	174	174	0.0	0	0	Spanner	3/4	2	1	0													29	29				
62	59	174	174	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	481									29	29				
62	59	175	175	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	482									29	29				
62	59	176	176	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	483									29	29				
63	60	177	177	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	484														
63	60	532/3	532/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	485														
63	60	533/3	533/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	486														
63	60	178	178	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	487														
63	60	178	178	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	488														
63	60	359/2	359/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	489								65						
63	60	177	177	0.0	0	0	Spanner	3/4	2	1	0																		
63	60	177	177	0.0	0	0	Spanner	3/4	2	1	0													30	30				
63	60	177	177	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	490									30	30				
63	60	178	178	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	491		articAccentAbove							30	30				
64	61	180	180	0.0	0	0	Spanner	3/4	1	1	0																1		
64	61	180	180	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	492		articStaccatissimoAbove										1		
64	61	361/2	361/2	0.0	1/8	1/8	Spanner	3/4	1	1	0																		
