mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_line	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
34	33	98	98	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	232												
34	33	99	99	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	233												
34	33	97	97	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	234							19					
34	33	195/2	195/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	235							19					
34	33	98	98	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	236							19					
34	33	99	99	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	237												
34	33	99	99	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	238												
35	34	100	100	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	239							20					
35	34	201/2	201/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	240							20					
35	34	101	101	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	241							20					
35	34	102	102	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	242							20					
35	34	100	100	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	243												
35	34	102	102	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	244												
35	34	100	100	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	245												
35	34	102	102	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	246												
35	34	101	101	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	247												
36	35	103	103	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	248							20					
36	35	415/4	415/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	249							20					
36	35	104	104	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	250							20					
36	35	105	105	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	251							20					
36	35	103	103	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	252												
36	35	103	103	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	253												
36	35	104	104	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	254												
36	35	103	103	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	255												
36	35	105	105	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	256												
37	36	106	106	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	257		ornamentShortTrill					20					
37	36	427/4	427/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	258							20					
37	36	107	107	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	259							20					
37	36	108	108	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	260							20					
37	36	106	106	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	261												
37	36	108	108	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	262												
37	36	106	106	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	263												
37	36	107	107	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	264												
37	36	108	108	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	265												
37	36	107	107	2.0	1/4	1/4	Chord	3/4	2	3	1/2	1/2	1	266												
38	37	109	109	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	267							20					
38	37	439/4	439/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	268							20					
38	37	110	110	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	269							20					
38	37	111	111	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	270							20					
38	37	109	109	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	271												
38	37	110	110	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	272												
38	37	111	111	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	273												
38	37	109	109	0.0	0	0	Spanner	3/4	2	1	0														30	30
38	37	109	109	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	274											30	30
38	37	110	110	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	275											30	30
38	37	111	111	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	276											30	30
38	37	109	109	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	277											30	30
39	38	112	112	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	278							20					
39	38	225/2	225/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	279							20					
39	38	113	113	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	280							20					
39	38	114	114	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	281							20					
39	38	112	112	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	282												
39	38	114	114	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	283												
39	38	112	112	0.0	0	0	Spanner	3/4	2	1	0															
39	38	112	112	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	284												
39	38	114	114	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	285							21					
39	38	112	112	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	286												
39	38	114	114	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	287												
39	38	113	113	1.0	1/4	1/4	Chord	3/4	2	3	1/4	1/4	1	288												
40	39	115	115	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	289							20					
40	39	463/4	463/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	290							20					
40	39	116	116	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	291							20					
40	39	117	117	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	292							20					
40	39	115	115	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	293												
40	39	115	115	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	294							21					
40	39	116	116	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	295							21					
40	39	117	117	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	296												
40	39	115	115	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	297												
41	40	118	118	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	298		ornamentShortTrill					20					
41	40	475/4	475/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	299							20					
41	40	119	119	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	300							20					
41	40	120	120	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	301							20					
41	40	118	118	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	302												
41	40	119	119	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	303												
41	40	120	120	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	304												
41	40	118	118	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	305												
41	40	120	120	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	306												
41	40	119	119	2.0	1/4	1/4	Chord	3/4	2	3	1/2	1/2	1	307												
42	41	121	121	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	308												
42	41	487/4	487/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	309							22					
42	41	122	122	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	310							22					
42	41	123	123	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	311							22					
42	41	121	121	0.0	0	0	Spanner	3/4	2	1	0														31	31
42	41	121	121	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	312											31	31
42	41	122	122	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	313											31	31
42	41	123	123	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	314											31	31
43	42	124	124	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	315							22					
43	42	499/4	499/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	316							22					
43	42	125	125	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	317							22					
43	42	126	126	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	318							22					
43	42	125	125	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	319												
43	42	126	126	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	320												
43	42	124	124	0.0	0	0	Spanner	3/4	2	1	0															
43	42	124	124	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	321												
44	43	127	127	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	322							22					
44	43	511/4	511/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	323							22					
44	43	128	128	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	324							22					
44	43	129	129	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	325							22					
44	43	127	127	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	326												
44	43	128	128	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	327												
44	43	129	129	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	328												
44	43	127	127	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	329												
45	44	130	130	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	330		ornamentShortTrill					22					
45	44	523/4	523/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	331							22					
45	44	131	131	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	332							22					
45	44	132	132	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	333												
45	44	130	130	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	334												
45	44	130	130	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	335												
45	44	131	131	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	336												
45	44	132	132	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	337												
46	45	535/4	535/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	338							23					
46	45	134	134	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	339							23					
46	45	135	135	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	340							23					
46	45	133	133	0.0	0	0	Spanner	3/4	2	1	0														32	32
46	45	133	133	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	341											32	32
46	45	134	134	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	342											32	32
46	45	135	135	0.0	1/2	1/2	Spanner	3/4	2	1	0															
46	45	135	135	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	343												
47	46	136	136	0.0	0	0	Spanner	3/4	1	1	0										23			2		
47	46	136	136	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	344							23			2		
47	46	547/4	547/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	345							23			2		
47	46	137	137	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	346							23			2		
47	46	138	138	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	347										2		
47	46	137	137	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	348												
47	46	138	138	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	349												
47	46	136	136	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	350												
48	47	139	139	0.0	0	0	Spanner	3/4	1	1	0															
48	47	139	139	0.0	0	0	Spanner	3/4	1	1	0											0				
48	47	139	139	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	351								0				
48	47	559/4	559/4	0.0	3/16	3/16	Spanner	3/4	1	1	0															
48	47	559/4	559/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	352												
48	47	140	140	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	353												
48	47	141	141	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	354												
48	47	139	139	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	355												
48	47	140	140	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	356												
48	47	141	141	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	357							24					
48	47	140	140	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	358												
48	47	141	141	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	359												
48	47	139	139	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	360												
49	48	142	142	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	361							25					
49	48	571/4	571/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	362							25					
49	48	143	143	0.0	1/4	1/4	StaffText	3/4	1	1	0						ten.									
49	48	143	143	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	363												
49	48	142	142	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	364												
49	48	143	143	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	365												
49	48	144	144	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	366												
49	48	142	142	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	367												
49	48	143	143	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	368												
49	48	144	144	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	369												
50	49	145	145	0.0	0	0	Spanner	3/4	1	1	0												3			
50	49	145	145	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	370									3			
50	49	146	146	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	371							26		3			
50	49	295/2	295/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	372							26		3			
50	49	145	145	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	373									3			
50	49	146	146	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	374									3			
50	49	147	147	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	375									3			
50	49	145	145	0.0	0	0	Spanner	3/4	2	1	0														33	33
50	49	145	145	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	376											33	33
50	49	146	146	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	377											33	33
50	49	147	147	0.0	1/2	1/2	Spanner	3/4	2	1	0															
50	49	147	147	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	378												
51	50	148	148	0.0	0	0	Spanner	3/4	1	1	0										26					
51	50	148	148	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	379							26					
51	50	595/4	595/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	380							26					
51	50	149	149	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	381												
51	50	150	150	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	382							27					
51	50	301/2	301/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	383							27					
51	50	148	148	0.0	0	0	Spanner	3/4	2	1	0														34	34
51	50	148	148	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	384											34	34
51	50	149	149	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	385											34	34
51	50	150	150	0.0	1/2	1/2	Spanner	3/4	2	1	0															
51	50	150	150	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	386												
52	51	151	151	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	387												
52	51	152	152	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	388							28					
52	51	307/2	307/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	389							28					
52	51	152	152	0.0	1/4	1/4	Spanner	3/4	2	1	0														35	35
52	51	152	152	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	390											35	35
52	51	153	153	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	391											35	35
53	52	154	154	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	392							28					
53	52	619/4	619/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	393							28					
53	52	155	155	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	394												
53	52	156	156	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	395							29					
53	52	313/2	313/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	396							29					
53	52	154	154	0.0	0	0	Spanner	3/4	2	1	0															
53	52	154	154	0.0	0	0	Spanner	3/4	2	1	0														36	36
53	52	154	154	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	397											36	36
53	52	155	155	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	398											36	36
53	52	156	156	0.0	1/2	1/2	Spanner	3/4	2	1	0															
54	53	157	157	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	399												
54	53	158	158	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	400							30					
54	53	319/2	319/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	401							30					
54	53	157	157	0.0	0	0	Spanner	3/4	2	1	0														37	37
54	53	157	157	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	402											37	37
54	53	158	158	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	403											37	37
54	53	159	159	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	404											37	37
55	54	160	160	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	405							30					
55	54	321/2	321/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	406							30					
55	54	161	161	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	407							30					
55	54	325/2	325/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	408							30					
55	54	160	160	0.0	0	0	Spanner	3/4	2	1	0															
55	54	160	160	0.0	0	0	Spanner	3/4	2	1	0														38	38
55	54	160	160	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	409											38	38
55	54	161	161	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	410											38	38
55	54	162	162	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	411											38	38
56	55	163	163	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	412							30					
56	55	164	164	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	413							30					
56	55	331/2	331/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	414							30					
56	55	163	163	0.0	0	0	Spanner	3/4	2	1	0															
56	55	163	163	0.0	0	0	Spanner	3/4	2	1	0														39	39
56	55	163	163	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	415											39	39
56	55	164	164	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	416											39	39
56	55	165	165	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	417											39	39
57	56	166	166	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	418							30					
57	56	333/2	333/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	419							30					
57	56	167	167	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	420							30					
57	56	168	168	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	421							30					
57	56	337/2	337/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	422							30					
57	56	166	166	0.0	0	0	Spanner	3/4	2	1	0															
57	56	166	166	0.0	0	0	Spanner	3/4	2	1	0														40	40
57	56	166	166	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	423											40	40
57	56	167	167	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	424											40	40
57	56	168	168	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	425											40	40
58	57	169	169	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	426												
58	57	170	170	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	427							31					
58	57	343/2	343/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	428							31					
58	57	169	169	0.0	0	0	Spanner	3/4	2	1	0															
58	57	169	169	0.0	0	0	Spanner	3/4	2	1	0														41	41
58	57	169	169	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	429											41	41
58	57	170	170	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	430											41	41
58	57	171	171	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	431											41	41
59	58	172	172	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	432							31					
59	58	345/2	345/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	433							31					
59	58	173	173	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	434												
59	58	174	174	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	435							32					
59	58	349/2	349/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	436							32					
59	58	172	172	0.0	0	0	Spanner	3/4	2	1	0															
59	58	172	172	0.0	0	0	Spanner	3/4	2	1	0														42	42
59	58	172	172	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	437											42	42
59	58	173	173	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	438											42	42
59	58	174	174	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	439											42	42
60	59	175	175	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	440												
60	59	176	176	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	441							33					
60	59	355/2	355/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	442							33					
60	59	175	175	0.0	0	0	Spanner	3/4	2	1	0															
60	59	175	175	0.0	0	0	Spanner	3/4	2	1	0														43	43
60	59	175	175	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	443											43	43
60	59	176	176	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	444											43	43
60	59	177	177	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	445											43	43
61	60	178	178	0.0	0	0	Spanner	3/4	1	1	0										33			3		
61	60	178	178	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	446							33			3		
61	60	715/4	715/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	447							33			3		
61	60	179	179	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	448										3		
61	60	178	178	0.0	0	0	Spanner	3/4	2	1	0															
61	60	178	178	0.0	0	0	Spanner	3/4	2	1	0														44	44
61	60	178	178	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	449											44	44
61	60	179	179	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	450											44	44
61	60	180	180	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	451											44	44
62	61	181	181	0.0	0	0	Spanner	3/4	1	1	0															
62	61	181	181	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	452							34					
62	61	363/2	363/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	453							34					
62	61	182	182	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	454												
62	61	183	183	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	455							35					
62	61	367/2	367/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	456							35					
62	61	181	181	0.0	0	0	Spanner	3/4	2	1	0															
62	61	181	181	0.0	0	0	Spanner	3/4	2	1	0														45	45
62	61	181	181	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	457											45	45
62	61	182	182	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	458											45	45
62	61	183	183	0.0	1/2	1/2	Spanner	3/4	2	1	0															
62	61	183	183	0.0	1/2	1/2	Spanner	3/4	2	1	0														46	46
62	61	183	183	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	459											46	46
63	62	184	184	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	460												
63	62	185	185	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	461							36					
63	62	371/2	371/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	462							36					
63	62	186	186	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	463												
63	62	184	184	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	464											46	46
64	63	187	187	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	465							37					
64	63	375/2	375/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	466							37					
64	63	188	188	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	467		ornamentShortTrill					37					
64	63	377/2	377/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	468							37					
64	63	189	189	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	469							37					
64	63	379/2	379/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	470							37					
64	63	187	187	0.0	0	0	Spanner	3/4	2	1	0															
64	63	187	187	0.0	0	0	Spanner	3/4	2	1	0														47	47
64	63	187	187	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	471											47	47
64	63	188	188	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	472											47	47
64	63	189	189	0.0	1/2	1/2	Spanner	3/4	2	1	0															
64	63	189	189	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	473												
65	64	190	190	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	474							37					
65	64	381/2	381/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	475							37					
65	64	191	191	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	476												
65	64	190	190	0.0	0	0	Spanner	3/4	2	1	0														48	48
65	64	190	190	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	477											48	48
65	64	191	191	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	478											48	48
65	64	192	192	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	479											48	48
66	65	194	194	0.0	1/4	1/4	Dynamic	3/4	1	1	0				p											
66	65	194	194	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	480							38					
66	65	391/2	391/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	481							38					
66	65	193	193	0.0	0	0	Spanner	3/4	2	1	0															
66	65	193	193	0.0	0	0	Spanner	3/4	2	1	0														49	49
66	65	193	193	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	482											49	49
66	65	194	194	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	483											49	49
66	65	195	195	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	484											49	49
67	66	196	196	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	485							38					
67	66	393/2	393/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	486							38					
67	66	197	197	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	487												
67	66	197	197	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	488							39					
67	66	395/2	395/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	489							39					
67	66	198	198	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	490												
67	66	196	196	0.0	0	0	Spanner	3/4	2	1	0															
67	66	196	196	0.0	0	0	Spanner	3/4	2	1	0														50	50
67	66	196	196	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	491											50	50
