mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	crescendo_hairpin
30	30	88	88	0.0	1/4	1/4	Spanner	3/4	2	1	0													
30	30	88	88	0.0	1/4	1/4	Spanner	3/4	2	1	0												32	
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	240								32	
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	241								32	
31	31	90	90	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	242							29		
31	31	363/4	363/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	243							29		
31	31	91	91	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	244							29		
31	31	92	92	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	245							29		
31	31	90	90	0.0	0	0	Spanner	3/4	2	1	0													
31	31	90	90	0.0	0	0	Spanner	3/4	2	1	0												33	
31	31	90	90	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	246								33	
31	31	363/4	363/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	247								33	
31	31	91	91	0.0	1/4	1/4	Spanner	3/4	2	1	0													
31	31	91	91	0.0	1/4	1/4	Spanner	3/4	2	1	0												34	
31	31	91	91	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	248								34	
31	31	92	92	0.0	1/2	1/2	Spanner	3/4	2	1	0													
31	31	92	92	0.0	1/2	1/2	Spanner	3/4	2	1	0												35	
31	31	92	92	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	249		articAccentAbove						35	
31	31	90	90	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	250								35	
31	31	92	92	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	251								35	
32	32	93	93	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	252							29		
32	32	187/2	187/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	253							29		
32	32	94	94	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	254									
32	32	93	93	0.0	0	0	Spanner	3/4	2	1	0													
32	32	93	93	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	255									
32	32	94	94	0.0	1/4	1/4	Spanner	3/4	2	1	0												36	
32	32	94	94	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	256								36	
33	33	96	96	0.0	0	0	Tempo	3/4	1	1	0								Pocopiùvivo	35.0	1.0			
33	33	96	96	0.0	0	0	Spanner	3/4	2	1	0													
33	33	96	96	0.0	0	0	Spanner	3/4	2	1	0												37	
33	33	96	96	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	257								37	
33	33	97	97	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	258								37	
33	33	98	98	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	259								37	
34	34	99	99	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	260								37	
34	34	100	100	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	261								37	
34	34	101	101	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	262								37	
35	35	102	102	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	263								37	
35	35	103	103	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	264		articAccentAbove						37	
35	35	104	104	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	265								37	
36	36	105	105	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	266		articAccentAbove						37	
36	36	106	106	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	267								37	
36	36	107	107	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	268		articAccentAbove						37	
37	37	108	108	0.0	0	0	Dynamic	3/4	1	1	0					p								
37	37	108	108	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	269							30		
37	37	108	108	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	270							30		
37	37	219/2	219/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	271							30		
37	37	110	110	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	272							30		
37	37	221/2	221/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	273									
37	37	108	108	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	274								37	
37	37	109	109	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	275								37	
37	37	110	110	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	276								37	
38	38	111	111	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	277							31		
38	38	223/2	223/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	278							31		
38	38	112	112	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	279							31		
38	38	225/2	225/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	280							31		
38	38	113	113	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	281									
38	38	111	111	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	282								37	
38	38	112	112	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	283								37	
38	38	113	113	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	284		articAccentAbove						37	
39	39	114	114	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	285							32		
39	39	229/2	229/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	286							32		
39	39	115	115	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	287							32		
39	39	231/2	231/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	288							32		
39	39	116	116	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	289							32		
39	39	233/2	233/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	290									
39	39	114	114	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	291								37	
39	39	115	115	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	292								37	
39	39	116	116	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	293								37	
40	40	117	117	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	294							33		
40	40	235/2	235/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	295							33		
40	40	118	118	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	296							33		
40	40	237/2	237/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	297							33		
40	40	119	119	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	298									
40	40	117	117	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	299								37	
40	40	118	118	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	300								37	
40	40	119	119	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	301		articAccentAbove						37	
41	41	120	120	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	302							34		
41	41	120	120	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	303							34		
41	41	243/2	243/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	304							34		
41	41	122	122	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	305							34		
41	41	245/2	245/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	306									
41	41	120	120	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	307								37	
41	41	121	121	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	308								37	
41	41	122	122	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	309								37	
42	42	123	123	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	310							35		
42	42	247/2	247/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	311							35		
42	42	124	124	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	312							35		
42	42	249/2	249/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	313							35		
42	42	125	125	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	314									
42	42	123	123	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	315								37	
42	42	124	124	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	316								37	
42	42	125	125	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	317		articAccentAbove						37	
43	43	126	126	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	318							36		
43	43	253/2	253/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	319							36		
43	43	127	127	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	320							36		
43	43	255/2	255/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	321							36		
43	43	128	128	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	322							36		
43	43	257/2	257/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	323									
43	43	126	126	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	324								37	
43	43	127	127	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	325								37	
43	43	128	128	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	326								37	
44	44	129	129	0.0	0	0	StaffText	3/4	1	1	0							riten.						
44	44	129	129	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	327							37		
44	44	259/2	259/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	328							37		
44	44	130	130	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	329							37		
44	44	261/2	261/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	330							37		
44	44	131	131	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	331									
44	44	129	129	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	332								37	
44	44	130	130	0.0	1/4	1/4	Spanner	3/4	2	1	0													
44	44	130	130	0.0	1/4	1/4	Spanner	3/4	2	1	0												38	
44	44	130	130	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	333								38	
44	44	131	131	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	334								38	
45	45	132	132	0.0	0	0	Dynamic	3/4	1	1	0					f								
45	45	132	132	0.0	0	0	Tempo	3/4	1	1	0								TempoI°	35.0	1.0			
45	45	132	132	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	335									
45	45	531/4	531/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	336									
45	45	133	133	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	337									
45	45	134	134	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	338									
45	45	132	132	0.0	0	0	Spanner	3/4	2	1	0													
45	45	132	132	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	339									
45	45	531/4	531/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	340									
45	45	133	133	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	341									
45	45	134	134	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	342									
46	46	135	135	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	343							38		
46	46	543/4	543/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	344							38		
46	46	136	136	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	345									
46	46	135	135	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	346									
46	46	543/4	543/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	347									
46	46	136	136	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	348									
46	46	135	135	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	349									
47	47	138	138	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	350									
47	47	555/4	555/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	351									
47	47	139	139	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	352									
47	47	140	140	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	353									
47	47	138	138	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	354									
47	47	555/4	555/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	355									
47	47	139	139	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	356									
47	47	140	140	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	357									
48	48	141	141	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	358							39		
48	48	567/4	567/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	359							39		
48	48	142	142	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	360									
48	48	141	141	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	361									
48	48	567/4	567/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	362									
48	48	142	142	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	363									
48	48	141	141	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	364									
49	49	144	144	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	365									
49	49	579/4	579/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	366									
49	49	145	145	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	367									
49	49	146	146	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	368									
49	49	144	144	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	369									
49	49	579/4	579/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	370									
49	49	145	145	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	371									
49	49	146	146	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	372									
50	50	147	147	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	373							40		
50	50	591/4	591/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	374							40		
50	50	148	148	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	375							40		
50	50	149	149	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	376									
50	50	147	147	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	377									
50	50	591/4	591/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	378									
50	50	148	148	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	379									
50	50	149	149	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	380									
51	51	150	150	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	381							41		
51	51	603/4	603/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	382							41		
51	51	151	151	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	383							41		
51	51	152	152	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	384									
51	51	150	150	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	385									
51	51	603/4	603/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	386									
51	51	151	151	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	387									
51	51	152	152	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	388							42		
51	51	305/2	305/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	389									
51	51	150	150	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	390									
51	51	152	152	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	391									
52	52	153	153	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	392							43		
52	52	615/4	615/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	393							43		
52	52	154	154	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	394									
52	52	153	153	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	395									
52	52	615/4	615/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	396									
52	52	154	154	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	397									
52	52	153	153	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	398									
53	53	156	156	0.0	0	0	Dynamic	3/4	1	1	0					p								
53	53	156	156	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	399									
53	53	627/4	627/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	400									
53	53	157	157	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	401									
53	53	158	158	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	402									
53	53	156	156	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	403									
53	53	627/4	627/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	404									
53	53	157	157	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	405									
53	53	158	158	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	406									
54	54	159	159	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	407							44		
54	54	639/4	639/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	408							44		
54	54	160	160	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	409									
54	54	159	159	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	410									
54	54	639/4	639/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	411									
54	54	160	160	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	412									
54	54	159	159	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	413									
55	55	162	162	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	414									
55	55	651/4	651/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	415									
55	55	163	163	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	416									
55	55	164	164	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	417									
55	55	162	162	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	418									
55	55	651/4	651/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	419									
55	55	163	163	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	420									
55	55	164	164	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	421									
56	56	165	165	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	422							45		
56	56	663/4	663/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	423							45		
56	56	166	166	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	424									
56	56	165	165	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	425									
56	56	663/4	663/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	426									
56	56	166	166	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	427									
56	56	165	165	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	428									
57	57	168	168	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	429									
57	57	675/4	675/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	430									
57	57	169	169	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	431									
57	57	170	170	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	432									
57	57	168	168	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	433									
57	57	675/4	675/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	434									
57	57	169	169	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	435									
57	57	170	170	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	436									
58	58	171	171	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	437							46		
58	58	687/4	687/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	438							46		
58	58	172	172	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	439							46		
58	58	173	173	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	440									
58	58	171	171	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	441									
58	58	687/4	687/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	442									
58	58	172	172	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	443									
58	58	173	173	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	444									
59	59	174	174	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	445							47		
59	59	699/4	699/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	446							47		
59	59	175	175	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	447							47		
59	59	176	176	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	448							47		
59	59	174	174	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	449									
59	59	699/4	699/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	450									
59	59	175	175	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	451									
59	59	176	176	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	452		articAccentAbove							
59	59	174	174	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	453									
59	59	176	176	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	454									
60	60	177	177	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	455							47		
60	60	355/2	355/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	456							47		
60	60	178	178	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	457									
60	60	177	177	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	458									
60	60	178	178	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	459									
