mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	diminuendo_line	HairPin:3_decresc.	crescendo_line	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
25	23	137/2	137/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	234															
25	23	69	69	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	235															
25	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	236															
25	23	68	68	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	237															
26	24	70	70	0.0	0	0	StaffText	3/4	1	1	0							rallent.				22								
26	24	70	70	0.0	0	0	Spanner	3/4	1	1	0											22								
26	24	70	70	0.6	0	0	Chord	3/4	1	1	3/20		1/4	3/5	238		articStaccatoAbove					22								
26	24	353/5	353/5	0.6	3/20	3/20	Chord	3/4	1	1	3/20		1/4	3/5	239		articStaccatoAbove					22								
26	24	356/5	356/5	0.6	3/10	3/10	Chord	3/4	1	1	3/20		1/4	3/5	240		articStaccatoAbove					22								
26	24	359/5	359/5	0.9	9/20	9/20	Chord	3/4	1	1	9/40		1/4	9/10	241		articStaccatoBelow					22								
26	24	727/10	727/10	0.3	27/40	27/40	Chord	3/4	1	1	3/40		1/8	3/5	242		articStaccatoBelow													
26	24	70	70	0.6	0	0	Chord	3/4	2	1	3/20		1/4	3/5	243							23								
26	24	353/5	353/5	0.6	3/20	3/20	Chord	3/4	2	1	3/20		1/4	3/5	244							23								
26	24	356/5	356/5	0.6	3/10	3/10	Chord	3/4	2	1	3/20		1/4	3/5	245							23								
26	24	359/5	359/5	0.6	9/20	9/20	Chord	3/4	2	1	3/20		1/4	3/5	246							23								
26	24	362/5	362/5	0.6	3/5	3/5	Chord	3/4	2	1	3/20		1/4	3/5	247							23								
26	24	70	70	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	248															
27	25	73	73	0.0	0	0	Dynamic	3/4	1	1	0					f														
27	25	73	73	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""12""/>Tempo I°"												
27	25	73	73	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	249															
27	25	220/3	220/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	250															
27	25	221/3	221/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	251															
27	25	74	74	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	252															
27	25	149/2	149/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	253															
27	25	75	75	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	254		articAccentBelow													
27	25	303/4	303/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	255															
27	25	73	73	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	256							23								
27	25	74	74	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	257															
27	25	75	75	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	258															
28	26	76	76	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	259															
28	26	307/4	307/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	260							24								
28	26	77	77	0.0	1/4	1/4	Spanner	3/4	1	1	0														2					
28	26	77	77	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	261										2					
28	26	78	78	0.0	1/2	1/2	Spanner	3/4	1	1	0																			
28	26	78	78	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	262		articAccentAbove					25								
28	26	78	78	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	263															
28	26	76	76	0.0	0	0	Spanner	3/4	2	1	0																	10	10	
28	26	76	76	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	264													10	10	
28	26	77	77	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	265													10	10	
28	26	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	266													10	10	
29	27	79	79	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	267							25								
29	27	238/3	238/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	268							25								
29	27	239/3	239/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	269							25								
29	27	80	80	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	270							25								
29	27	161/2	161/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	271							25								
29	27	81	81	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	272							25								
29	27	327/4	327/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	273							25								
29	27	79	79	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	274															
29	27	80	80	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	275															
29	27	81	81	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	276		articAccentBelow													
29	27	79	79	0.0	0	0	Spanner	3/4	2	1	0																			
29	27	79	79	0.0	0	0	Spanner	3/4	2	1	0																	11	11	
29	27	79	79	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	277													11	11	
29	27	80	80	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	278													11	11	
29	27	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	279													11	11	
30	28	82	82	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	280															
30	28	331/4	331/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	281							26								
30	28	83	83	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	282															
30	28	84	84	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	283		articAccentAbove													
30	28	82	82	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	284															
30	28	83	83	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	285															
30	28	82	82	0.0	0	0	Spanner	3/4	2	1	0																			
30	28	82	82	0.0	0	0	Spanner	3/4	2	1	0																	12	12	
30	28	82	82	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	286													12	12	
30	28	83	83	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	287													12	12	
30	28	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	288													12	12	
31	29	85	85	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	289							27								
31	29	256/3	256/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	290							27								
31	29	257/3	257/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	291															
31	29	86	86	0.0	1/4	1/4	Spanner	3/4	1	1	0												1							
31	29	86	86	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	292								1							
31	29	173/2	173/2	0.0	3/8	3/8	Spanner	3/4	1	1	0																			
31	29	347/4	347/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	293															
31	29	87	87	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	294		articAccentAbove					28								
31	29	85	85	0.0	0	0	StaffText	3/4	2	1	0							legato												
31	29	85	85	0.0	0	0	Spanner	3/4	2	1	0																			
31	29	85	85	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	295															
31	29	87	87	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	296															
31	29	85	85	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	297															
31	29	86	86	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	298															
32	30	88	88	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	299							28								
32	30	265/3	265/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	300							28								
32	30	266/3	266/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	301							28								
32	30	89	89	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	302															
32	30	359/4	359/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	303							29								
32	30	90	90	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	304		articAccentBelow													
32	30	88	88	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	305															
32	30	90	90	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	306															
32	30	88	88	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	307															
32	30	89	89	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	308															
33	31	91	91	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	309							30								
33	31	274/3	274/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	310							30								
33	31	275/3	275/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	311							30								
33	31	92	92	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	312							30								
33	31	371/4	371/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	313							30, 31								
33	31	93	93	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	314															
33	31	91	91	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	315															
33	31	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	316															
33	31	91	91	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	317															
33	31	92	92	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	318															
34	32	94	94	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	319							32								
34	32	283/3	283/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	320							32								
34	32	284/3	284/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	321							32								
34	32	95	95	0.0	1/4	1/4	Spanner	3/4	1	1	0											32				9				
34	32	95	95	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	322							32, 33				9				
34	32	191/2	191/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	323							32, 33				9				
34	32	96	96	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	324											9				
34	32	94	94	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	325															
34	32	96	96	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	326															
34	32	94	94	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	327															
34	32	95	95	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	328															
35	33	97	97	0.0	0	0	Spanner	3/4	1	1	0																			
35	33	97	97	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	329							34								
35	33	292/3	292/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	330							34								
35	33	293/3	293/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	331							34								
35	33	98	98	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	332							34								
35	33	197/2	197/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	333							34								
35	33	99	99	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	334							34								
35	33	399/4	399/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	335							34								
35	33	97	97	0.0	0	0	Spanner	3/4	2	1	0																	13	13	
35	33	97	97	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	336													13	13	
35	33	98	98	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	337													13	13	
35	33	99	99	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	338													13	13	
36	34	100	100	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	339															
36	34	403/4	403/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	340							35								
36	34	101	101	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	341															
36	34	102	102	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	342		articAccentAbove					36								
36	34	102	102	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	343															
36	34	100	100	0.0	0	0	Spanner	3/4	2	1	0																			
36	34	100	100	0.0	0	0	Spanner	3/4	2	1	0																	14	14	
36	34	100	100	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	344													14	14	
36	34	101	101	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	345													14	14	
36	34	102	102	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	346													14	14	
37	35	103	103	0.0	0	0	Spanner	3/4	1	1	0											36			3					
37	35	103	103	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	347							36			3					
37	35	310/3	310/3	0.0	1/12	1/12	Spanner	3/4	1	1	0											36								
37	35	310/3	310/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	348							36								
37	35	311/3	311/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	349							36								
37	35	104	104	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	350							36								
37	35	209/2	209/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	351							36								
37	35	105	105	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	352							36								
37	35	423/4	423/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	353							36								
37	35	103	103	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	354															
37	35	104	104	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	355															
37	35	105	105	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	356															
37	35	103	103	0.0	0	0	Spanner	3/4	2	1	0																			
37	35	103	103	0.0	0	0	Spanner	3/4	2	1	0																	15	15	
37	35	103	103	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	357													15	15	
37	35	104	104	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	358													15	15	
37	35	105	105	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	359		articAccentAbove											15	15	
38	36	106	106	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	360															
38	36	427/4	427/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	361							37								
38	36	107	107	0.0	1/4	1/4	Spanner	3/4	1	1	0																1			
38	36	107	107	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	362		articStaccatissimoAbove										1			
38	36	108	108	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	363												1			
38	36	106	106	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	364							38					1			
38	36	107	107	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	365												1			
38	36	108	108	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	366												1			
38	36	106	106	0.0	0	0	Spanner	3/4	2	1	0																			
38	36	106	106	0.0	0	0	Spanner	3/4	2	1	0																	16	16	
38	36	106	106	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	367													16	16	
38	36	107	107	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	368													16	16	
38	36	108	108	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	369													16	16	
39	37	109	109	0.0	0	0	Spanner	3/4	1	1	0																			
39	37	109	109	0.0	0	0	Spanner	3/4	1	1	0																2			
39	37	109	109	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	370							39					2			
39	37	219/2	219/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	371							39					2			
39	37	439/4	439/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	372							39					2			
39	37	110	110	0.0	1/4	1/4	Spanner	3/4	1	1	0											39								
39	37	110	110	0.0	1/4	1/4	Spanner	3/4	1	1	0											39				10				
39	37	110	110	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	373							39				10				
39	37	111	111	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	374											10				
39	37	109	109	0.0	0	0	Dynamic	3/4	1	2	0					p										10				
39	37	109	109	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	375											10				
39	37	110	110	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	376											10				
39	37	111	111	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	377											10				
39	37	109	109	0.0	0	0	Spanner	3/4	2	1	0																			
39	37	109	109	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	378															
39	37	110	110	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	379															
39	37	111	111	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	380															
40	38	112	112	0.0	0	0	Spanner	3/4	1	1	0																			
40	38	112	112	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	381							40								
40	38	225/2	225/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	382							40								
40	38	451/4	451/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	383							40								
40	38	113	113	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	384							40								
40	38	114	114	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	385															
40	38	112	112	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	386															
40	38	113	113	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	387															
40	38	114	114	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	388		articAccentBelow													
40	38	112	112	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	389															
40	38	113	113	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	390															
40	38	114	114	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	391															
41	39	115	115	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	392							41								
41	39	231/2	231/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	393							41								
41	39	463/4	463/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	394							41								
41	39	116	116	0.0	1/4	1/4	Spanner	3/4	1	1	0											41				11				
41	39	116	116	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	395							41				11				
41	39	117	117	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	396											11				
41	39	115	115	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	397											11				
41	39	117	117	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	398											11				
41	39	115	115	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	399															
41	39	116	116	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	400															
41	39	115	115	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	401															
41	39	117	117	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	402															
42	40	118	118	0.0	0	0	Spanner	3/4	1	1	0																			
42	40	118	118	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	403							42								
42	40	355/3	355/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	404							42								
42	40	356/3	356/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	405															
42	40	119	119	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	406															
42	40	118	118	0.0	0	0	Dynamic	3/4	1	2	0					pp														
42	40	118	118	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	407															
42	40	118	118	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	408							43								
42	40	355/3	355/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	409							43								
42	40	356/3	356/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	410															
42	40	119	119	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	411															
42	40	118	118	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	412															
43	40	120	120	0.0	0	1/2	Dynamic	3/4	1	1	0					f														
43	40	120	120	0.0	0	1/2	Spanner	3/4	1	1	0																3			
43	40	120	120	0.0	0	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	413												3			
43	40	120	120	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	414												3			
44	41	121	121	0.0	0	0	StaffText	3/4	1	1	0							scherz.												
44	41	121	121	0.0	0	0	Spanner	3/4	1	1	0																			
44	41	121	121	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	415															
44	41	121	121	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	416															
44	41	243/2	243/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	417															
44	41	243/2	243/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	418															
44	41	122	122	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	419															
44	41	122	122	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	420															
44	41	123	123	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	421															
44	41	123	123	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	422															
44	41	121	121	0.0	0	0	Spanner	3/4	2	1	0																	17	17	
44	41	121	121	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	423		articStaccatoBelow											17	17	
44	41	243/2	243/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	424		articStaccatoBelow											17	17	
44	41	123	123	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	425		articAccentAbove					44						17	17	
44	41	122	122	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	426													17	17	
45	42	124	124	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	427															
45	42	124	124	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	428															
45	42	249/2	249/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	429															
45	42	249/2	249/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	430															
45	42	125	125	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	431															
45	42	125	125	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	432															
45	42	126	126	0.0	1/2	1/2	Dynamic	3/4	1	1	0					fz														
45	42	126	126	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	433															
45	42	126	126	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	434		articAccentAbove													
45	42	124	124	0.0	0	0	Spanner	3/4	2	1	0											44								
45	42	124	124	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	435							44								
45	42	126	126	0.0	1/2	1/2	Spanner	3/4	2	1	0																	18	18	
45	42	126	126	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	436		articAccentAbove											18	18	
45	42	124	124	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	437													18	18	
45	42	249/2	249/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	438													18	18	
45	42	125	125	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	439													18	18	
46	43	127	127	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	440															
46	43	127	127	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	441															
46	43	255/2	255/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	442															
46	43	255/2	255/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	443															
46	43	128	128	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	444															
46	43	128	128	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	445															
46	43	129	129	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	446															
46	43	129	129	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	447															
46	43	127	127	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	448		articStaccatoBelow											18	18	
46	43	255/2	255/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	449		articStaccatoBelow											18	18	
46	43	129	129	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	450		articAccentAbove					45						18	18	
46	43	128	128	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	451													18	18	
47	44	130	130	0.0	0	0	Spanner	3/4	1	1	0																			0
47	44	130	130	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	452															0
47	44	130	130	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	453		articStaccatoAbove													0
47	44	261/2	261/2	0.0	1/8	1/8	Spanner	3/4	1	1	0																			
47	44	131	131	0.0	1/4	1/4	Dynamic	3/4	1	1	0					fz														
47	44	131	131	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	454		articAccentAbove													
47	44	130	130	0.0	0	0	Spanner	3/4	2	1	0											45								
47	44	130	130	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	455							45								
47	44	261/2	261/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	456							45								
47	44	131	131	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	457															
47	44	132	132	0.0	1/2	1/2	Spanner	3/4	2	1	0																	19	19	
47	44	132	132	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	458		articAccentBelow											19	19	
47	44	130	130	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	459													19	19	
48	45	133	133	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	460															
48	45	133	133	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	461															
48	45	267/2	267/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	462															
48	45	267/2	267/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	463															
48	45	134	134	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	464															
48	45	134	134	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	465															
48	45	135	135	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	466															
48	45	135	135	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	467															
48	45	133	133	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	468		articStaccatoBelow											19	19	
48	45	267/2	267/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	469		articStaccatoBelow											19	19	
48	45	135	135	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	470		articAccentAbove					46						19	19	
48	45	134	134	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	471													19	19	
49	46	136	136	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	472															
49	46	136	136	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	473															
49	46	273/2	273/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	474															
49	46	273/2	273/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	475															
49	46	137	137	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	476															
49	46	137	137	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	477															
