mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	decrescendo_hairpin	crescendo_hairpin
26	26	75	75	0.0	0	0	Spanner	3/4	2	1	0														
26	26	75	75	0.0	0	0	Spanner	3/4	2	1	0										21	21			
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	236						21	21			
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	237						21	21			
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	238						21	21			
27	27	78	78	0.0	0	0	Spanner	3/4	1	1	0									18					
27	27	78	78	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	239					18					
27	27	157/2	157/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	240					18					
27	27	79	79	0.0	1/4	1/4	StaffText	3/4	1	1	0							dim.		18					
27	27	79	79	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	241					18					
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	242					18					
27	27	80	80	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	243					18					
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	244					18					
27	27	79	79	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	245										
27	27	80	80	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	246										
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0														
27	27	79	79	0.0	1/4	1/4	Spanner	3/4	2	1	0										22	22			
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	247						22	22			
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	248						22	22			
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	249					18					
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	250					18					
28	28	82	82	0.0	1/4	1/4	SystemText	3/4	1	1	0								rit.	18					
28	28	82	82	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	251					18					
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	252					18					
28	28	83	83	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	253					18					
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	254					18					
28	28	81	81	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	255										
28	28	82	82	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	256										
28	28	83	83	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	257										
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0														
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0										23	23			
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	258						23	23			
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	259						23	23			
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	260						23	23			
29	29	84	84	0.0	0	0	SystemText	3/4	1	1	0								a tempo						
29	29	84	84	0.0	0	0	Dynamic	3/4	1	1	0					mf									
29	29	84	84	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	261					19					
29	29	85	85	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	262					19					
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	263					19					
29	29	86	86	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	264					19					
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	265					19					
29	29	85	85	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	266										
29	29	86	86	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	267										
29	29	84	84	0.0	0	0	StaffText	3/4	2	1	0							come sopra							
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0														
29	29	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	268										
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	269										
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	270										
30	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	271					19					
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	272					19					
30	30	88	88	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	273					19					
30	30	89	89	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	274										
30	30	87	87	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	275										
30	30	88	88	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	276										
30	30	89	89	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	277										
30	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	278										
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	279										
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	280										
31	31	90	90	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	281					20					
31	31	91	91	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	282					20					
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	283					20					
31	31	92	92	0.0	1/2	1/2	StaffText	3/4	1	1	0							cresc.		20					
31	31	92	92	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	284					20					
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	285					20					
31	31	90	90	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	286										
31	31	91	91	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	287										
31	31	92	92	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	288										
31	31	90	90	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	289										
31	31	91	91	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	290										
31	31	92	92	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	291										
32	32	93	93	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	292					20					
32	32	187/2	187/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	293					20					
32	32	94	94	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	294					20					
32	32	95	95	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	295										
32	32	93	93	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	296										
32	32	94	94	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	297										
32	32	95	95	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	298										
32	32	93	93	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	299										
32	32	94	94	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	300										
32	32	95	95	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	301										
33	33	96	96	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	302					21					
33	33	97	97	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	303					21					
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	304					21					
33	33	98	98	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	305					21					
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	306					21					
33	33	96	96	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	307										
33	33	97	97	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	308										
33	33	98	98	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	309										
33	33	96	96	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	310										
33	33	97	97	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	311										
33	33	98	98	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	312										
34	34	99	99	0.0	0	0	Spanner	3/4	1	1	0									21				5	
34	34	99	99	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	313					21				5	
34	34	199/2	199/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	314					21				5	
34	34	100	100	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	315		articAccentAbove							5	
34	34	101	101	0.0	1/2	1/2	Spanner	3/4	1	1	0														
34	34	101	101	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	316					22					
34	34	203/2	203/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	317					22					
34	34	99	99	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	318										
34	34	100	100	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	319										
34	34	99	99	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	320										
34	34	100	100	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	321										
35	35	102	102	0.0	0	0	Spanner	3/4	1	1	0									22				6	
35	35	102	102	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	322		articStaccatoAbove			22				6	
35	35	205/2	205/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	323		articStaccatoAbove			22				6	
35	35	103	103	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	324		ornamentTrill			22				6	
35	35	104	104	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	325					22				6	
35	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	326					22				6	
35	35	102	102	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	327										
35	35	103	103	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	328										
35	35	104	104	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	329										
36	36	105	105	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	330		articStaccatoBelow							6	
36	36	106	106	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	331		articAccentAbove			23				6	
36	36	215/2	215/2	0.0	5/8	5/8	Spanner	3/4	1	1	0									23					
36	36	215/2	215/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	332					23					
36	36	105	105	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	333										
36	36	106	106	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	334										
36	36	107	107	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	335										
37	37	108	108	0.0	0	0	Dynamic	3/4	1	1	0					p									
37	37	108	108	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	336					24					
37	37	109	109	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	337					24					
37	37	219/2	219/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	338					24					
37	37	110	110	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	339					24					
37	37	110	110	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	340					24					
37	37	221/2	221/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	341										
37	37	109	109	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	342										
37	37	110	110	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	343										
37	37	108	108	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	344										
37	37	109	109	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	345										
37	37	110	110	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	346										
38	38	111	111	0.0	0	0	StaffText	3/4	1	1	0							leggiero							
38	38	111	111	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	347		articStaccatoAbove								
38	38	223/2	223/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	348		articStaccatoAbove								
38	38	112	112	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	349		articStaccatoAbove								
38	38	225/2	225/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	350		articStaccatoAbove								
38	38	113	113	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	351		articStaccatoAbove								
38	38	227/2	227/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	352		articStaccatoAbove								
38	38	111	111	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	353										
38	38	112	112	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	354										
38	38	113	113	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	355										
38	38	111	111	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	356										
38	38	112	112	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	357										
38	38	113	113	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	358										
39	39	114	114	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	359		articStaccatoAbove								
39	39	229/2	229/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	360		articStaccatoAbove								
39	39	115	115	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	361		articStaccatoAbove								
39	39	231/2	231/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	362		articStaccatoAbove								
39	39	116	116	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	363		articStaccatoAbove								
39	39	233/2	233/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	364		articStaccatoAbove								
39	39	114	114	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	365										
39	39	115	115	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	366										
39	39	116	116	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	367										
39	39	114	114	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	368										
39	39	115	115	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	369										
39	39	116	116	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	370										
40	40	117	117	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	371		articStaccatoAbove								
40	40	235/2	235/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	372		articStaccatoAbove								
40	40	118	118	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	373		articStaccatoAbove								
40	40	237/2	237/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	374		articStaccatoAbove								
40	40	119	119	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	375		articStaccatoAbove								
40	40	239/2	239/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	376		articStaccatoAbove								
40	40	117	117	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	377										
40	40	118	118	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	378										
40	40	119	119	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	379										
40	40	117	117	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	380										
40	40	118	118	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	381										
40	40	119	119	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	382										
41	41	120	120	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	383		articStaccatoAbove								
41	41	241/2	241/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	384		articStaccatoAbove								
41	41	121	121	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	385		articStaccatoAbove								
41	41	243/2	243/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	386		articStaccatoAbove								
41	41	122	122	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	387		articStaccatoAbove								
41	41	245/2	245/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	388		articStaccatoAbove								
41	41	120	120	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	389										
41	41	121	121	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	390										
41	41	122	122	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	391										
41	41	120	120	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	392										
41	41	121	121	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	393										
41	41	122	122	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	394										
42	42	123	123	0.0	0	0	Spanner	3/4	1	1	0													7	
42	42	123	123	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	395					25				7	
42	42	247/2	247/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	396					25				7	
42	42	124	124	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	397		articAccentAbove							7	
42	42	125	125	0.0	1/2	1/2	Spanner	3/4	1	1	0														
42	42	125	125	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	398					26					
42	42	251/2	251/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	399					26					
42	42	123	123	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	400										
42	42	124	124	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	401										
42	42	123	123	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	402										
42	42	124	124	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	403										
43	43	126	126	0.0	0	0	Spanner	3/4	1	1	0									26					2
43	43	126	126	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	404					26					2
43	43	127	127	0.0	1/4	1/4	Chord	3/4	1	1	0	appoggiatura	1/16	1	405					26					2
43	43	127	127	0.0	1/4	1/4	Chord	3/4	1	1	0	appoggiatura	1/16	1	406					26					2
43	43	127	127	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	407					26					2
43	43	255/2	255/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	408					26					2
43	43	128	128	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	409					26					2
43	43	257/2	257/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	410					26					2
43	43	126	126	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	411										
43	43	127	127	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	412										
43	43	128	128	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	413										
44	44	129	129	0.0	0	0	Spanner	3/4	1	1	0									26					
44	44	129	129	0.0	0	0	Spanner	3/4	1	1	0									26				8	
44	44	129	129	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	414					26				8	
44	44	259/2	259/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	415					26				8	
44	44	130	130	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	416									8	
44	44	131	131	0.0	1/2	1/2	Spanner	3/4	1	1	0														
44	44	129	129	0.0	0	0	Spanner	3/4	2	1	0										24	24			
44	44	129	129	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	417						24	24			
44	44	130	130	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	418						24	24			
44	44	131	131	0.0	1/2	1/2	Spanner	3/4	2	1	0														
44	44	131	131	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	419										
45	45	134	134	0.0	1/2	1/2	Spanner	3/4	1	1	0													9	
45	45	134	134	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	420					27				9	
45	45	269/2	269/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	421					27				9	
45	45	132	132	0.0	0	0	Spanner	3/4	2	1	0										25	25			
45	45	132	132	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	422						25	25			
45	45	133	133	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	423						25	25			
45	45	134	134	0.0	1/2	1/2	Spanner	3/4	2	1	0														
45	45	134	134	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	424										
46	46	135	135	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	425					27				9	
46	46	271/2	271/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	426					27				9	
46	46	136	136	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	427									9	
46	46	137	137	0.0	1/2	1/2	Spanner	3/4	1	1	0														
46	46	135	135	0.0	0	0	Spanner	3/4	2	1	0										26	26			
46	46	135	135	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	428						26	26			
46	46	136	136	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	429						26	26			
46	46	137	137	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	430						26	26			
47	47	140	140	0.0	1/2	1/2	SystemText	3/4	1	1	0								poco accelerando						
47	47	140	140	0.0	1/2	1/2	Spanner	3/4	1	1	0													10	
47	47	140	140	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	431					28				10	
47	47	281/2	281/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	432					28				10	
47	47	138	138	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	433						26	26			
47	47	139	139	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	434						26	26			
47	47	140	140	0.0	1/2	1/2	Spanner	3/4	2	1	0														
47	47	140	140	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	435										
48	48	141	141	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	436					28				10	
48	48	283/2	283/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	437					28				10	
48	48	142	142	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	438									10	
48	48	143	143	0.0	1/2	1/2	Spanner	3/4	1	1	0														
48	48	143	143	0.0	1/2	1/2	Spanner	3/4	1	1	0													11	
48	48	143	143	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	439					29				11	
48	48	287/2	287/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	440					29				11	
48	48	141	141	0.0	0	0	Spanner	3/4	2	1	0										27	27			
48	48	141	141	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	441						27	27			
48	48	142	142	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	442						27	27			
48	48	143	143	0.0	1/2	1/2	Spanner	3/4	2	1	0														
48	48	143	143	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	443										
49	49	144	144	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	444					29				11	
49	49	289/2	289/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	445					29				11	
49	49	145	145	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	446									11	
49	49	146	146	0.0	1/2	1/2	Spanner	3/4	1	1	0														
49	49	146	146	0.0	1/2	1/2	Spanner	3/4	1	1	0													12	
49	49	146	146	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	447					30				12	
49	49	293/2	293/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	448					30				12	
49	49	144	144	0.0	0	0	Spanner	3/4	2	1	0										28	28			
49	49	144	144	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	449						28	28			
49	49	145	145	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	450						28	28			
49	49	146	146	0.0	1/2	1/2	Spanner	3/4	2	1	0														
49	49	146	146	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	451										
50	50	147	147	0.0	0	0	Spanner	3/4	1	1	0									30					
50	50	147	147	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	452					30					
50	50	295/2	295/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	453					30					
50	50	148	148	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	454					30					
50	50	297/2	297/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	455					30					
50	50	149	149	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	456					30					
50	50	299/2	299/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	457					30					
50	50	147	147	0.0	0	0	Spanner	3/4	2	1	0										29	29			
50	50	147	147	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	458						29	29			
50	50	148	148	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	459						29	29			
50	50	149	149	0.0	1/2	1/2	Spanner	3/4	2	1	0														
50	50	149	149	0.0	1/2	1/2	Spanner	3/4	2	1	0										30	30			
50	50	149	149	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	460						30	30			
51	51	150	150	0.0	0	0	Spanner	3/4	1	1	0									30			0		
51	51	150	150	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	461					30			0		
51	51	301/2	301/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	462					30			0		
51	51	151	151	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	463					30			0		
51	51	303/2	303/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	464					30			0		
51	51	152	152	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	465					30			0		
51	51	305/2	305/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	466					30			0		
51	51	150	150	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	467						30	30			
51	51	151	151	0.0	1/4	1/4	Spanner	3/4	2	1	0														
51	51	151	151	0.0	1/4	1/4	Spanner	3/4	2	1	0										31	31			
51	51	151	151	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	468						31	31			
51	51	152	152	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	469						31	31			
52	52	153	153	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	470		articTenutoAbove						0		
52	52	309/2	309/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	471					31			0		
52	52	155	155	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	472					31			0		
52	52	311/2	311/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	473					31			0		
52	52	153	153	0.0	0	0	Spanner	3/4	2	1	0														
52	52	153	153	0.0	0	0	Spanner	3/4	2	1	0										32	32			
52	52	153	153	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	474					32	32	32			
52	52	154	154	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	475						32	32			
53	53	156	156	0.0	0	0	StaffText	3/4	1	1	0							calando		31			0		
53	53	156	156	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	476					31			0		
53	53	313/2	313/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	477					31			0		
53	53	157	157	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	478					31			0		
53	53	315/2	315/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	479					31			0		
53	53	158	158	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	480					31			0		
53	53	317/2	317/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	481					31			0		
54	54	159	159	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	482					31			0		
