mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	diminuendo_line	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
32	32	94	94	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	259										3		
32	32	95	95	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	260										3		
32	32	93	93	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	261												
32	32	94	94	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	262												
32	32	95	95	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	263												
33	33	96	96	0.0	0	0	Spanner	3/4	1	1	0																
33	33	96	96	0.0	0	0	Spanner	3/4	1	1	0												5				
33	33	96	96	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	264							11	5				
33	33	97	97	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	265							11	5				
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	266							11	5				
33	33	97	97	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	267								5				
33	33	98	98	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	268								5				
33	33	96	96	0.0	0	0	Spanner	3/4	2	1	0															10	10
33	33	96	96	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	269											10	10
33	33	97	97	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	270											10	10
33	33	98	98	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	271											10	10
34	34	99	99	0.0	0	0	Spanner	3/4	1	1	0											11					
34	34	99	99	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	272		ornamentShortTrill					11					
34	34	199/2	199/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	273							11					
34	34	100	100	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	274							11					
34	34	99	99	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	275												
34	34	100	100	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	276												
34	34	101	101	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	277												
34	34	99	99	0.0	0	0	Spanner	3/4	2	1	0																
34	34	99	99	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	278							12					
34	34	100	100	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	279							12					
34	34	101	101	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	280							12					
34	34	99	99	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	281												
35	35	102	102	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	282							11					
35	35	205/2	205/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	283							11					
35	35	103	103	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	284							11					
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	285							11					
35	35	104	104	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	286							11					
35	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	287							11					
35	35	102	102	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	288												
35	35	103	103	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	289												
35	35	104	104	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	290												
35	35	102	102	0.0	0	0	Spanner	3/4	2	1	0															11	11
35	35	102	102	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	291											11	11
35	35	103	103	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	292							13				11	11
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	293							13				11	11
35	35	104	104	0.0	1/2	1/2	Spanner	3/4	2	1	0											13					
35	35	104	104	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	294							13					
35	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	295							13					
35	35	103	103	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	296												
36	36	105	105	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	297												
36	36	106	106	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	298												
36	36	107	107	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	299												
36	36	105	105	0.0	0	0	Spanner	3/4	2	1	0															12	12
36	36	106	106	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	300											12	12
36	36	105	105	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	301											12	12
36	36	107	107	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	302											12	12
37	37	108	108	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	303							14					
37	37	109	109	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	304							14					
37	37	221/2	221/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	305							14					
37	37	109	109	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	306												
37	37	110	110	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	307												
37	37	108	108	0.0	0	0	Spanner	3/4	2	1	0																
37	37	108	108	0.0	0	0	Spanner	3/4	2	1	0															13	13
37	37	109	109	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	308											13	13
37	37	110	110	0.0	1/2	1/2	Spanner	3/4	2	1	0																
37	37	108	108	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	309												
37	37	110	110	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	310												
38	38	111	111	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	311							14					
38	38	111	111	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	312							14					
38	38	111	111	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	313							14					
38	38	223/2	223/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	314							14					
38	38	112	112	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	315												
38	38	112	112	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	316												
38	38	113	113	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	317												
38	38	111	111	0.0	0	0	Spanner	3/4	2	1	0															14	14
38	38	112	112	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	318											14	14
38	38	113	113	0.0	1/2	1/2	Spanner	3/4	2	1	0																
38	38	111	111	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	319												
38	38	113	113	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	320												
39	39	114	114	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	321							15					
39	39	115	115	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	322							15					
39	39	233/2	233/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	323							15					
39	39	115	115	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	324												
39	39	116	116	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	325												
39	39	115	115	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	326												
39	39	116	116	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	327												
39	39	114	114	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	328												
39	39	116	116	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	329												
40	40	117	117	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	330							15					
40	40	235/2	235/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	331							15					
40	40	118	118	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	332							15					
40	40	119	119	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	333							15					
40	40	239/2	239/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	334												
40	40	117	117	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	335												
40	40	118	118	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	336												
40	40	119	119	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	337												
40	40	118	118	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	338												
40	40	119	119	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	339												
40	40	117	117	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	340												
40	40	119	119	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	341												
41	41	120	120	0.0	0	0	Spanner	3/4	1	1	0												6				
41	41	120	120	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	342							16	6				
41	41	122	122	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	343							16	6				
41	41	120	120	0.0	0	0	Dynamic	3/4	1	2	0					f							6				
41	41	120	120	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	344								6				
41	41	121	121	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	345								6				
41	41	122	122	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	346								6				
41	41	120	120	0.0	0	0	Spanner	3/4	2	1	0															15	15
41	41	120	120	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	347											15	15
41	41	121	121	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	348											15	15
41	41	122	122	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	349											15	15
42	42	123	123	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	350							16	6				
42	42	124	124	1.75	1/4	1/4	Chord	3/4	1	1	7/16		1/4	7/4	351							16	6				
42	42	503/4	503/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	352							16	6				
42	42	124	124	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	353								6				
42	42	125	125	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	354								6				
42	42	123	123	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	355											15	15
42	42	124	124	0.0	1/4	1/4	Spanner	3/4	2	1	0																
42	42	124	124	0.0	1/4	1/4	Spanner	3/4	2	1	0															16	16
42	42	124	124	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	356											16	16
42	42	125	125	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	357											16	16
43	43	126	126	0.0	0	0	Spanner	3/4	1	1	0											16					
43	43	126	126	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	358							16					
43	43	128	128	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	359		articAccentAbove					16					
43	43	126	126	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	360												
43	43	127	127	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	361												
43	43	128	128	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	362												
43	43	126	126	0.0	0	0	Spanner	3/4	2	1	0																
43	43	126	126	0.0	0	0	Spanner	3/4	2	1	0															17	17
43	43	126	126	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	363											17	17
43	43	127	127	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	364											17	17
43	43	128	128	0.0	1/2	1/2	Spanner	3/4	2	1	0																
43	43	128	128	0.0	1/2	1/2	Spanner	3/4	2	1	0															18	18
43	43	128	128	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	365											18	18
44	44	129	129	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	366							16					
44	44	131	131	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	367		articAccentAbove					16					
44	44	129	129	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	368												
44	44	130	130	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	369												
44	44	131	131	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	370												
44	44	129	129	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	371											18	18
44	44	130	130	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	372											18	18
44	44	131	131	0.0	1/2	1/2	Spanner	3/4	2	1	0																
44	44	131	131	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	373												
45	45	132	132	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	374												
45	45	133	133	0.0	1/4	1/4	Spanner	3/4	1	1	0												7				
45	45	133	133	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	375							17	7				
45	45	267/2	267/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	376							17	7				
45	45	134	134	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	377							17	7				
45	45	269/2	269/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	378							17	7				
45	45	132	132	0.0	0	0	Spanner	3/4	2	1	0															19	19
45	45	132	132	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	379											19	19
45	45	133	133	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	380											19	19
45	45	134	134	0.0	1/2	1/2	Spanner	3/4	2	1	0																
45	45	134	134	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	381												
46	46	135	135	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	382							17	7				
46	46	136	136	0.0	1/4	1/4	Spanner	3/4	1	1	0											17					
46	46	136	136	1.75	1/4	1/4	Chord	3/4	1	1	7/16		1/4	7/4	383							17					
46	46	551/4	551/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	384							17					
46	46	135	135	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	385												
46	46	136	136	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	386												
46	46	137	137	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	387												
46	46	135	135	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	388												
46	46	136	136	0.0	1/4	1/4	Spanner	3/4	2	1	0															20	20
46	46	136	136	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	389											20	20
46	46	137	137	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	390											20	20
47	47	138	138	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	391							17					
47	47	140	140	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	392							17					
47	47	139	139	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	393												
47	47	140	140	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	394		articAccentAbove										
47	47	138	138	0.0	0	0	Spanner	3/4	2	1	0																
47	47	139	139	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	395												
47	47	140	140	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	396												
48	48	141	141	0.0	0	0	Spanner	3/4	1	1	0											17			4		
48	48	141	141	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	397							17			4		
48	48	143	143	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	398		articAccentAbove					17			4		
48	48	141	141	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	399										4		
48	48	142	142	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	400										4		
48	48	143	143	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	401										4		
48	48	141	141	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	402												
48	48	142	142	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	403												
48	48	143	143	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	404												
49	49	144	144	0.0	0	0	Spanner	3/4	1	1	0																
49	49	144	144	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	405												
49	49	145	145	0.0	1/4	1/4	Spanner	3/4	1	1	0												8				
49	49	145	145	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	406		articAccentAbove					18	8				
49	49	146	146	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	407							18	8				
49	49	144	144	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	408								8				
49	49	145	145	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	409							19	8				
49	49	146	146	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	410							19	8				
49	49	144	144	0.0	0	0	Spanner	3/4	2	1	0															21	21
49	49	144	144	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	411											21	21
49	49	145	145	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	412											21	21
49	49	146	146	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	413											21	21
50	50	147	147	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	414							18	8				
50	50	148	148	0.0	1/4	1/4	Spanner	3/4	1	1	0											18					
50	50	148	148	1.75	1/4	1/4	Chord	3/4	1	1	7/16		1/4	7/4	415							18					
50	50	599/4	599/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	416							18					
50	50	148	148	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	417												
50	50	149	149	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	418												
50	50	147	147	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	419											21	21
50	50	148	148	0.0	1/4	1/4	Spanner	3/4	2	1	0																
50	50	148	148	0.0	1/4	1/4	Spanner	3/4	2	1	0															22	22
50	50	148	148	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	420											22	22
50	50	149	149	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	421											22	22
51	51	150	150	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	422							18					
51	51	152	152	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	423		articAccentAbove					18					
51	51	150	150	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	424												
51	51	151	151	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	425												
51	51	152	152	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	426												
51	51	150	150	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	427											22	22
51	51	151	151	0.0	1/4	1/4	Spanner	3/4	2	1	0																
51	51	151	151	0.0	1/4	1/4	Spanner	3/4	2	1	0															23	23
51	51	151	151	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	428											23	23
51	51	152	152	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	429											23	23
52	52	153	153	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	430							18					
52	52	154	154	0.0	1/4	1/4	Spanner	3/4	1	1	0											18			5		
52	52	155	155	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	431		articAccentAbove					18			5		
52	52	153	153	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	432										5		
52	52	154	154	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	433										5		
52	52	155	155	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	434										5		
52	52	153	153	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	435											23	23
52	52	154	154	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	436											23	23
52	52	155	155	0.0	1/2	1/2	Spanner	3/4	2	1	0																
52	52	155	155	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	437												
53	53	156	156	0.0	0	0	Spanner	3/4	1	1	0																
53	53	156	156	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	438												
53	53	157	157	0.0	1/4	1/4	Spanner	3/4	1	1	0												9				
53	53	157	157	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	439							20	9				
53	53	315/2	315/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	440							20	9				
53	53	158	158	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	441							20	9				
53	53	475/3	475/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	442							20	9				
53	53	476/3	476/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	443							20	9				
53	53	156	156	0.0	0	0	Spanner	3/4	2	1	0															24	24
53	53	156	156	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	444											24	24
53	53	157	157	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	445											24	24
53	53	158	158	0.0	1/2	1/2	Spanner	3/4	2	1	0																
53	53	158	158	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	446												
54	54	159	159	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	447							20	9				
54	54	160	160	0.0	1/4	1/4	Spanner	3/4	1	1	0											20					
54	54	160	160	1.75	1/4	1/4	Chord	3/4	1	1	7/16		1/4	7/4	448							20					
54	54	647/4	647/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	449							20					
54	54	159	159	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	450												
54	54	160	160	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	451												
54	54	161	161	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	452												
54	54	159	159	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	453												
54	54	160	160	0.0	1/4	1/4	Spanner	3/4	2	1	0															25	25
54	54	160	160	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	454											25	25
54	54	161	161	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	455											25	25
55	55	162	162	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	456							20					
55	55	163	163	0.0	1/4	1/4	Spanner	3/4	1	1	0											20	10				
55	55	164	164	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	457		articAccentAbove					20	10				
55	55	163	163	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	458								10				
55	55	164	164	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	459								10				
55	55	162	162	0.0	0	0	Spanner	3/4	2	1	0																
55	55	163	163	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	460												
55	55	164	164	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	461												
56	56	165	165	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	462							20	10				
56	56	167	167	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	463		articAccentAbove					20	10				
56	56	165	165	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	464								10				
56	56	166	166	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	465								10				
56	56	167	167	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	466								10				
56	56	165	165	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	467												
56	56	166	166	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	468												
56	56	167	167	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	469												
57	57	168	168	0.0	0	0	Spanner	3/4	1	1	0											20					
57	57	168	168	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	470							20					
57	57	169	169	0.0	1/4	1/4	StaffText	3/4	1	1	0							sostenuto				20					
57	57	169	169	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	471							20					
57	57	170	170	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	472							20					
57	57	683/4	683/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	473							20					
57	57	168	168	0.0	0	0	Dynamic	3/4	1	2	0					ff											
57	57	168	168	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	474												
57	57	169	169	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	475												
57	57	170	170	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	476												
57	57	168	168	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	477												
57	57	169	169	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	478												
57	57	170	170	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	479												
57	57	683/4	683/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	480												
57	57	170	170	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	481												
58	58	171	171	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	482							20					
58	58	171	171	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	483												
58	58	172	172	0.75	1/4	1/4	Chord	3/4	1	2	3/16		1/8	3/2	484												
58	58	691/4	691/4	0.25	7/16	7/16	Chord	3/4	1	2	1/16		1/16	1	485												
58	58	173	173	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	486												
58	58	171	171	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	487												
58	58	172	172	0.75	1/4	1/4	Chord	3/4	2	1	3/16		1/8	3/2	488												
58	58	691/4	691/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	489												
58	58	173	173	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	490												
58	58	171	171	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	491												
59	59	174	174	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	492							21					
59	59	175	175	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	493							21					
59	59	176	176	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	494							21					
59	59	174	174	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	495												
59	59	175	175	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	496												
59	59	176	176	0.75	1/2	1/2	Chord	3/4	1	2	3/16		1/8	3/2	497							22					
59	59	707/4	707/4	0.25	11/16	11/16	Chord	3/4	1	2	1/16		1/16	1	498												
59	59	174	174	0.0	0	0	Spanner	3/4	2	1	0															26	26
59	59	174	174	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	499											26	26
59	59	175	175	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	500											26	26
59	59	176	176	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	501											26	26
59	59	174	174	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	502											26	26
59	59	175	175	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	503											26	26
59	59	176	176	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	504											26	26
60	60	177	177	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	505							21					
60	60	177	177	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	506							23					
60	60	355/2	355/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	507							23					
60	60	178	178	0.0	1/4	1/4	Chord	3/4	1	2	0	acciaccatura	1/8	1	508							23					
60	60	178	178	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	509							23					
60	60	357/2	357/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	510												
60	60	179	179	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	511												
60	60	177	177	0.0	0	0	Spanner	3/4	2	1	0																
60	60	177	177	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	512							24					
60	60	355/2	355/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	513							24					
