mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	crescendo_hairpin	decrescendo_hairpin	crescendo_line	pedal	Pedal_<sym>keyboardPedalPed</sym>
25	25	74	74	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	228									35						
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	229									35						
25	25	73	73	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	230															
25	25	74	74	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	231															
25	25	72	72	0.0	0	0	Spanner	3/4	2	1	0																			
25	25	72	72	0.0	0	0	Spanner	3/4	2	1	0																		20	20
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	232														20	20
25	25	73	73	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	233									36					20	20
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	234									36					20	20
25	25	74	74	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	235									36					20	20
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	236														20	20
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	237									35						
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	238									35						
26	26	76	76	0.0	1/4	1/4	Spanner	3/4	1	1	0															4				
26	26	76	76	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	239											4				
26	26	77	77	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	240									37		4				
26	26	75	75	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	241											4				
26	26	76	76	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	242											4				
26	26	75	75	0.0	0	0	Spanner	3/4	2	1	0																			
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	243															
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	244															
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	245															
27	27	78	78	0.0	0	0	Spanner	3/4	1	1	0																			
27	27	78	78	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	246															
27	27	315/4	315/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	247									38						
27	27	79	79	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	248									38						
27	27	238/3	238/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	249									38						
27	27	239/3	239/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	250									38						
27	27	80	80	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	251									38						
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	252									38						
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0																		21	21
27	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	253														21	21
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	254														21	21
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	255														21	21
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	256															
28	28	163/2	163/2	0.0	1/8	1/8	Spanner	3/4	1	1	0														1					
28	28	327/4	327/4	0.0	3/16	3/16	Spanner	3/4	1	1	0																			
28	28	327/4	327/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	257									39						
28	28	82	82	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	258															
28	28	331/4	331/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	259									40						
28	28	83	83	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	260															
28	28	335/4	335/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	261									41						
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0																		22	22
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0																		22	22
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	262														22	22
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	263														22	22
28	28	83	83	0.0	1/2	1/2	Spanner	3/4	2	1	0																			
29	29	84	84	0.0	0	0	Dynamic	3/4	1	1	0					ff														
29	29	84	84	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	264															
29	29	85	85	0.0	1/4	1/4	Dynamic	3/4	1	1	0					fz														
29	29	85	85	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	265									42						
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0																		23	23
29	29	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	266														23	23
29	29	85	85	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	267														23	23
30	30	87	87	0.0	0	0	Dynamic	3/4	1	1	0					p														
30	30	87	87	0.0	0	0	StaffText	3/4	1	1	0							scherzando												
30	30	87	87	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	268															
30	30	87	87	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	269															
30	30	87	87	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	270															
30	30	351/4	351/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	271									43						
30	30	88	88	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	272															
30	30	89	89	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	273		articAccentAbove							44						
30	30	87	87	0.0	0	0	Spanner	3/4	2	1	0																			
30	30	87	87	0.0	0	0	Spanner	3/4	2	1	0																		24	24
30	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	274														24	24
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	275														24	24
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	276														24	24
31	31	90	90	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	277															
31	31	90	90	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	278															
31	31	90	90	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	279															
31	31	363/4	363/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	280									45						
31	31	91	91	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	281															
31	31	92	92	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	282		articAccentAbove							46						
31	31	90	90	0.0	0	0	Spanner	3/4	2	1	0																			
31	31	90	90	0.0	0	0	Spanner	3/4	2	1	0																		25	25
31	31	90	90	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	283														25	25
31	31	91	91	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	284														25	25
31	31	92	92	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	285														25	25
32	32	93	93	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	286															
32	32	93	93	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	287															
32	32	93	93	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	288															
32	32	375/4	375/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	289									47						
32	32	94	94	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	290									47						
32	32	95	95	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	291									47						
32	32	93	93	0.0	0	0	Spanner	3/4	2	1	0																			
32	32	93	93	0.0	0	0	Spanner	3/4	2	1	0																		26	26
32	32	94	94	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	292									48					26	26
32	32	95	95	0.0	1/2	1/2	Spanner	3/4	2	1	0																			
32	32	95	95	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	293															
32	32	93	93	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	294															
33	33	96	96	0.0	0	0	Dynamic	3/4	1	1	0					ff														
33	33	96	96	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	295															
33	33	97	97	0.0	1/4	1/4	Dynamic	3/4	1	1	0					fz														
33	33	97	97	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	296		articAccentAbove							49						
33	33	96	96	0.0	0	0	Spanner	3/4	2	1	0																		27	27
33	33	96	96	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	297														27	27
33	33	97	97	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	298														27	27
34	34	99	99	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	299															
34	34	99	99	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	300															
34	34	199/2	199/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	301															
34	34	100	100	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	302															
34	34	101	101	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	303															
34	34	99	99	0.0	0	0	Dynamic	3/4	1	2	0					pp														
34	34	99	99	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	304															
34	34	100	100	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	305															
34	34	101	101	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	306		articAccentBelow													
34	34	99	99	0.0	0	0	Spanner	3/4	2	1	0																			
34	34	99	99	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	307															
34	34	100	100	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	308															
34	34	101	101	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	309															
35	35	102	102	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	310															
35	35	205/2	205/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	311															
35	35	103	103	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	312															
35	35	104	104	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	313															
35	35	102	102	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	314															
35	35	103	103	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	315															
35	35	104	104	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	316		articAccentBelow													
35	35	102	102	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	317															
35	35	103	103	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	318															
35	35	104	104	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	319															
36	36	105	105	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	320															
36	36	211/2	211/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	321															
36	36	106	106	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	322															
36	36	107	107	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	323															
36	36	105	105	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	324															
36	36	106	106	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	325															
36	36	107	107	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	326															
36	36	105	105	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	327															
36	36	106	106	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	328															
36	36	107	107	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	329															
37	37	108	108	0.0	0	0	Dynamic	3/4	1	1	0					ff														
37	37	108	108	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	330															
37	37	109	109	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	331		articAccentAbove							50						
37	37	108	108	0.0	0	0	Spanner	3/4	2	1	0																		28	28
37	37	108	108	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	332														28	28
37	37	109	109	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	333														28	28
38	38	111	111	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	334		ornamentTrill													
38	38	447/4	447/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	335									51						
38	38	112	112	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	336															
38	38	113	113	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	337		articAccentAbove							52						
38	38	111	111	0.0	0	0	StaffText	3/4	2	1	0							marcato												
38	38	111	111	0.0	0	0	Spanner	3/4	2	1	0																			
38	38	111	111	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	338															
38	38	111	111	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	339															
38	38	112	112	0.0	1/4	1/4	Chord	3/4	2	1	0	acciaccatura	1/8	1	340															
38	38	112	112	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	341															
39	39	114	114	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	342		ornamentTrill													
39	39	459/4	459/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	343									53						
39	39	115	115	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	344															
39	39	116	116	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	345		articAccentAbove							54						
39	39	114	114	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	346															
39	39	114	114	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	347															
39	39	115	115	0.0	1/4	1/4	Chord	3/4	2	1	0	acciaccatura	1/8	1	348															
39	39	115	115	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	349															
39	39	114	114	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	350															
40	40	117	117	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	351															
40	40	471/4	471/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	352															
40	40	118	118	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	353															
40	40	119	119	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	354		articAccentBelow							55						
40	40	117	117	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	355															
40	40	117	117	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	356															
40	40	118	118	0.0	1/4	1/4	Chord	3/4	2	1	0	acciaccatura	1/8	1	357															
40	40	118	118	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	358															
40	40	117	117	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	359															
41	41	120	120	0.0	0	0	Dynamic	3/4	1	1	0					ff														
41	41	120	120	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	360															
41	41	121	121	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	361															
41	41	120	120	0.0	0	0	Spanner	3/4	2	1	0																		29	29
41	41	120	120	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	362														29	29
41	41	121	121	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	363		articAccentAbove												29	29
42	42	123	123	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	364		ornamentTrill													
42	42	247/2	247/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	365															
42	42	124	124	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	366															
42	42	125	125	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	367															
42	42	123	123	0.0	0	0	Dynamic	3/4	1	2	0					pp														
42	42	123	123	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	368															
42	42	124	124	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	369															
42	42	125	125	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	370		articAccentBelow													
42	42	123	123	0.0	0	0	Spanner	3/4	2	1	0																			
42	42	123	123	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	371															
42	42	124	124	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	372															
42	42	125	125	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	373															
43	43	126	126	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	374															
43	43	253/2	253/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	375															
43	43	127	127	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	376															
43	43	128	128	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	377															
43	43	126	126	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	378															
43	43	127	127	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	379															
43	43	128	128	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	380		articAccentBelow													
43	43	126	126	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	381															
43	43	127	127	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	382															
43	43	128	128	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	383															
44	44	129	129	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	384		ornamentTrill													
44	44	259/2	259/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	385															
44	44	130	130	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	386															
44	44	131	131	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	387															
44	44	129	129	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	388															
44	44	130	130	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	389															
44	44	131	131	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	390															
44	44	129	129	0.0	0	0	StaffText	3/4	2	1	0							riten.												
44	44	129	129	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	391															
44	44	130	130	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	392															
44	44	131	131	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	393															
45	45	132	132	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	394		articAccentBelow													
45	45	133	133	0.0	1/4	1/4	Dynamic	3/4	1	1	0					p														
45	45	133	133	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	395															
45	45	133	133	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	396															
45	45	133	133	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	397									56						
45	45	267/2	267/2	0.0	3/8	3/8	Spanner	3/4	1	1	0													56		5				
45	45	267/2	267/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	398									56		5				
45	45	134	134	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	399									56		5				
45	45	269/2	269/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	400											5				
45	45	132	132	0.0	0	0	Spanner	3/4	2	1	0																		30	30
45	45	132	132	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	401														30	30
45	45	133	133	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	402														30	30
45	45	134	134	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	403														30	30
46	46	135	135	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	404											5				
46	46	135	135	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	405											5				
46	46	135	135	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	406									57		5				
46	46	271/2	271/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	407									57		5				
46	46	136	136	0.0	1/4	1/4	Spanner	3/4	1	1	0																			
46	46	136	136	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	408															
46	46	137	137	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	409		articAccentAbove							58						
46	46	135	135	0.0	0	0	Spanner	3/4	2	1	0																		31	31
46	46	135	135	0.0	0	0	Spanner	3/4	2	1	0																		31	31
46	46	135	135	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	410														31	31
46	46	136	136	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	411														31	31
46	46	137	137	0.0	1/2	1/2	Spanner	3/4	2	1	0																			
46	46	137	137	0.0	1/2	1/2	Spanner	3/4	2	1	0																		32	32
46	46	137	137	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	412														32	32
47	47	138	138	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	413															
47	47	139	139	0.0	1/4	1/4	Spanner	3/4	1	1	0															6				
47	47	139	139	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	414									59		6				
47	47	279/2	279/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	415									59		6				
47	47	140	140	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	416									59		6				
47	47	281/2	281/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	417											6				
47	47	138	138	0.0	0	0	Spanner	3/4	2	1	0																			
47	47	138	138	0.0	0	0	Spanner	3/4	2	1	0																		33	33
47	47	138	138	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	418		articAccentBelow												33	33
47	47	139	139	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	419														33	33
48	48	141	141	0.0	0	0	Spanner	3/4	1	1	0																			
48	48	141	141	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	420									60						
48	48	424/3	424/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	421									60						
48	48	425/3	425/3	0.0	1/6	1/6	Spanner	3/4	1	1	0																3			
48	48	425/3	425/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	422												3			
48	48	141	141	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	423												3			
48	48	142	142	1.5	1/4	1/4	Chord	3/4	1	2	3/8		1/4	3/2	424												3			
48	48	287/2	287/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	425									61			3			
48	48	141	141	0.0	0	0	Spanner	3/4	2	1	0																			
48	48	141	141	0.0	0	0	Spanner	3/4	2	1	0																		34	34
48	48	141	141	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	426														34	34
48	48	142	142	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	427														34	34
48	48	143	143	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	428														34	34
49	49	144	144	0.0	0	0	Dynamic	3/4	1	1	0					sf														
49	49	144	144	0.0	0	0	Spanner	3/4	1	1	0																			
49	49	144	144	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	429															
49	49	145	145	0.0	1/4	1/4	Dynamic	3/4	1	1	0					p														
49	49	145	145	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	430															
49	49	145	145	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	431															
49	49	145	145	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	432									62						
49	49	291/2	291/2	0.0	3/8	3/8	Spanner	3/4	1	1	0													62		7				
49	49	291/2	291/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	433									62		7				
49	49	146	146	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	434									62		7				
49	49	293/2	293/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	435											7				
49	49	144	144	0.0	0	0	Spanner	3/4	2	1	0																			
49	49	144	144	0.0	0	0	Spanner	3/4	2	1	0																		35	35
49	49	144	144	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	436														35	35
49	49	145	145	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	437														35	35
49	49	146	146	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	438														35	35
50	50	147	147	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	439											7				
50	50	147	147	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	440											7				
50	50	147	147	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	441									63		7				
50	50	295/2	295/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	442									63		7				
50	50	148	148	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	443											7				
50	50	149	149	0.0	1/2	1/2	Dynamic	3/4	1	1	0					fz														
50	50	149	149	0.0	1/2	1/2	Spanner	3/4	1	1	0																			
50	50	149	149	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	444									64						
50	50	147	147	0.0	0	0	Spanner	3/4	2	1	0																			
50	50	147	147	0.0	0	0	Spanner	3/4	2	1	0																		36	36
50	50	147	147	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	445														36	36
50	50	148	148	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	446														36	36
50	50	149	149	0.0	1/2	1/2	Spanner	3/4	2	1	0																			
50	50	149	149	0.0	1/2	1/2	Spanner	3/4	2	1	0																		37	37
50	50	149	149	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	447														37	37
51	51	150	150	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	448															
51	51	151	151	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	449															
51	51	151	151	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	450									65						
51	51	303/2	303/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	451									65						
51	51	152	152	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	452									65						
51	51	305/2	305/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	453															
51	51	150	150	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	454															
51	51	151	151	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	455															
51	51	152	152	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	456															
51	51	150	150	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	457														37	37
51	51	151	151	0.0	1/4	1/4	Spanner	3/4	2	1	0																			
51	51	151	151	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	458															
51	51	152	152	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	459															
52	52	153	153	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	460									66						
52	52	460/3	460/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	461									66						
52	52	461/3	461/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	462									66						
52	52	154	154	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	463															
52	52	311/2	311/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	464									67						
52	52	153	153	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	465															
52	52	154	154	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	466															
52	52	153	153	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	467									68						
52	52	154	154	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	468															
52	52	155	155	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	469															
52	52	153	153	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	470															
53	53	156	156	0.0	0	0	Dynamic	3/4	1	1	0					f								67						
