mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_line	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Trill:trill	Ottava:8va
35	34	102	102	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	273							25						
36	35	103	103	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	274													
36	35	103	103	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	275							25						
36	35	104	104	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	276							25						
36	35	209/2	209/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	277							25						
36	35	105	105	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	278							25						
36	35	211/2	211/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	279							25						
37	36	107	107	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	280		articStaccatoAbove					26						
37	36	108	108	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	281		articStaccatoAbove											
37	36	106	106	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	282							25						
37	36	107	107	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	283							25						
37	36	108	108	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	284													
38	37	109	109	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	285							27						
38	37	109	109	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	286							28						
38	37	110	110	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	287							28						
38	37	221/2	221/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	288							28						
38	37	111	111	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	289							28						
38	37	223/2	223/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	290							28						
38	37	109	109	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	291													
39	38	112	112	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	292							27						
39	38	112	112	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	293							28						
39	38	337/3	337/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	294							28						
39	38	338/3	338/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	295							28						
39	38	113	113	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	296							28						
39	38	227/2	227/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	297							28						
39	38	114	114	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	298							28						
40	39	115	115	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	299													
40	39	115	115	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	300							28						
40	39	116	116	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	301							28						
40	39	233/2	233/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	302							28						
40	39	117	117	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	303							28						
40	39	235/2	235/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	304							28						
41	40	119	119	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	305		articStaccatoAbove					29						
41	40	120	120	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	306		articStaccatoAbove											
41	40	118	118	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	307							28						
41	40	119	119	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	308							28						
41	40	120	120	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	309													
42	81	121	121	0.0	0	0	Dynamic	3/4	1	1	0					p												
42	81	121	121	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	310							30						
42	81	243/2	243/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	311							30						
42	81	122	122	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	312							30						
42	81	123	123	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	313							30						
42	81	247/2	247/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	314							30						
42	81	122	122	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	315													
42	81	121	121	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	316													
42	81	123	123	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	317													
43	82	124	124	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	318							30						
43	82	249/2	249/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	319							30						
43	82	125	125	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	320							30						
43	82	126	126	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	321							30						
43	82	253/2	253/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	322							30						
43	82	124	124	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	323													
43	82	125	125	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	324													
43	82	126	126	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	325													
44	83	127	127	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	326							30						
44	83	255/2	255/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	327							30						
44	83	128	128	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	328							30						
44	83	129	129	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	329							30						
44	83	259/2	259/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	330							30						
44	83	127	127	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	331													
44	83	128	128	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	332													
44	83	129	129	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	333													
45	84	130	130	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	334							30						
45	84	261/2	261/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	335							30						
45	84	131	131	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	336							30						
45	84	132	132	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	337							30						
45	84	265/2	265/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	338							30						
45	84	130	130	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	339													
45	84	131	131	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	340													
45	84	132	132	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	341													
46	85	133	133	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	342							30						
46	85	267/2	267/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	343							30						
46	85	134	134	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	344							30						
46	85	135	135	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	345							30						
46	85	271/2	271/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	346							30						
46	85	133	133	0.0	0	0	Spanner	3/4	2	1	0														5	5		
46	85	134	134	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	347										5	5		
46	85	133	133	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	348										5	5		
46	85	135	135	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	349										5	5		
47	86	136	136	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	350							30						
47	86	273/2	273/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	351							30						
47	86	137	137	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	352							30						
47	86	138	138	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	353							30						
47	86	277/2	277/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	354							30						
47	86	136	136	0.0	0	0	Spanner	3/4	2	1	0																	
47	86	136	136	0.0	0	0	Spanner	3/4	2	1	0														6	6		
47	86	136	136	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	355										6	6		
47	86	137	137	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	356										6	6		
47	86	136	136	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	357										6	6		
47	86	138	138	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	358										6	6		
48	87	139	139	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	359							30						
48	87	279/2	279/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	360							30						
48	87	140	140	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	361							30						
48	87	141	141	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	362							30						
48	87	283/2	283/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	363							30						
48	87	139	139	0.0	0	0	Spanner	3/4	2	1	0																	
48	87	139	139	0.0	0	0	Spanner	3/4	2	1	0														7	7		
48	87	139	139	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	364										7	7		
48	87	140	140	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	365										7	7		
48	87	139	139	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	366										7	7		
48	87	141	141	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	367										7	7		
49	88	142	142	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	368							30						
49	88	285/2	285/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	369							30						
49	88	143	143	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	370							30						
49	88	144	144	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	371							30						
49	88	289/2	289/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	372							30						
49	88	142	142	0.0	0	0	Spanner	3/4	2	1	0																	
49	88	142	142	0.0	0	0	Spanner	3/4	2	1	0														8	8		
49	88	143	143	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	373										8	8		
49	88	142	142	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	374										8	8		
49	88	144	144	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	375										8	8		
50	89	145	145	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	376							30						
50	89	291/2	291/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	377							30						
50	89	146	146	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	378							30						
50	89	147	147	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	379							30						
50	89	295/2	295/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	380							30						
50	89	145	145	0.0	0	0	Spanner	3/4	2	1	0																	
50	89	145	145	0.0	0	0	Spanner	3/4	2	1	0														9	9		
50	89	145	145	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	381										9	9		
50	89	146	146	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	382										9	9		
50	89	147	147	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	383										9	9		
51	90	148	148	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	384							30						
51	90	297/2	297/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	385							30						
51	90	149	149	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	386							30						
51	90	150	150	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	387							30						
51	90	301/2	301/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	388							30						
51	90	148	148	0.0	0	0	Spanner	3/4	2	1	0																	
51	90	148	148	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	389													
51	90	149	149	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	390													
51	90	150	150	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	391													
52	91	151	151	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	392							30						
52	91	303/2	303/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	393							30						
52	91	152	152	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	394							30						
52	91	153	153	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	395							30						
52	91	307/2	307/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	396							30						
52	91	151	151	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	397													
52	91	152	152	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	398													
52	91	153	153	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	399													
53	92	154	154	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	400							30						
53	92	309/2	309/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	401							30						
53	92	155	155	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	402							30						
53	92	156	156	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	403							30						
53	92	313/2	313/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	404							30						
53	92	154	154	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	405													
53	92	155	155	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	406													
53	92	156	156	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	407													
54	93	157	157	0.0	0	0	Spanner	3/4	1	1	0											30	0					
54	93	157	157	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	408							30	0					
54	93	315/2	315/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	409							30	0					
54	93	158	158	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	410							30	0					
54	93	159	159	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	411							30	0					
54	93	319/2	319/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	412							30	0					
54	93	157	157	0.0	0	0	Spanner	3/4	2	1	0														10	10		
54	93	157	157	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	413										10	10		
54	93	158	158	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	414										10	10		
54	93	159	159	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	415										10	10		
55	94	160	160	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	416							30	0					
55	94	321/2	321/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	417							30	0					
55	94	161	161	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	418							30	0					
55	94	162	162	0.0	1/2	1/2	Spanner	3/4	1	1	0											30	0					0
55	94	162	162	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	419							30	0					0
55	94	325/2	325/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	420							30	0					0
55	94	160	160	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	421										10	10		
55	94	161	161	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	422										10	10		
55	94	162	162	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	423										10	10		
56	95	163	163	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	424							30	0					0
56	95	327/2	327/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	425							30	0					0
56	95	164	164	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	426							30	0					0
56	95	165	165	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	427							30	0					0
56	95	331/2	331/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	428							30	0					0
56	95	163	163	0.0	0	0	Spanner	3/4	2	1	0																	
56	95	163	163	0.0	0	0	Spanner	3/4	2	1	0														11	11		
56	95	163	163	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	429										11	11		
56	95	164	164	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	430										11	11		
56	95	165	165	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	431										11	11		
57	96	166	166	0.0	0	0	Spanner	3/4	1	1	0											30						0
57	96	166	166	0.0	0	0	Spanner	3/4	1	1	0											30		0				0
57	96	166	166	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	432							30		0				0
57	96	333/2	333/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	433							30		0				0
57	96	167	167	0.0	1/4	1/4	Spanner	3/4	1	1	0											30		0				
57	96	167	167	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	434							30		0				
57	96	168	168	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	435							30		0				
57	96	337/2	337/2	0.0	5/8	5/8	Spanner	3/4	1	1	0											30						
57	96	337/2	337/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	436							30						
57	96	166	166	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	437										11	11		
57	96	167	167	0.0	1/4	1/4	Spanner	3/4	2	1	0																	
57	96	167	167	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	438													
57	96	168	168	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	439													
58	97	169	169	0.0	0	0	Dynamic	3/4	1	1	0					p						30						
58	97	169	169	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	440							30						
58	97	339/2	339/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	441							30						
58	97	170	170	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	442							30						
58	97	171	171	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	443							30						
58	97	343/2	343/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	444							30						
58	97	169	169	0.0	0	0	Spanner	3/4	2	1	0														12	12		
58	97	169	169	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	445										12	12		
58	97	170	170	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	446										12	12		
58	97	171	171	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	447										12	12		
59	98	172	172	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	448							30						
59	98	345/2	345/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	449							30						
59	98	173	173	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	450							30						
59	98	174	174	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	451							30						
59	98	349/2	349/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	452							30						
59	98	172	172	0.0	0	0	Spanner	3/4	2	1	0																	
59	98	172	172	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	453													
59	98	173	173	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	454													
59	98	172	172	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	455													
59	98	174	174	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	456													
60	99	175	175	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	457							30						
60	99	351/2	351/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	458							30						
60	99	176	176	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	459							30						
60	99	177	177	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	460							30						
60	99	355/2	355/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	461							30						
60	99	175	175	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	462													
60	99	176	176	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	463													
60	99	177	177	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	464													
61	100	178	178	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	465							30						
61	100	357/2	357/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	466							30						
61	100	179	179	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	467							30						
61	100	180	180	0.0	1/2	1/2	Spanner	3/4	1	1	0											30						1
61	100	180	180	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	468							30						1
61	100	361/2	361/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	469							30						1
61	100	178	178	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	470													
61	100	179	179	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	471													
61	100	180	180	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	472													
62	101	181	181	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	473							30						1
62	101	363/2	363/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	474							30						1
62	101	182	182	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	475							30						1
62	101	183	183	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	476							30						1
62	101	367/2	367/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	477							30						1
62	101	181	181	0.0	0	0	Spanner	3/4	2	1	0														13	13		
62	101	181	181	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	478										13	13		
62	101	182	182	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	479										13	13		
62	101	183	183	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	480										13	13		
63	102	184	184	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	481							30						1
63	102	369/2	369/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	482							30						1
63	102	185	185	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	483							30						1
63	102	186	186	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	484							30						1
63	102	373/2	373/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	485							30						1
63	102	184	184	0.0	0	0	Spanner	3/4	2	1	0																	
63	102	184	184	0.0	0	0	Spanner	3/4	2	1	0														14	14		
63	102	184	184	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	486										14	14		
63	102	185	185	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	487										14	14		
63	102	186	186	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	488										14	14		
64	103	187	187	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	489							30						1
64	103	375/2	375/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	490							30						1
64	103	188	188	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	491							30						1
64	103	189	189	0.0	1/2	1/2	Spanner	3/4	1	1	0											30						
64	103	189	189	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	492							30						
64	103	379/2	379/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	493							30						
64	103	187	187	0.0	0	0	Spanner	3/4	2	1	0																	
64	103	187	187	0.0	0	0	Spanner	3/4	2	1	0														15	15		
64	103	187	187	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	494										15	15		
64	103	188	188	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	495										15	15		
64	103	189	189	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	496										15	15		
65	104	190	190	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	497							30						
65	104	381/2	381/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	498							30						
65	104	191	191	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	499							30						
65	104	192	192	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	500							30						
65	104	385/2	385/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	501							30						
65	104	190	190	0.0	0	0	Spanner	3/4	2	1	0																	
65	104	190	190	0.0	0	0	Spanner	3/4	2	1	0														16	16		
65	104	190	190	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	502										16	16		
65	104	191	191	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	503										16	16		
65	104	192	192	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	504										16	16		
66	105	193	193	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	505							30						
66	105	387/2	387/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	506							30						
66	105	194	194	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	507							30						
66	105	195	195	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	508							30						
66	105	391/2	391/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	509							30						
66	105	193	193	0.0	0	0	Spanner	3/4	2	1	0																	
66	105	193	193	0.0	0	0	Spanner	3/4	2	1	0														17	17		
66	105	193	193	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	510										17	17		
66	105	194	194	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	511										17	17		
66	105	195	195	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	512										17	17		
67	106	196	196	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	513							30						
67	106	393/2	393/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	514							30						
67	106	197	197	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	515							30						
67	106	198	198	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	516							30						
67	106	397/2	397/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	517							30						
67	106	196	196	0.0	0	0	Spanner	3/4	2	1	0														18	18		
67	106	196	196	0.0	0	0	Spanner	3/4	2	1	0														18	18		
67	106	196	196	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	518										18	18		
67	106	197	197	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	519										18	18		
67	106	198	198	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	520										18	18		
68	107	199	199	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	521							30						
68	107	399/2	399/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	522							30						
68	107	200	200	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	523							30						
68	107	201	201	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	524							30						
68	107	403/2	403/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	525							30						
68	107	199	199	0.0	0	0	Spanner	3/4	2	1	0																	
68	107	199	199	0.0	0	0	Spanner	3/4	2	1	0														19	19		
68	107	199	199	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	526										19	19		
68	107	200	200	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	527										19	19		
68	107	201	201	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	528										19	19		
69	108	202	202	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	529							30						
69	108	405/2	405/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	530							30						
69	108	203	203	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	531							30						
69	108	204	204	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	532							30						
69	108	409/2	409/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	533							30						
69	108	202	202	0.0	0	0	Spanner	3/4	2	1	0																	
