mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	pedal	Pedal_<sym>keyboardPedalPed</sym>
23	22	131/2	131/2	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	189									34				
23	22	131/2	131/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	190									34				
23	22	66	66	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	191									34				
23	22	127/2	127/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	192		articAccentAbove							33				
23	22	129/2	129/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	193									33				
23	22	131/2	131/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	194									33				
24	23	133/2	133/2	0.0	0	0	Dynamic	3/4	1	1	0					fz												
24	23	133/2	133/2	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	195													
24	23	133/2	133/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	196		articStaccatoAbove											
24	23	269/4	269/4	0.0	3/16	3/16	Dynamic	3/4	1	1	0					p												
24	23	269/4	269/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	197									35				
24	23	135/2	135/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	198													
24	23	68	68	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	199									36				
24	23	137/2	137/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	200									36				
24	23	69	69	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	201									36				
24	23	133/2	133/2	0.0	0	0	Spanner	3/4	2	1	0																3	3
24	23	133/2	133/2	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	202												3	3
24	23	135/2	135/2	0.0	1/4	1/4	Spanner	3/4	2	1	0																	
24	23	135/2	135/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	203									37				
24	23	137/2	137/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	204									37				
25	24	139/2	139/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	205									36				
25	24	70	70	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	206									36				
25	24	141/2	141/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	207									36				
25	24	71	71	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	208													
25	24	143/2	143/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	209		articAccentBelow											
25	24	139/2	139/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	210									37				
25	24	141/2	141/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	211									37				
25	24	143/2	143/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	212													
26	25	145/2	145/2	0.0	0	0	StaffText	3/4	1	1	0							dolciss.										
26	25	145/2	145/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	213									38				
26	25	73	73	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	214									38				
26	25	147/2	147/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	215									38				
26	25	74	74	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	216									38				
26	25	149/2	149/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	217									38				
26	25	145/2	145/2	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	218													
26	25	147/2	147/2	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	219													
26	25	149/2	149/2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	220		articAccentBelow											
26	25	145/2	145/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	221													
26	25	147/2	147/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	222													
26	25	149/2	149/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	223													
27	26	151/2	151/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	224									38				
27	26	76	76	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	225									38				
27	26	153/2	153/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	226									38				
27	26	77	77	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	227									38				
27	26	155/2	155/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	228													
27	26	151/2	151/2	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	229													
27	26	153/2	153/2	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	230													
27	26	155/2	155/2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	231		articAccentBelow											
27	26	151/2	151/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	232													
27	26	153/2	153/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	233													
27	26	155/2	155/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	234													
28	27	157/2	157/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	235									39				
28	27	79	79	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	236									39				
28	27	159/2	159/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	237									39				
28	27	80	80	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	238									39				
28	27	161/2	161/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	239									39				
28	27	157/2	157/2	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	240													
