mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	diminuendo_line	crescendo_line	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	TextLine	TextLine_poco stretto	TextLine_slentando	Trill:trill
32	32	93	93	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	244							30										
32	32	94	94	0.0	1/4	1/4	Spanner	3/4	1	1	0														2							
32	32	94	94	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	245										2							
32	32	93	93	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	246												16	16				
32	32	94	94	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	247												16	16				
33	33	96	96	0.0	0	0	Dynamic	3/4	1	1	0					p																
33	33	96	96	0.0	0	0	Spanner	3/4	1	1	0																					
33	33	96	96	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	248							31										
33	33	98	98	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	249							31										
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	250							31										
33	33	96	96	0.0	0	0	Spanner	3/4	2	1	0																					
33	33	96	96	0.0	0	0	Spanner	3/4	2	1	0																17	17				
33	33	96	96	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	251												17	17				
33	33	387/4	387/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	252							32					17	17				
33	33	97	97	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	253												17	17				
33	33	98	98	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	254							33					17	17				
34	34	99	99	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	255							31										
34	34	399/4	399/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	256							31										
34	34	100	100	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	257							31										
34	34	101	101	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	258							31										
34	34	99	99	0.0	0	0	Spanner	3/4	2	1	0																					
34	34	99	99	0.0	0	0	Spanner	3/4	2	1	0																18	18				
34	34	99	99	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	259		articStaccatoAbove										18	18				
34	34	399/4	399/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	260							34					18	18				
34	34	100	100	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	261												18	18				
34	34	101	101	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	262							35					18	18				
35	35	102	102	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	263							31										
35	35	104	104	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	264							31										
35	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	265							31										
35	35	102	102	0.0	0	0	Spanner	3/4	2	1	0																19	19				
35	35	102	102	0.0	0	0	Spanner	3/4	2	1	0																19	19				
35	35	102	102	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	266		articStaccatoBelow										19	19				
35	35	411/4	411/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	267							36					19	19				
35	35	103	103	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	268												19	19				
35	35	104	104	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	269							37					19	19				
36	36	105	105	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	270							31										
36	36	423/4	423/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	271							31										
36	36	106	106	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	272							31										
36	36	107	107	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	273																	
36	36	105	105	0.0	0	0	Spanner	3/4	2	1	0																					
36	36	105	105	0.0	0	0	Spanner	3/4	2	1	0																20	20				
36	36	105	105	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	274		articStaccatoAbove										20	20				
36	36	423/4	423/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	275							38					20	20				
36	36	106	106	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	276												20	20				
36	36	107	107	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	277							39					20	20				
37	37	108	108	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	278							40										
37	37	110	110	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	279							40										
37	37	221/2	221/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	280							40										
37	37	108	108	0.0	0	0	Spanner	3/4	2	1	0																					
37	37	108	108	0.0	0	0	Spanner	3/4	2	1	0																21	21				
37	37	108	108	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	281		articStaccatoBelow										21	21				
37	37	435/4	435/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	282							41					21	21				
37	37	109	109	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	283												21	21				
37	37	110	110	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	284							42					21	21				
38	38	111	111	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	285							40										
38	38	447/4	447/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	286							40										
38	38	112	112	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	287							40										
38	38	113	113	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	288							40										
38	38	111	111	0.0	0	0	Spanner	3/4	2	1	0																					
38	38	111	111	0.0	0	0	Spanner	3/4	2	1	0																22	22				
38	38	111	111	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	289		articStaccatoAbove										22	22				
38	38	447/4	447/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	290							43					22	22				
38	38	112	112	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	291												22	22				
38	38	113	113	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	292							44					22	22				
39	39	114	114	0.0	0	0	Tempo	3/4	1	1	0								pocorit.	114.0	1.0	40										
39	39	114	114	0.0	0	0	Spanner	3/4	1	1	0											40										0
39	39	114	114	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	293							40										0
39	39	114	114	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	294		articAccentBelow					40										0
39	39	114	114	0.0	0	0	Spanner	3/4	2	1	0																					
39	39	114	114	0.0	0	0	Spanner	3/4	2	1	0																23	23				
39	39	114	114	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	295		articStaccatoBelow										23	23				
39	39	459/4	459/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	296							45					23	23				
39	39	115	115	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	297												23	23				
39	39	116	116	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	298							46					23	23				
40	40	117	117	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	299							40										0
40	40	117	117	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	300							40										0
40	40	117	117	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	301							40										0
40	40	117	117	0.0	0	0	Spanner	3/4	2	1	0																					
40	40	117	117	0.0	0	0	Spanner	3/4	2	1	0																24	24				
40	40	117	117	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	302		articStaccatoBelow										24	24				
40	40	471/4	471/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	303							47					24	24				
40	40	118	118	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	304												24	24				
40	40	119	119	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	305							48					24	24				
41	41	120	120	0.0	0	0	Tempo	3/4	1	1	0								atempo	116.0	1.0	40										
41	41	120	120	0.0	0	0	Dynamic	3/4	1	1	0					other-dynamics						40										
41	41	120	120	0.0	0	0	Spanner	3/4	1	1	0											40										
41	41	120	120	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	306							40										
41	41	122	122	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	307							40										
41	41	245/2	245/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	308							40										
41	41	120	120	0.0	0	0	Spanner	3/4	2	1	0																					
41	41	120	120	0.0	0	0	Spanner	3/4	2	1	0																25	25				
41	41	120	120	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	309		articStaccatoBelow										25	25				
41	41	483/4	483/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	310							49					25	25				
41	41	121	121	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	311												25	25				
41	41	122	122	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	312							50					25	25				
42	42	123	123	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	313							40										
42	42	495/4	495/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	314							40										
42	42	124	124	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	315							40										
42	42	125	125	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	316							40										
42	42	123	123	0.0	0	0	Spanner	3/4	2	1	0																					
42	42	123	123	0.0	0	0	Spanner	3/4	2	1	0																26	26				
42	42	123	123	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	317		articStaccatoBelow										26	26				
42	42	495/4	495/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	318							51					26	26				
42	42	124	124	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	319												26	26				
42	42	125	125	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	320							52					26	26				
43	43	126	126	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	321							40										
43	43	128	128	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	322							40										
43	43	257/2	257/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	323							40										
43	43	126	126	0.0	0	0	Spanner	3/4	2	1	0																					
43	43	126	126	0.0	0	0	Spanner	3/4	2	1	0																27	27				
43	43	126	126	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	324		articStaccatoBelow										27	27				
43	43	507/4	507/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	325							53					27	27				
43	43	127	127	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	326												27	27				
43	43	128	128	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	327							54					27	27				
44	44	129	129	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	328							40										
44	44	519/4	519/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	329							40										
44	44	130	130	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	330							40										
44	44	131	131	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	331																	
44	44	129	129	0.0	0	0	Spanner	3/4	2	1	0																					
44	44	129	129	0.0	0	0	Spanner	3/4	2	1	0																28	28				
44	44	129	129	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	332		articStaccatoBelow										28	28				
44	44	519/4	519/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	333							55					28	28				
44	44	130	130	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	334												28	28				
44	44	131	131	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	335							56					28	28				
45	45	132	132	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	336							57										
45	45	134	134	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	337							57										
45	45	269/2	269/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	338							57										
45	45	132	132	0.0	0	0	Spanner	3/4	2	1	0																					
45	45	132	132	0.0	0	0	Spanner	3/4	2	1	0																29	29				
45	45	132	132	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	339		articStaccatoBelow										29	29				
45	45	531/4	531/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	340							58					29	29				
45	45	133	133	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	341												29	29				
45	45	134	134	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	342							59					29	29				
46	46	135	135	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	343							57										
46	46	543/4	543/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	344							57										
46	46	136	136	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	345							57										
46	46	137	137	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	346							57										
46	46	135	135	0.0	0	0	Spanner	3/4	2	1	0																30	30				
46	46	135	135	0.0	0	0	Spanner	3/4	2	1	0																30	30				
46	46	135	135	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	347		articStaccatoBelow										30	30				
46	46	543/4	543/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	348							60					30	30				
46	46	136	136	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	349												30	30				
46	46	137	137	0.0	1/2	1/2	Spanner	3/4	2	1	0																					
46	46	137	137	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	350																	
47	47	138	138	0.0	0	0	Spanner	3/4	1	1	0											57	0									
47	47	138	138	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	351							57	0									
47	47	555/4	555/4	0.0	3/16	3/16	Spanner	3/4	1	1	0											57										
47	47	555/4	555/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	352							57										
47	47	139	139	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	353							57										
47	47	140	140	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	354							57										
47	47	138	138	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	355																	
47	47	555/4	555/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	356																	
47	47	139	139	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	357																	
47	47	140	140	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	358																	
48	48	141	141	0.0	0	0	Dynamic	3/4	1	1	0					pp						57										
48	48	141	141	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	359							57										
48	48	567/4	567/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	360							57										
48	48	142	142	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	361							57										
48	48	571/4	571/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	362							57										
48	48	143	143	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	363							57										
48	48	575/4	575/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	364							57										
48	48	141	141	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	365																	
48	48	567/4	567/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	366																	
48	48	142	142	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	367																	
49	49	144	144	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	368							57										
49	49	146	146	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	369							57										
49	49	293/2	293/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	370							57										
49	49	144	144	0.0	0	0	Spanner	3/4	2	1	0																31	31				
49	49	144	144	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	371		articStaccatoBelow										31	31				
49	49	579/4	579/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	372							61					31	31				
49	49	145	145	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	373												31	31				
49	49	146	146	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	374							62					31	31				
50	50	147	147	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	375																	
50	50	591/4	591/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	376							63										
50	50	148	148	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	377							63										
50	50	149	149	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	378		articAccentAbove					63, 64										
50	50	147	147	0.0	0	0	Spanner	3/4	2	1	0																					
50	50	147	147	0.0	0	0	Spanner	3/4	2	1	0																32	32				
50	50	147	147	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	379		articStaccatoBelow										32	32				
50	50	591/4	591/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	380							65					32	32				
50	50	148	148	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	381												32	32				
50	50	149	149	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	382							66					32	32				
51	51	150	150	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	383							63, 64										
51	51	150	150	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	384																	
51	51	152	152	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	385																	
51	51	305/2	305/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	386																	
51	51	150	150	0.0	0	0	Spanner	3/4	2	1	0																					
51	51	150	150	0.0	0	0	Spanner	3/4	2	1	0																33	33				
51	51	150	150	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	387		articStaccatoBelow										33	33				
51	51	603/4	603/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	388							67					33	33				
51	51	151	151	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	389												33	33				
51	51	152	152	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	390							68					33	33				
52	52	153	153	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	391							63, 64										
52	52	153	153	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	392																	
52	52	615/4	615/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16		1/16	1	393																	
52	52	154	154	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	394																	
52	52	155	155	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	395		articAccentBelow					69										
52	52	153	153	0.0	0	0	Spanner	3/4	2	1	0																					
52	52	153	153	0.0	0	0	Spanner	3/4	2	1	0																34	34				
52	52	153	153	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	396		articStaccatoAbove										34	34				
52	52	615/4	615/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	397							70					34	34				
52	52	154	154	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	398												34	34				
52	52	155	155	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	399							71					34	34				
53	53	156	156	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	400																	
53	53	156	156	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	401							69										
53	53	158	158	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	402							69										
53	53	317/2	317/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	403							69										
53	53	156	156	0.0	0	0	Spanner	3/4	2	1	0																					
53	53	156	156	0.0	0	0	Spanner	3/4	2	1	0																35	35				
53	53	156	156	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	404		articStaccatoBelow										35	35				
53	53	627/4	627/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	405							72					35	35				
53	53	157	157	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	406												35	35				
53	53	158	158	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	407												35	35				
54	54	159	159	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	408																	
54	54	639/4	639/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	409																	
54	54	160	160	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	410																	
54	54	161	161	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	411																	
54	54	159	159	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	412																	
54	54	159	159	0.0	0	0	Spanner	3/4	2	1	0																					
54	54	159	159	0.0	0	0	Spanner	3/4	2	1	0																36	36				
54	54	159	159	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	413		articStaccatoAbove										36	36				
54	54	639/4	639/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	414							73					36	36				
54	54	160	160	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	415												36	36				
54	54	161	161	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	416							74					36	36				
55	55	162	162	0.0	0	0	Dynamic	3/4	1	1	0					f																
55	55	162	162	0.0	0	0	Tempo	3/4	1	1	0								pocorit.	114.0	1.0											
55	55	162	162	0.0	0	0	Spanner	3/4	1	1	0																					1
55	55	162	162	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	417																	1
55	55	162	162	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	418																	1
55	55	162	162	0.0	0	0	Spanner	3/4	2	1	0																					
55	55	162	162	0.0	0	0	Spanner	3/4	2	1	0																37	37				
55	55	162	162	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	419		articStaccatoBelow										37	37				
55	55	651/4	651/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	420							75					37	37				
55	55	163	163	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	421												37	37				
55	55	164	164	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	422							76					37	37				
56	56	165	165	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	423																	1
56	56	165	165	0.0	0	0	Chord	3/4	1	1	0	grace16after	1/16	1	424																	1
56	56	165	165	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	425																	1
56	56	165	165	0.0	0	0	Spanner	3/4	2	1	0																					
56	56	165	165	0.0	0	0	Spanner	3/4	2	1	0																38	38				
56	56	165	165	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	426		articStaccatoBelow										38	38				
56	56	663/4	663/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	427							77					38	38				
56	56	166	166	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	428												38	38				
56	56	167	167	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	429							78					38	38				
57	57	168	168	0.0	0	0	Dynamic	3/4	1	1	0					other-dynamics																
57	57	168	168	0.0	0	0	Tempo	3/4	1	1	0								atempo	116.0	1.0											
57	57	168	168	0.0	0	0	Spanner	3/4	1	1	0																					
57	57	168	168	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	430							79										
57	57	170	170	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	431							79										
57	57	341/2	341/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	432							79										
57	57	168	168	0.0	0	0	Spanner	3/4	2	1	0																					
57	57	168	168	0.0	0	0	Spanner	3/4	2	1	0																39	39				
57	57	168	168	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	433		articStaccatoBelow										39	39				
57	57	675/4	675/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	434							80					39	39				
57	57	169	169	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	435												39	39				
57	57	170	170	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	436							81					39	39				
58	58	171	171	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	437																	
58	58	687/4	687/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	438							82										
58	58	172	172	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	439							82										
58	58	173	173	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	440		articAccentAbove					82										
58	58	171	171	0.0	0	0	Spanner	3/4	2	1	0																40	40				
58	58	171	171	0.0	0	0	Spanner	3/4	2	1	0																40	40				
58	58	171	171	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	441		articStaccatoBelow										40	40				
58	58	687/4	687/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	442							83					40	40				
58	58	172	172	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	443												40	40				
58	58	173	173	0.0	1/2	1/2	Spanner	3/4	2	1	0																					
58	58	173	173	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	444							84										
59	59	174	174	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	445							82										
59	59	174	174	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	446							85										
59	59	176	176	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	447							85										
59	59	353/2	353/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	448							85										
59	59	174	174	0.0	0	0	Spanner	3/4	2	1	0																41	41				
59	59	174	174	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	449		articStaccatoBelow										41	41				
59	59	699/4	699/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	450							86					41	41				
59	59	175	175	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	451												41	41				
59	59	176	176	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	452							87					41	41				
60	60	177	177	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	453							82										
60	60	177	177	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	454							85										
60	60	711/4	711/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16		1/16	1	455							85										
60	60	178	178	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	456																	
60	60	179	179	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	457		articAccentAbove															
60	60	177	177	0.0	0	0	Spanner	3/4	2	1	0																					
60	60	177	177	0.0	0	0	Spanner	3/4	2	1	0																42	42				
60	60	177	177	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	458		articStaccatoBelow										42	42				
60	60	711/4	711/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	459							88					42	42				
60	60	178	178	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	460												42	42				
60	60	179	179	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	461							89					42	42				
61	61	180	180	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	462							82										
61	61	182	182	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	463							82										
61	61	365/2	365/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	464							82										
61	61	180	180	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	465																	
61	61	180	180	0.0	0	0	Spanner	3/4	2	1	0																					
61	61	180	180	0.0	0	0	Spanner	3/4	2	1	0																43	43				
61	61	180	180	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	466		articStaccatoBelow										43	43				
61	61	723/4	723/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	467							90					43	43				
61	61	181	181	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	468												43	43				
61	61	182	182	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	469							91					43	43				
