mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	crescendo_line	diminuendo_line	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
36	34	205/2	205/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	251								21						
36	34	102	102	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	252														
37	35	103	103	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	253								22						
37	35	207/2	207/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	254								22						
37	35	104	104	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	255								22						
37	35	105	105	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	256								22						
37	35	211/2	211/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	257								22						
37	35	103	103	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	258														
37	35	104	104	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	259														
37	35	209/2	209/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	260														
37	35	105	105	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	261														
37	35	211/2	211/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	262														
37	35	104	104	2.0	1/4	1/4	Chord	3/4	1	3	1/2		1/2	1	263								23						
37	35	103	103	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	264														
37	35	104	104	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	265														
37	35	105	105	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	266														
37	35	211/2	211/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	267														
37	35	103	103	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	268														
38	36	106	106	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	269								22						
38	36	213/2	213/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	270								22						
38	36	107	107	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	271								22						
38	36	108	108	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	272								22						
38	36	106	106	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	273														
38	36	107	107	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	274														
38	36	107	107	1.5	1/4	1/4	Chord	3/4	1	3	3/8		1/4	3/2	275														
38	36	217/2	217/2	0.5	5/8	5/8	Chord	3/4	1	3	1/8		1/8	1	276														
38	36	106	106	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	277														
38	36	213/2	213/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	278														
38	36	107	107	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	279														
38	36	106	106	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	280														
39	37	109	109	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	281														
39	37	109	109	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	282														
39	37	110	110	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	283								24						
39	37	221/2	221/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	284								24						
39	37	111	111	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	285								24						
39	37	223/2	223/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	286								24						
40	38	112	112	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	287								25						
40	38	114	114	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	288								25						
40	38	112	112	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	289								24						
40	38	225/2	225/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	290								24						
40	38	113	113	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	291								24						
40	38	229/2	229/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	292								26						
41	39	115	115	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	293								25						
41	39	115	115	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	294								27						
41	39	116	116	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	295								27						
41	39	233/2	233/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	296								27						
41	39	117	117	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	297								27						
41	39	235/2	235/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	298								27						
41	39	115	115	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	299														
42	40	118	118	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	300								25						
42	40	118	118	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	301								27						
42	40	237/2	237/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	302								27						
42	40	119	119	1.5	1/4	1/4	Chord	3/4	1	2	3/8		1/4	3/2	303								27						
42	40	241/2	241/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	304														
42	40	118	118	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	305														
42	40	119	119	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	306														
42	40	120	120	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	307														
42	40	118	118	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	308														
43	41	121	121	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	309								25						
43	41	243/2	243/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	310								25						
43	41	122	122	0.0	1/4	1/4	Dynamic	3/4	1	1	0						pp						25						
43	41	122	122	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	311								25						
43	41	123	123	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	312								25						
43	41	121	121	0.0	0	0	Spanner	3/4	2	1	0																	11	11
43	41	121	121	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	313													11	11
44	42	124	124	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	314								25						
44	42	249/2	249/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	315								25						
44	42	125	125	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	316								25						
44	42	126	126	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	317								25						
44	42	124	124	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	318													11	11
45	43	127	127	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	319								25						
45	43	255/2	255/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	320								25						
45	43	128	128	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	321								25						
45	43	129	129	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	322								25						
46	44	130	130	0.0	0	0	Spanner	3/4	1	1	0												25	5					
46	44	130	130	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	323								25	5					
46	44	261/2	261/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	324								25	5					
46	44	131	131	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	325								25	5					
46	44	132	132	0.0	1/2	1/2	Spanner	3/4	1	1	0												25						
46	44	132	132	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	326								25						
47	45	133	133	0.0	0	0	Dynamic	3/4	1	1	0						p						25						
47	45	133	133	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	327								25						
47	45	267/2	267/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	328								25						
47	45	134	134	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	329								25						
47	45	135	135	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	330								25						
47	45	133	133	0.0	0	0	Spanner	3/4	2	1	0																		
47	45	133	133	0.0	0	0	Spanner	3/4	2	1	0																	12	12
47	45	133	133	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	331													12	12
47	45	134	134	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	332													12	12
47	45	135	135	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	333													12	12
48	46	136	136	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	334								25						
48	46	273/2	273/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	335								25						
48	46	137	137	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	336								25						
48	46	138	138	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	337								25						
48	46	136	136	0.0	0	0	Spanner	3/4	2	1	0																		
48	46	136	136	0.0	0	0	Spanner	3/4	2	1	0																	13	13
48	46	136	136	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	338													13	13
48	46	137	137	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	339													13	13
48	46	138	138	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	340													13	13
49	47	139	139	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	341								25						
49	47	279/2	279/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	342								25						
49	47	140	140	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	343								25						
49	47	141	141	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	344								25						
49	47	139	139	0.0	0	0	Spanner	3/4	2	1	0																		
49	47	139	139	0.0	0	0	Spanner	3/4	2	1	0																	14	14
49	47	139	139	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	345													14	14
49	47	140	140	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	346													14	14
49	47	141	141	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	347													14	14
50	48	142	142	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	348								25						
50	48	285/2	285/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	349								25						
50	48	143	143	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	350								25						
50	48	144	144	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	351								25						
50	48	142	142	0.0	0	0	Spanner	3/4	2	1	0																	15	15
50	48	142	142	0.0	0	0	Spanner	3/4	2	1	0																	15	15
50	48	142	142	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	352													15	15
50	48	143	143	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	353													15	15
50	48	144	144	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	354													15	15
51	49	145	145	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	355								25						
51	49	291/2	291/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	356								25						
51	49	146	146	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	357								25						
51	49	147	147	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	358								25						
51	49	145	145	0.0	0	0	Spanner	3/4	2	1	0																		
51	49	145	145	0.0	0	0	Spanner	3/4	2	1	0																	16	16
51	49	145	145	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	359													16	16
51	49	146	146	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	360													16	16
51	49	147	147	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	361													16	16
52	50	148	148	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	362								25						
52	50	297/2	297/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	363								25						
52	50	149	149	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	364								25						
52	50	150	150	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	365								25						
52	50	148	148	0.0	0	0	Spanner	3/4	2	1	0																		
52	50	148	148	0.0	0	0	Spanner	3/4	2	1	0																	17	17
52	50	148	148	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	366													17	17
52	50	149	149	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	367													17	17
52	50	150	150	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	368													17	17
53	51	151	151	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	369								25						
53	51	303/2	303/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	370								25						
53	51	152	152	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	371								25						
53	51	153	153	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	372								25						
53	51	151	151	0.0	0	0	Spanner	3/4	2	1	0																		
53	51	151	151	0.0	0	0	Spanner	3/4	2	1	0																	18	18
53	51	151	151	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	373													18	18
53	51	152	152	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	374													18	18
53	51	153	153	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	375													18	18
54	52	154	154	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	376								25						
54	52	309/2	309/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	377								25						
54	52	155	155	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	378								25						
54	52	156	156	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	379								25						
54	52	154	154	0.0	0	0	Spanner	3/4	2	1	0																		
54	52	154	154	0.0	0	0	Spanner	3/4	2	1	0																	19	19
54	52	154	154	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	380													19	19
54	52	155	155	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	381													19	19
54	52	156	156	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	382													19	19
55	53	157	157	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	383								25						
55	53	315/2	315/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	384								25						
55	53	158	158	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	385								25						
55	53	159	159	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	386								25						
55	53	157	157	0.0	0	0	Spanner	3/4	2	1	0																		
55	53	157	157	0.0	0	0	Spanner	3/4	2	1	0																	20	20
55	53	157	157	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	387													20	20
55	53	158	158	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	388													20	20
55	53	159	159	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	389													20	20
56	54	160	160	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	390								25						
56	54	321/2	321/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	391								25						
56	54	161	161	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	392								25						
56	54	162	162	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	393								25						
56	54	160	160	0.0	0	0	Spanner	3/4	2	1	0																		
56	54	160	160	0.0	0	0	Spanner	3/4	2	1	0																	21	21
56	54	160	160	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	394													21	21
56	54	161	161	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	395													21	21
56	54	162	162	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	396													21	21
57	55	163	163	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	397								25						
57	55	327/2	327/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	398								25						
57	55	164	164	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	399								25						
57	55	165	165	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	400								25						
57	55	163	163	0.0	0	0	Spanner	3/4	2	1	0																		
57	55	163	163	0.0	0	0	Spanner	3/4	2	1	0																	22	22
57	55	163	163	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	401													22	22
57	55	164	164	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	402													22	22
57	55	165	165	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	403													22	22
58	56	166	166	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	404								25						
58	56	333/2	333/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	405								25						
58	56	167	167	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	406								25						
58	56	168	168	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	407								25						
58	56	166	166	0.0	0	0	Spanner	3/4	2	1	0																		
58	56	166	166	0.0	0	0	Spanner	3/4	2	1	0																	23	23
58	56	166	166	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	408													23	23
58	56	167	167	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	409													23	23
58	56	168	168	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	410													23	23
59	57	169	169	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	411								25						
59	57	339/2	339/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	412								25						
59	57	170	170	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	413								25						
59	57	171	171	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	414								25						
59	57	169	169	0.0	0	0	Spanner	3/4	2	1	0																		
59	57	169	169	0.0	0	0	Spanner	3/4	2	1	0																	24	24
59	57	169	169	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	415													24	24
59	57	170	170	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	416													24	24
59	57	171	171	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	417													24	24
60	58	172	172	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	418								25						
60	58	345/2	345/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	419								25						
60	58	173	173	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	420								25						
60	58	174	174	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	421								25						
60	58	172	172	0.0	0	0	Spanner	3/4	2	1	0																		
60	58	172	172	0.0	0	0	Spanner	3/4	2	1	0																	25	25
60	58	172	172	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	422													25	25
60	58	173	173	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	423													25	25
60	58	174	174	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	424													25	25
61	59	175	175	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	425								25						
61	59	351/2	351/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	426								25						
61	59	176	176	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	427								25						
61	59	177	177	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	428								25						
61	59	175	175	0.0	0	0	Spanner	3/4	2	1	0																		
61	59	175	175	0.0	0	0	Spanner	3/4	2	1	0																	26	26
61	59	175	175	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	429													26	26
61	59	176	176	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	430													26	26
61	59	177	177	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
61	59	177	177	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	431														
62	60	178	178	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	432								25						
62	60	357/2	357/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	433								25						
62	60	179	179	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	434								25						
62	60	180	180	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	435														
62	60	178	178	0.0	0	0	Spanner	3/4	2	1	0																	27	27
62	60	178	178	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	436													27	27
62	60	179	179	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	437													27	27
62	60	180	180	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	438													27	27
63	61	181	181	0.0	0	0	StaffText	3/4	1	1	0								sostenuto										
63	61	181	181	0.0	0	0	Spanner	3/4	1	1	0													6					
63	61	181	181	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	439								28	6					
63	61	181	181	0.0	0	0	Spanner	3/4	2	1	0																		
63	61	181	181	0.0	0	0	Spanner	3/4	2	1	0																	28	28
63	61	181	181	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	440													28	28
63	61	182	182	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	441													28	28
63	61	183	183	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	442													28	28
64	62	184	184	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	443								28	6					
64	62	186	186	0.0	1/2	1/2	Spanner	3/4	1	1	0												28						
64	62	186	186	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	444								28						
64	62	747/4	747/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	445								28						
64	62	184	184	0.0	0	0	Spanner	3/4	2	1	0																		
64	62	184	184	0.0	0	0	Spanner	3/4	2	1	0																	29	29
64	62	184	184	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	446													29	29
64	62	185	185	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	447													29	29
65	63	187	187	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	448								28						
65	63	375/2	375/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	449								28						
65	63	188	188	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	450								28						
65	63	379/2	379/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	451								28						
65	63	187	187	0.0	0	0	Spanner	3/4	2	1	0																		
65	63	187	187	0.0	0	0	Spanner	3/4	2	1	0																	30	30
65	63	187	187	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	452													30	30
65	63	188	188	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	453													30	30
65	63	189	189	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	454													30	30
66	64	190	190	0.0	0	0	Spanner	3/4	1	1	0												28				2		
66	64	190	190	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	455								28				2		
66	64	381/2	381/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	456								28				2		
66	64	191	191	0.0	1/4	1/4	Spanner	3/4	1	1	0																		
66	64	191	191	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	457														
66	64	190	190	0.0	0	0	Spanner	3/4	2	1	0																		
66	64	190	190	0.0	0	0	Spanner	3/4	2	1	0																	31	31
66	64	190	190	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	458								29					31	31
66	64	191	191	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	459								29					31	31
66	64	192	192	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	460								29					31	31
67	65	193	193	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	461								30						
67	65	387/2	387/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	462								30						
67	65	194	194	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	463								30						
67	65	195	195	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	464								30						
67	65	391/2	391/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	465								30						
67	65	193	193	0.0	0	0	Spanner	3/4	2	1	0																		
67	65	193	193	0.0	0	0	Spanner	3/4	2	1	0																	32	32
67	65	193	193	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	466													32	32
67	65	194	194	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	467								31					32	32
67	65	195	195	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
67	65	195	195	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	468														
68	66	196	196	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	469								30						
68	66	198	198	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	470								30						
68	66	197	197	0.0	1/4	1/4	Spanner	3/4	2	1	0																	33	33
68	66	197	197	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	471								32					33	33
68	66	198	198	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	472													33	33
69	67	199	199	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	473								30						
69	67	399/2	399/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	474								30						
69	67	200	200	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	475								30						
69	67	201	201	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	476								30						
69	67	403/2	403/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	477								30						
69	67	199	199	0.0	0	0	Spanner	3/4	2	1	0																		
69	67	199	199	0.0	0	0	Spanner	3/4	2	1	0																	34	34
69	67	200	200	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	478								33					34	34
69	67	201	201	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	479													34	34
70	68	202	202	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	480								30						
70	68	204	204	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	481								30						
70	68	202	202	0.0	0	0	Spanner	3/4	2	1	0																		
70	68	202	202	0.0	0	0	Spanner	3/4	2	1	0																	35	35
70	68	202	202	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	482													35	35
70	68	203	203	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	483													35	35
70	68	204	204	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	484													35	35
71	69	205	205	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	485								30						
71	69	206	206	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	486								30						
71	69	205	205	0.0	0	0	Spanner	3/4	2	1	0																		
71	69	206	206	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	487								34						
71	69	207	207	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	488														
72	70	208	208	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	489								30						
72	70	417/2	417/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	490								30						
72	70	209	209	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	491								30						
72	70	210	210	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	492								30						
72	70	421/2	421/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	493								30						
72	70	209	209	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	494								35						
72	70	210	210	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	495								35						
73	71	211	211	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	496								30						
73	71	213	213	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	497								30						
73	71	211	211	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	498								35						
73	71	212	212	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	499								35						
73	71	213	213	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	500														
74	72	214	214	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	501								30						
