mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	crescendo_hairpin	diminuendo_line	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
32	30	89	89	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	260															
32	30	88	88	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	261		articAccentBelow							50						
32	30	89	89	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	262									50						
32	30	90	90	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	263									50						
33	31	92	92	0.75		1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	264									51						
33	31	371/4	371/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	265									51						
33	31	93	93	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	266									51						
33	31	91	91	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	267															
33	31	92	92	2.0		1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	268		articAccentBelow													
33	31	92	92	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	269															
33	31	91	91	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	270															
33	31	92	92	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	271									52						
33	31	93	93	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	272									52						
34	32	94	94	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	273									51						
34	32	379/4	379/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	274									51						
34	32	95	95	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	275									51						
34	32	96	96	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	276															
34	32	94	94	3.0		0	0	Chord	3/4	1	2	3/4		1/2	3/2	277		articAccentBelow													
34	32	94	94	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	278															
34	32	96	96	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	279															
34	32	95	95	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	280									52						
34	32	96	96	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	281									52						
35	33	97	97	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	282									53						
35	33	391/4	391/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	283									53						
35	33	98	98	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	284									53						
35	33	197/2	197/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	285									53						
35	33	99	99	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	286									53						
35	33	98	98	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	287															
35	33	97	97	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	288		articAccentBelow							52						
35	33	98	98	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	289									52						
35	33	99	99	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	290															
36	34	100	100	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	291									53						
36	34	403/4	403/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	292									53						
36	34	101	101	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	293															
36	34	203/2	203/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	294									54						
36	34	102	102	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	295															
36	34	101	101	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	296															
36	34	100	100	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	297		articAccentBelow							55						
36	34	101	101	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	298									55						
36	34	102	102	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	299															
37	35	103	103	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	300									56						
37	35	310/3	310/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	301									56						
37	35	311/3	311/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	302									56						
37	35	104	104	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	303									56						
37	35	313/3	313/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	304									56						
37	35	314/3	314/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	305									56						
37	35	105	105	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	306									56						
37	35	316/3	316/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	307															
37	35	635/6	635/6	0.16666666666666666		17/24	17/24	Chord	3/4	1	1	1/24		1/16	2/3	308									57						
37	35	104	104	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	309															
37	35	103	103	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	310		articAccentBelow							58						
37	35	104	104	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	311															
37	35	105	105	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	312									59						
38	36	106	106	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	313															
38	36	106	106	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	314									60						
38	36	106	106	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	315															
38	36	106	106	0.75		0	0	Chord	3/4	2	2	3/16		1/8	3/2	316									59						
38	36	427/4	427/4	0.25		3/16	3/16	Chord	3/4	2	2	1/16		1/16	1	317									59						
38	36	107	107	0.5		1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	318									59						
38	36	215/2	215/2	0.5		3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	319									59						
38	36	108	108	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	320															
39	37	109	109	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	321		articStaccatissimoAbove													
39	37	439/4	439/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	322									61						
39	37	110	110	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	323									61						
39	37	221/2	221/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	324									61						
39	37	111	111	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	325															
39	37	110	110	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	326															
39	37	109	109	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	327		articAccentBelow							62						
39	37	110	110	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	328									62						
39	37	111	111	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	329															
40	38	112	112	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	330		articAccentAbove													
40	38	225/2	225/2	0.125		1/8	1/8	Chord	3/4	1	1	1/32		1/32	1	331									63						
40	38	901/8	901/8	0.125		5/32	5/32	Chord	3/4	1	1	1/32		1/32	1	332									63						
40	38	451/4	451/4	0.125		3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	333									63						
40	38	903/8	903/8	0.125		7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	334									63						
40	38	113	113	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	335															
40	38	455/4	455/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	336									64						
40	38	114	114	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	337		articAccentAbove													
40	38	112	112	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	338		articAccentAbove							65						
40	38	113	113	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	339															
40	38	114	114	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	340		articAccentBelow							66						
41	39	115	115	0.0		0	0	Spanner	3/4	1	1	0															1				
41	39	115	115	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	341									67		1				
41	39	463/4	463/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	342									67		1				
41	39	116	116	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	343									67		1				
41	39	117	117	0.0		1/2	1/2	Spanner	3/4	1	1	0													67						
41	39	117	117	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	344									67						
41	39	471/4	471/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	345									67						
41	39	117	117	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	346															
41	39	115	115	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	347									66						
41	39	116	116	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	348															
41	39	117	117	0.75		1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	349									68						
41	39	471/4	471/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	350									68						
41	39	117	117	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	351															
42	40		118	0.75	1	0	0	Chord	3/4	1	1	3/16		1/8	3/2	352									67						
42	40		475/4	0.25	1	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	353									67						
42	40		119	1.0	1	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	354															
42	40		118	0.0	1	0	0	Dynamic	3/4	1	2	0					p														
42	40		118	1.0	1	0	0	Chord	3/4	1	2	1/4		1/4	1	355															
42	40		118	0.75	1	0	0	Chord	3/4	2	1	3/16		1/8	3/2	356									68						
42	40		475/4	0.25	1	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	357									68						
42	40		119	1.0	1	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	358															
42	40		118	2.0	1	0	0	Chord	3/4	2	2	1/2		1/2	1	359															
43	40	118	120	0.75	2	0	0	Chord	3/4	1	1	3/16		1/8	3/2	360									69						
43	40	475/4	483/4	0.25	2	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	361									69						
43	40	119	121	2.0	2	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	362															
43	40	118	120	1.0	2	0	0	Chord	3/4	1	2	1/4		1/4	1	363															
43	40	118	120	0.75	2	0	0	Chord	3/4	2	1	3/16		1/8	3/2	364									70						
43	40	475/4	483/4	0.25	2	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	365									70						
43	40	119	121	1.0	2	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	366															
43	40	120	122	1.0	2	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	367		articAccentAbove													
43	40	118	120	3.0	2	0	0	Chord	3/4	2	2	3/4		1/2	3/2	368															
44	41	121	123	0.0		0	0	Dynamic	3/4	1	1	0					p														
44	41	121	123	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	369															
44	41	487/4	495/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	370									71						
44	41	122	124	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	371									71						
44	41	247/2	251/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	372									71						
44	41	121	123	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	373									72						
44	41	122	124	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	374									72						
44	41	123	125	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	375									72						
45	42	124	126	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	376															
45	42	499/4	507/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	377									73						
45	42	125	127	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	378															
45	42	126	128	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	379															
45	42	124	126	0.0		0	0	Spanner	3/4	2	1	0																		6	6
45	42	124	126	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	380		articStaccatoBelow												6	6
45	42	125	127	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	381									74					6	6
45	42	126	128	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	382									74					6	6
46	43	127	129	0.0		0	0	Spanner	3/4	1	1	0														0					
46	43	127	129	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	383									75	0					
46	43	511/4	519/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	384									75	0					
46	43	128	130	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	385									75	0					
46	43	259/2	263/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	386									75	0					
46	43	127	129	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	387									74					6	6
46	43	128	130	0.0		1/4	1/4	Spanner	3/4	2	1	0													74						
46	43	128	130	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	388									74						
46	43	129	131	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	389									74						
47	44	130	132	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	390										0					
47	44	523/4	531/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	391									76	0					
47	44	131	133	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	392										0					
47	44	132	134	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	393										0					
47	44	130	132	0.0		0	0	Spanner	3/4	2	1	0																		7	7
47	44	130	132	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	394		articStaccatoBelow												7	7
47	44	131	133	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	395														7	7
47	44	132	134	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	396														7	7
48	45	133	135	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	397									77	0					
48	45	535/4	543/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	398									77	0					
48	45	134	136	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	399									77	0					
48	45	271/2	275/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	400									77	0					
48	45	133	135	0.0		0	0	Spanner	3/4	2	1	0																			
48	45	134	136	0.0		1/4	1/4	Spanner	3/4	2	1	0																	1		
48	45	134	136	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	401									78				1		
48	45	135	137	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	402									78				1		
49	46	136	138	0.0		0	0	Spanner	3/4	1	1	0													77						
49	46	136	138	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	403									77						
49	46	273/2	277/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	404									77						
49	46	137	139	0.0		1/4	1/4	Spanner	3/4	1	1	0													77			0			
49	46	137	139	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	405									77			0			
49	46	277/2	281/2	0.0		5/8	5/8	Spanner	3/4	1	1	0													77						
49	46	277/2	281/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	406									77						
49	46	136	138	0.0		0	0	Spanner	3/4	2	1	0																			
49	46	136	138	0.0		0	0	Spanner	3/4	2	1	0																		8	8
49	46	136	138	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	407		articStaccatoBelow												8	8
49	46	137	139	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	408														8	8
49	46	138	140	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	409														8	8
50	47	139	141	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	410									77						
50	47	279/2	283/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	411									77						
50	47	140	142	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	412									77						
50	47	281/2	285/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	413									77						
50	47	141	143	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	414									77						
50	47	283/2	287/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	415									77						
50	47	139	141	0.0		0	0	Spanner	3/4	2	1	0																			
50	47	139	141	0.0		0	0	Spanner	3/4	2	1	0																		9	9
50	47	139	141	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	416														9	9
50	47	140	142	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	417														9	9
50	47	141	143	0.0		1/2	1/2	StaffText	3/4	2	1	0							smorz.											9	9
50	47	141	143	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	418														9	9
51	48	142	144	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	419									77						
51	48	285/2	289/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	420									77						
51	48	143	145	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	421									77						
51	48	287/2	291/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	422									77						
51	48	144	146	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	423									77						
51	48	289/2	293/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	424									77						
51	48	142	144	0.0		0	0	Spanner	3/4	2	1	0																			
51	48	142	144	0.0		0	0	Spanner	3/4	2	1	0																		10	10
51	48	142	144	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	425														10	10
51	48	143	145	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	426														10	10
51	48	144	146	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	427														10	10
52	49	145	147	0.0		0	0	Dynamic	3/4	1	1	0					p								77						
52	49	145	147	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	428									77						
52	49	291/2	295/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	429									77						
52	49	146	148	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	430									77						
52	49	295/2	299/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	431									77						
52	49	145	147	0.0		0	0	Spanner	3/4	2	1	0																			
52	49	146	148	0.0		1/4	1/4	Spanner	3/4	2	1	0																		11	11
52	49	146	148	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	432														11	11
52	49	147	149	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	433														11	11
53	50	148	150	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	434															
53	50	595/4	603/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	435									79						
53	50	149	151	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	436															
53	50	150	152	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	437															
53	50	148	150	0.0		0	0	Spanner	3/4	2	1	0																			
53	50	148	150	0.0		0	0	Spanner	3/4	2	1	0																		12	12
53	50	148	150	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	438		articStaccatoBelow												12	12
53	50	149	151	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	439									80					12	12
53	50	150	152	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	440									80					12	12
54	51	151	153	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	441									81						
54	51	607/4	615/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	442									81						
54	51	152	154	0.0		1/4	1/4	Spanner	3/4	1	1	0													81	1					
54	51	152	154	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	443									81	1					
54	51	307/2	311/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	444									81	1					
54	51	151	153	0.0		0	0	Spanner	3/4	2	1	0													80						
54	51	151	153	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	445									80						
54	51	152	154	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	446									80						
54	51	153	155	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	447															
55	52	154	156	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	448										1					
55	52	619/4	627/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	449									82	1					
55	52	155	157	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	450										1					
55	52	156	158	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	451										1					
55	52	154	156	0.0		0	0	Spanner	3/4	2	1	0																		13	13
55	52	154	156	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	452		articStaccatoBelow												13	13
55	52	155	157	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	453														13	13
55	52	156	158	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	454														13	13
56	53	157	159	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	455									83	1					
56	53	631/4	639/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	456									83	1					
56	53	158	160	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	457									83	1					
56	53	319/2	323/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	458									83	1					
56	53	157	159	0.0		0	0	Spanner	3/4	2	1	0																			
56	53	158	160	0.0		1/4	1/4	Spanner	3/4	2	1	0																	2		
56	53	158	160	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	459													2		
56	53	159	161	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	460													2		
57	54	160	162	0.0		0	0	Spanner	3/4	1	1	0													83						
57	54	160	162	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	461									83						
57	54	321/2	325/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	462									83						
57	54	161	163	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	463									83						
57	54	325/2	329/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	464									83						
57	54	160	162	0.0		0	0	Spanner	3/4	2	1	0																			
57	54	160	162	0.0		0	0	Spanner	3/4	2	1	0																		14	14
57	54	160	162	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	465		articStaccatoBelow												14	14
57	54	161	163	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	466														14	14
57	54	162	164	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	467														14	14
58	55	163	165	0.0		0	0	Spanner	3/4	1	1	0													83				3		
58	55	163	165	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	468									83				3		
58	55	327/2	331/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	469									83				3		
58	55	164	166	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	470									83				3		
58	55	165	167	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	471									83				3		
58	55	163	165	0.0		0	0	Spanner	3/4	2	1	0																			
58	55	163	165	0.0		0	0	Spanner	3/4	2	1	0																		15	15
58	55	164	166	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	472														15	15
58	55	165	167	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	473														15	15
59	56	166	168	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	474													3		
59	56	667/4	675/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	475									84				3		
59	56	167	169	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	476													3		
59	56	166	168	0.0		0	0	Spanner	3/4	2	1	0																			
59	56	166	168	0.0		0	0	Spanner	3/4	2	1	0																		16	16
59	56	166	168	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	477														16	16
59	56	167	169	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	478														16	16
60	56	168	170	0.0		0	1/2	Spanner	3/4	1	1	0																			
60	56	168	170	1.0		0	1/2	Chord	3/4	1	1	1/4		1/4	1	479		articAccentBelow							85						
60	56	168	170	0.0		0	1/2	Spanner	3/4	2	1	0																			
61	57	169	171	0.0		0	0	Spanner	3/4	1	1	0															2				
61	57	169	171	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	480		articStaccatoBelow							86		2				
61	57	508/3	514/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	481		articStaccatoBelow							86		2				
61	57	509/3	515/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	482		articStaccatoBelow							86		2				
61	57	170	172	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	483		articStaccatoAbove							86		2				
61	57	171	173	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	484		articStaccatoAbove							86		2				
61	57	514/3	520/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	485		articStaccatoAbove							86		2				
61	57	515/3	521/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	486		articStaccatoAbove							86		2				
61	57	169	171	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	487															
61	57	170	172	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	488															
61	57	171	173	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	489															
62	58	172	174	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	490		articStaccatoAbove							86		2				
62	58	517/3	523/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	491		articStaccatoAbove							86		2				
62	58	518/3	524/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	492		articStaccatoAbove							86		2				
62	58	173	175	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	493		articStaccatoAbove							86		2				
62	58	174	176	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	494		articStaccatoAbove									2				
62	58	172	174	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	495															
62	58	173	175	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	496															
62	58	174	176	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	497															
63	59	175	177	0.0		0	0	Spanner	3/4	1	1	0																			
63	59	175	177	0.0		0	0	Spanner	3/4	1	1	0															3				
63	59	175	177	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	498		articStaccatoBelow							87		3				
63	59	526/3	532/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	499		articStaccatoBelow							87		3				
63	59	527/3	533/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	500		articStaccatoBelow							87		3				
63	59	176	178	0.75		1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	501		articStaccatoAbove							87		3				
63	59	707/4	715/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	502		articStaccatoAbove							87		3				
63	59	177	179	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	503		articStaccatoAbove							87		3				
63	59	532/3	538/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	504		articStaccatoAbove							87		3				
63	59	533/3	539/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	505		articStaccatoAbove							87		3				
63	59	175	177	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	506															
