mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
34	32	94	97	1.0	2	0	0	Chord	3/4	2	1	1/4		1/4	1	228		articStaccatoBelow										19	19
34	32	95	98	1.0	2	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	229												19	19
34	32	96	99	1.0	2	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	230												19	19
35	33	97	100	0.0		0	0	StaffText	3/4	1	1	0							con anima						45				
35	33	97	100	0.0		0	0	Spanner	3/4	1	1	0													45		2		
35	33	97	100	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	231									45		2		
35	33	391/4	403/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	232									46		2		
35	33	98	101	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	233											2		
35	33	199/2	205/2	0.0		5/8	5/8	Spanner	3/4	1	1	0																	
35	33	199/2	205/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	234													
35	33	97	100	0.0		0	0	Spanner	3/4	2	1	0																	
35	33	97	100	0.0		0	0	Spanner	3/4	2	1	0																20	20
35	33	97	100	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	235												20	20
35	33	98	101	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	236												20	20
35	33	99	102	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	237												20	20
36	34	100	103	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	238		articAccentBelow											
36	34	403/4	415/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	239									47				
36	34	101	104	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	240		articAccentBelow											
36	34	205/2	211/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	241													
36	34	100	103	0.0		0	0	Spanner	3/4	2	1	0																	
36	34	100	103	0.0		0	0	Spanner	3/4	2	1	0																21	21
36	34	100	103	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	242		articStaccatoBelow										21	21
36	34	101	104	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	243												21	21
36	34	102	105	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	244												21	21
37	35	103	106	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	245		articAccentBelow											
37	35	415/4	427/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	246									48				
37	35	104	107	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	247													
37	35	211/2	217/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	248													
37	35	103	106	0.0		0	0	Spanner	3/4	2	1	0																	
37	35	103	106	0.0		0	0	Spanner	3/4	2	1	0																22	22
37	35	103	106	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	249		articStaccatoBelow										22	22
37	35	104	107	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	250												22	22
37	35	105	108	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	251												22	22
38	36	106	109	0.0		0	0	Spanner	3/4	1	1	0															3		
38	36	106	109	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	252									49		3		
38	36	427/4	439/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	253									49		3		
38	36	107	110	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	254		articStaccatoAbove									3		
38	36	108	111	0.0		1/2	1/2	Spanner	3/4	1	1	0																	
38	36	108	111	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	255		articAccentAbove							50				
38	36	106	109	0.0		0	0	Spanner	3/4	2	1	0																	
38	36	106	109	0.0		0	0	Spanner	3/4	2	1	0																23	23
38	36	106	109	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	256		articStaccatoBelow										23	23
38	36	107	110	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	257												23	23
38	36	108	111	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	258												23	23
39	37	109	112	0.0		0	0	Spanner	3/4	1	1	0													50	1			
39	37	109	112	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	259									50	1			
39	37	439/4	451/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	260									50	1			
39	37	110	113	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	261									50	1			
39	37	111	114	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	262									50	1			
39	37	109	112	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	263										1			
39	37	110	113	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	264										1			
39	37	111	114	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	265										1			
39	37	109	112	0.0		0	0	Spanner	3/4	2	1	0																	
39	37	109	112	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	266													
39	37	110	113	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	267													
39	37	111	114	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	268													
40	38	112	115	0.0		0	0	Spanner	3/4	1	1	0																	
40	38	112	115	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	269													
40	38	451/4	463/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	270									51				
40	38	113	116	0.0		1/4	1/4	Spanner	3/4	1	1	0													51	2			
40	38	113	116	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	271									51	2			
40	38	114	117	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	272									51	2			
40	38	112	115	0.5		0	0	Chord	3/4	1	2	1/8		1/8	1	273										2			
40	38	113	116	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	274										2			
40	38	114	117	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	275										2			
40	38	112	115	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	276													
40	38	113	116	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	277													
40	38	114	117	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	278													
41	39	115	118	0.0		0	0	Spanner	3/4	1	1	0													51				
41	39	115	118	0.0		0	0	Spanner	3/4	1	1	0													51		4		
41	39	115	118	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	279									51		4		
41	39	463/4	475/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	280									51		4		
41	39	116	119	0.0		1/4	1/4	Spanner	3/4	1	1	0													51				
41	39	116	119	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	281									51				
41	39	235/2	241/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	282									51				
41	39	115	118	0.0		0	0	Spanner	3/4	2	1	0																24	24
41	39	115	118	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	283												24	24
41	39	116	119	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	284												24	24
41	39	117	120	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	285												24	24
42	40	118	121	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	286									51				
42	40	475/4	487/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	287									51				
42	40	119	122	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	288													
42	40	118	121	0.0		0	0	Spanner	3/4	2	1	0																	
42	40	118	121	0.0		0	0	Spanner	3/4	2	1	0																25	25
42	40	118	121	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	289												25	25
42	40	119	122	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	290												25	25
42	40	120	123	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	291												25	25
43	41	121	124	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	292													
43	41	121	124	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	293		articAccentBelow											
43	41	487/4	499/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	294									52				
43	41	122	125	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	295													
43	41	247/2	253/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	296													
43	41	121	124	0.0		0	0	Spanner	3/4	2	1	0																	
43	41	121	124	0.0		0	0	Spanner	3/4	2	1	0																26	26
43	41	121	124	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	297		articStaccatoBelow										26	26
43	41	122	125	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	298												26	26
43	41	123	126	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	299												26	26
44	42	124	127	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	300													
44	42	499/4	511/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	301									53				
44	42	125	128	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	302		articAccentBelow											
44	42	253/2	259/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	303									54				
44	42	124	127	0.0		0	0	Spanner	3/4	2	1	0																	
44	42	124	127	0.0		0	0	Spanner	3/4	2	1	0																27	27
44	42	124	127	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	304		articStaccatoBelow										27	27
44	42	125	128	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	305												27	27
44	42	126	129	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	306												27	27
45	43	127	130	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	307													
45	43	127	130	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	308													
45	43	127	130	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	309		articAccentBelow											
45	43	511/4	523/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	310									55				
45	43	128	131	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	311													
45	43	259/2	265/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	312													
45	43	127	130	0.0		0	0	Spanner	3/4	2	1	0																	
45	43	127	130	0.0		0	0	Spanner	3/4	2	1	0																28	28
45	43	127	130	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	313												28	28
45	43	128	131	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	314												28	28
45	43	129	132	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	315												28	28
46	44	130	133	0.0		0	0	Spanner	3/4	1	1	0															5		
46	44	130	133	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	316									56		5		
46	44	523/4	535/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	317									56		5		
46	44	131	134	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	318		articStaccatoAbove									5		
46	44	132	135	0.0		1/2	1/2	Spanner	3/4	1	1	0																	
46	44	132	135	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	319		articAccentAbove							57				
46	44	130	133	0.0		0	0	Spanner	3/4	2	1	0																	
46	44	130	133	0.0		0	0	Spanner	3/4	2	1	0																29	29
46	44	130	133	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	320		articStaccatoBelow										29	29
46	44	131	134	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	321												29	29
46	44	132	135	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	322												29	29
47	45	133	136	0.0		0	0	Spanner	3/4	1	1	0													57	3			
47	45	133	136	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	323									57	3			
47	45	535/4	547/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	324									57	3			
47	45	134	137	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	325									57	3			
47	45	135	138	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	326									57	3			
47	45	133	136	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	327										3			
47	45	134	137	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	328										3			
47	45	135	138	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	329										3			
47	45	133	136	0.0		0	0	Spanner	3/4	2	1	0																	
47	45	133	136	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	330													
47	45	134	137	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	331													
47	45	135	138	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	332													
48	46	136	139	0.0		0	0	Spanner	3/4	1	1	0																	
48	46	136	139	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	333		articStaccatoAbove											
48	46	273/2	279/2	0.0		1/8	1/8	Spanner	3/4	1	1	0														4			
48	46	547/4	559/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	334									58	4			
48	46	137	140	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	335									58	4			
48	46	138	141	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	336										4			
48	46	136	139	0.0		0	0	Dynamic	3/4	1	2	0					p									4			
48	46	136	139	0.5		0	0	Chord	3/4	1	2	1/8		1/8	1	337										4			
48	46	137	140	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	338										4			
48	46	138	141	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	339										4			
48	46	136	139	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	340													
48	46	137	140	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	341													
48	46	138	141	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	342													
49	47	139	142	0.0		0	0	Spanner	3/4	1	1	0																	
49	47	139	142	0.0		0	0	Spanner	3/4	1	1	0															6		
49	47	139	142	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	343									59		6		
49	47	559/4	571/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	344									59		6		
49	47	140	143	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	345											6		
49	47	283/2	289/2	0.0		5/8	5/8	Spanner	3/4	1	1	0																	
49	47	283/2	289/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	346													
49	47	139	142	0.0		0	0	Spanner	3/4	2	1	0																30	30
49	47	139	142	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	347												30	30
49	47	140	143	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	348												30	30
49	47	141	144	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	349												30	30
50	48	142	145	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	350													
50	48	571/4	583/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	351													
50	48	143	146	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	352		articAccentAbove							60				
50	48	142	145	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	353		articAccentBelow											
50	48	143	146	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	354													
50	48	144	147	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	355													
50	48	142	145	0.0		0	0	Spanner	3/4	2	1	0																31	31
50	48	142	145	0.0		0	0	Spanner	3/4	2	1	0																31	31
50	48	142	145	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	356												31	31
50	48	143	146	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	357												31	31
50	48	144	147	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	358												31	31
51	49	145	148	0.0		0	0	StaffText	3/4	1	1	0							a tempo										
51	49	145	148	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	359													
51	49	583/4	595/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	360													
51	49	146	149	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	361													
51	49	147	150	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	362													
51	49	145	148	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	363									61				
51	49	146	149	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	364									61				
51	49	147	150	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	365									61				
51	49	145	148	0.0		0	0	Spanner	3/4	2	1	0																	
51	49	145	148	0.0		0	0	Spanner	3/4	2	1	0																32	32
51	49	145	148	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	366		articStaccatoBelow										32	32
51	49	146	149	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	367												32	32
51	49	147	150	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	368												32	32
52	50	148	151	0.0		0	0	Spanner	3/4	1	1	0														5			
52	50	148	151	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	369		articAccentAbove							62	5			
52	50	150	153	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	370									62	5			
52	50	301/2	307/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	371									62	5			
52	50	148	151	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	372										5			
52	50	148	151	0.0		0	0	Spanner	3/4	2	1	0																	
52	50	148	151	0.0		0	0	Spanner	3/4	2	1	0																33	33
52	50	148	151	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	373												33	33
52	50	149	152	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	374												33	33
52	50	150	153	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	375												33	33
53	51	151	154	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	376										5			
53	51	607/4	619/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	377									63	5			
53	51	152	155	0.0		1/4	1/4	Spanner	3/4	1	1	0													63				
53	51	152	155	0.0		1/4	1/4	Spanner	3/4	1	1	0													63		7		
53	51	152	155	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	378									63		7		
53	51	153	156	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	379									63		7		
53	51	151	154	0.0		0	0	Spanner	3/4	2	1	0																	
53	51	152	155	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	380		articStaccatoBelow							64				
53	51	153	156	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	381		articStaccatoBelow											
54	52	154	157	0.0		0	0	Spanner	3/4	1	1	0													63				
54	52	154	157	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	382									63				
54	52	309/2	315/2	1.5		1/8	1/8	Chord	3/4	1	1	3/8		1/4	3/2	383													
54	52	154	157	3.0		0	0	Chord	3/4	1	2	3/4		1/2	3/2	384									65				
54	52	154	157	0.0		0	0	Spanner	3/4	2	1	0																34	34
54	52	155	158	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	385		articStaccatoAbove							66			34	34
54	52	156	159	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	386		articStaccatoAbove										34	34
55	53	157	160	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	387													
55	53	631/4	643/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	388									67				
55	53	158	161	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	389									67				
55	53	159	162	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	390									67				
55	53	157	160	0.0		0	0	Spanner	3/4	2	1	0																	
55	53	157	160	0.0		0	0	Spanner	3/4	2	1	0																35	35
55	53	157	160	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	391												35	35
55	53	158	161	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	392												35	35
55	53	159	162	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	393												35	35
56	54	160	163	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	394		articAccentBelow											
56	54	162	165	0.0		1/2	1/2	Spanner	3/4	1	1	0															8		
56	54	162	165	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	395									68		8		
56	54	651/4	663/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	396									68		8		
56	54	160	163	0.0		0	0	Spanner	3/4	2	1	0																	
56	54	160	163	0.0		0	0	Spanner	3/4	2	1	0																36	36
56	54	160	163	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	397		articStaccatoBelow										36	36
56	54	161	164	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	398												36	36
56	54	162	165	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	399												36	36
57	55	163	166	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	400		articStaccatoBelow							68		8		
57	55	327/2	333/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	401		articStaccatoBelow							68		8		
57	55	164	167	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	402		articStaccatoBelow							68		8		
57	55	165	168	0.0		1/2	1/2	Spanner	3/4	1	1	0													68				
57	55	165	168	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	403		articAccentStaccatoBelow							68				
57	55	163	166	0.0		0	0	Spanner	3/4	2	1	0																	
57	55	164	167	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	404									69				
57	55	165	168	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	405													
58	56	166	169	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	406													
58	56	166	169	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	407		articAccentBelow											
58	56	168	171	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	408		articAccentBelow											
58	56	167	170	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	409		articStaccatoAbove							70				
58	56	168	171	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	410		articStaccatoAbove											
59	57	169	172	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	411													
59	57	679/4	691/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	412									71				
59	57	170	173	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	413									71				
59	57	341/2	347/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	414									71				
59	57	171	174	0.75		1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	415									71				
59	57	687/4	699/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	416									71				
59	57	341/2	347/2	1.5		3/8	3/8	Chord	3/4	1	2	3/8		1/4	3/2	417													
59	57	169	172	0.0		0	0	StaffText	3/4	2	1	0							sempre più										
59	57	169	172	0.0		0	0	Spanner	3/4	2	1	0																37	37
59	57	169	172	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	418												37	37
59	57	170	173	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	419												37	37
59	57	171	174	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	420												37	37
60	58	172	175	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	421		articAccentBelow											
60	58	174	177	0.0		1/2	1/2	Spanner	3/4	1	1	0														6			
60	58	174	177	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	422									72	6			
60	58	349/2	355/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	423									72	6			
60	58	172	175	0.0		0	0	Spanner	3/4	2	1	0																	
60	58	172	175	0.0		0	0	Spanner	3/4	2	1	0																38	38
60	58	172	175	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	424		articStaccatoBelow										38	38
60	58	173	176	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	425												38	38
60	58	174	177	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	426												38	38
61	59	175	178	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	427									72	6			
61	59	703/4	715/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	428									72	6			
61	59	176	179	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	429									72	6			
61	59	177	180	0.0		1/2	1/2	Spanner	3/4	1	1	0													72				
61	59	177	180	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	430		articAccentAbove							72				
61	59	175	178	0.0		0	0	Spanner	3/4	2	1	0																	
61	59	176	179	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	431		articStaccatoBelow							73				
61	59	177	180	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	432		articStaccatoBelow											
62	60	178	181	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	433									72				
62	60	357/2	363/2	1.5		1/8	1/8	Chord	3/4	1	1	3/8		1/4	3/2	434													
62	60	178	181	3.0		0	0	Chord	3/4	1	2	3/4		1/2	3/2	435		articAccentBelow							74				
62	60	178	181	0.0		0	0	Spanner	3/4	2	1	0																39	39
62	60	179	182	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	436												39	39
62	60	180	183	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	437												39	39
63	61	181	184	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	438		articStaccatoBelow											
63	61	727/4	739/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	439									75				
63	61	182	185	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	440													
63	61	183	186	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	441									76				
63	61	181	184	0.0		0	0	Spanner	3/4	2	1	0																	
63	61	181	184	0.0		0	0	Spanner	3/4	2	1	0																40	40
63	61	181	184	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	442		articStaccatoBelow										40	40
63	61	182	185	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	443												40	40
63	61	183	186	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	444												40	40
64	62	184	187	0.0		0	0	StaffText	3/4	1	1	0							riten.										
64	62	184	187	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	445		articAccentBelow											
64	62	371/2	377/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	446									77				
64	62	186	189	0.0		1/2	1/2	Spanner	3/4	1	1	0															9		
64	62	186	189	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	447											9		
64	62	186	189	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	448											9		
64	62	186	189	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	449											9		
64	62	747/4	759/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	450									78		9		
64	62	184	187	0.0		0	0	Spanner	3/4	2	1	0																	
64	62	184	187	0.0		0	0	Spanner	3/4	2	1	0																41	41
64	62	184	187	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	451												41	41
64	62	185	188	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	452												41	41
65	63	187	190	0.0		0	0	Spanner	3/4	1	1	0													78				
65	63	187	190	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	453									78				
65	63	375/2	381/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	454									78				
