mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin
40	37	328/3	334/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	229		articStaccatoBelow							49			
40	37	329/3	335/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	230		articStaccatoBelow										
40	37	110	112	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	231												
40	37	111	113	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	232		articAccentBelow										
40	37	109	111	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	233									48			
40	37	110	112	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	234												
40	37	111	113	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	235									50			
41	38	112	114	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	236		articStaccatoBelow							51			
41	38	337/3	343/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	237		articStaccatoBelow							51			
41	38	338/3	344/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	238		articStaccatoBelow										
41	38	113	115	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	239												
41	38	229/2	233/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	240												
41	38	112	114	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	241									50			
41	38	113	115	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	242												
41	38	114	116	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	243									52			
42	39	115	117	0.0		0	0	Spanner	3/4	1	1	0														12		
42	39	115	117	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	244		articStaccatoAbove							53	12		
42	39	346/3	352/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	245		articStaccatoAbove							53	12		
42	39	347/3	353/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	246		articStaccatoAbove								12		
42	39	116	118	0.0		1/4	1/4	Spanner	3/4	1	1	0																
42	39	116	118	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	247												
42	39	117	119	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	248		articAccentBelow										
42	39	115	117	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	249									52			
42	39	116	118	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	250												
42	39	117	119	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	251									54			
43	40	118	120	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	252		articStaccatoBelow							55			
43	40	355/3	361/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	253		articStaccatoBelow							55			
43	40	356/3	362/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	254		articStaccatoBelow										
43	40	119	121	0.0		1/4	1/4	Spanner	3/4	1	1	0														13		
43	40	119	121	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	255										13		
43	40	118	120	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	256									54			
43	40	119	121	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	257									54			
43	40	120	122	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	258												
44	41	121	123	0.0		0	0	Dynamic	3/4	1	1	0					f											
44	41	121	123	0.0		0	0	Spanner	3/4	1	1	0																
44	41	121	123	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	259												
44	41	243/2	247/2	0.0		1/8	1/8	Spanner	3/4	1	1	0																11
44	41	487/4	495/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	260												11
44	41	122	124	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	261		articStaccatoAbove										11
44	41	123	125	0.0		1/2	1/2	Spanner	3/4	1	1	0																
44	41	123	125	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	262		articStaccatoBelow										
44	41	121	123	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	263												
44	41	487/4	495/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	264												
44	41	122	124	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	265		articStaccatoAbove										
44	41	123	125	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	266		articStaccatoAbove										
44	41	121	123	3.0		0	0	Chord	3/4	2	2	3/4		1/2	3/2	267												
45	42	124	126	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	268		articAccentBelow							56			
45	42	373/3	379/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	269									56			
45	42	374/3	380/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	270												
45	42	125	127	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	271		articStaccatoAbove										
45	42	126	128	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	272		articStaccatoBelow										
45	42	124	126	0.3333333333333333		0	0	Chord	3/4	2	1	1/12		1/8	2/3	273									57			
45	42	373/3	379/3	0.3333333333333333		1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	274									57			
45	42	374/3	380/3	0.3333333333333333		1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	275												
45	42	125	127	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	276		articStaccatoAbove										
45	42	126	128	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	277		articStaccatoAbove										
45	42	124	126	3.0		0	0	Chord	3/4	2	2	3/4		1/2	3/2	278												
46	43	127	129	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	279												
46	43	511/4	519/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	280												
46	43	128	130	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	281		articStaccatoAbove										
46	43	129	131	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	282		articStaccatoBelow										
46	43	127	129	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	283												
46	43	511/4	519/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	284												
46	43	128	130	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	285		articStaccatoAbove										
46	43	129	131	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	286		articStaccatoAbove										
46	43	127	129	3.0		0	0	Chord	3/4	2	2	3/4		1/2	3/2	287												
47	44	130	132	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	288									58			
47	44	391/3	397/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	289									58			
47	44	392/3	398/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	290												
47	44	131	133	0.0		1/4	1/4	Dynamic	3/4	1	1	0					fz											
47	44	131	133	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	291												
47	44	132	134	0.0		1/2	1/2	Dynamic	3/4	1	1	0					fz											
47	44	132	134	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	292												
47	44	130	132	0.3333333333333333		0	0	Chord	3/4	2	1	1/12		1/8	2/3	293									59			
47	44	391/3	397/3	0.3333333333333333		1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	294									59			
47	44	392/3	398/3	0.3333333333333333		1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	295												
47	44	131	133	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	296												
47	44	132	134	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	297												
47	44	130	132	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	298												
48	45	133	135	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	299												
48	45	535/4	543/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	300												
48	45	134	136	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	301		articStaccatoAbove										
48	45	135	137	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	302		articStaccatoBelow										
48	45	133	135	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	303												
48	45	535/4	543/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	304												
48	45	134	136	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	305		articStaccatoAbove										
48	45	135	137	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	306		articStaccatoAbove										
48	45	133	135	3.0		0	0	Chord	3/4	2	2	3/4		1/2	3/2	307												
49	46	136	138	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	308												
49	46	409/3	415/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	309												
49	46	410/3	416/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	310												
49	46	137	139	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	311		articStaccatoAbove										
49	46	138	140	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	312		articStaccatoBelow										
49	46	136	138	0.3333333333333333		0	0	Chord	3/4	2	1	1/12		1/8	2/3	313												
49	46	409/3	415/3	0.3333333333333333		1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	314												
49	46	410/3	416/3	0.3333333333333333		1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	315												
49	46	137	139	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	316		articStaccatoAbove										
49	46	138	140	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	317		articStaccatoAbove										
49	46	136	138	3.0		0	0	Chord	3/4	2	2	3/4		1/2	3/2	318												
50	47	139	141	0.0		0	0	StaffText	3/4	1	1	0							riten.									
50	47	139	141	0.0		0	0	Spanner	3/4	1	1	0														14		
50	47	139	141	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	319										14		
50	47	279/2	283/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	320										14		
50	47	140	142	0.0		1/4	1/4	Spanner	3/4	1	1	0																
50	47	140	142	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	321												
50	47	139	141	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	322												
50	47	140	142	2.0		1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	323												
50	47	139	141	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	324												
50	47	279/2	283/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	325												
50	47	140	142	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	326												
50	47	139	141	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	327												
50	47	140	142	2.0		1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	328												
51	48	142	144	0.0		0	0	Spanner	3/4	1	1	0														15		
51	48	142	144	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	329									60	15		
51	48	285/2	289/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	330									60	15		
51	48	143	145	0.0		1/4	1/4	Spanner	3/4	1	1	0													60			
51	48	143	145	0.0		1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	331									60			
51	48	143	145	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	332									60			
51	48	289/2	293/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	333												
51	48	142	144	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	334												
51	48	143	145	2.0		1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	335												
51	48	142	144	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	336												
51	48	285/2	289/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	337												
51	48	143	145	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	338												
51	48	142	144	1.0		0	0	Chord	3/4	2	2	1/4		1/4	1	339												
51	48	143	145	2.0		1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	340												
52	49	145	147	0.0		0	0	StaffText	3/4	1	1	0							dolce									
52	49	145	147	0.0		0	0	StaffText	3/4	1	1	0							a tempo									
52	49	145	147	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	341												
52	49	583/4	591/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	342												
52	49	146	148	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	343									61			
52	49	147	149	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	344									61			
52	49	145	147	0.0		0	0	Dynamic	3/4	1	2	0					p											
52	49	145	147	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	345												
52	49	146	148	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	346												
52	49	147	149	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	347												
52	49	145	147	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	348									62			
52	49	146	148	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	349												
52	49	147	149	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	350									63			
53	50	148	150	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	351									61			
53	50	595/4	603/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	352									61			
53	50	149	151	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	353												
53	50	301/2	305/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	354												
53	50	148	150	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	355												
53	50	148	150	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	356									63			
53	50	149	151	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	357												
53	50	150	152	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	358									64			
54	51	151	153	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	359									65			
54	51	607/4	615/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	360												
54	51	152	154	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	361		articStaccatoAbove										
54	51	153	155	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	362		articStaccatoAbove										
54	51	151	153	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	363												
54	51	152	154	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	364												
54	51	153	155	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	365												
54	51	151	153	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	366									64			
54	51	152	154	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	367												
54	51	153	155	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	368									66			
55	52	154	156	0.0		0	0	Spanner	3/4	1	1	0														16		
55	52	154	156	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	369									67	16		
55	52	463/3	469/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	370									67	16		
55	52	464/3	470/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	371										16		
55	52	155	157	0.0		1/4	1/4	Spanner	3/4	1	1	0																
55	52	155	157	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	372												
55	52	313/2	317/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	373												
55	52	154	156	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	374												
55	52	154	156	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	375									66			
55	52	155	157	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	376												
55	52	156	158	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	377									68			
56	53	157	159	0.0		0	0	StaffText	3/4	1	1	0							scherz.									
56	53	157	159	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	378									69			
56	53	472/3	478/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	379									69			
56	53	473/3	479/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	380												
56	53	158	160	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	381												
56	53	159	161	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	382		articAccentBelow										
56	53	157	159	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	383									68			
56	53	158	160	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	384												
56	53	159	161	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	385									70			
57	54	160	162	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	386		articStaccatoBelow										
57	54	481/3	487/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	387		articStaccatoBelow										
57	54	482/3	488/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	388		articStaccatoBelow										
57	54	161	163	0.0		1/4	1/4	Spanner	3/4	1	1	0														17		
57	54	161	163	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	389										17		
57	54	325/2	329/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	390										17		
57	54	160	162	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	391									70			
57	54	161	163	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	392												
57	54	162	164	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	393									71			
58	55	163	165	0.0		0	0	Spanner	3/4	1	1	0																
58	55	163	165	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	394		articStaccatoAbove							72			
58	55	490/3	496/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	395		articStaccatoAbove							72			
58	55	491/3	497/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	396		articStaccatoAbove										
58	55	164	166	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	397												
58	55	165	167	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	398		articAccentBelow										
58	55	163	165	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	399									71			
58	55	164	166	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	400												
58	55	165	167	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	401									73			
59	56		168	0.3333333333333333	1	0	0	Chord	3/4	1	1	1/12		1/8	2/3	402		articStaccatoBelow							74			
59	56		505/3	0.3333333333333333	1	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	403		articStaccatoBelow							74			
59	56		506/3	0.3333333333333333	1	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	404		articStaccatoBelow										
59	56		169	0.0	1	1/4	1/4	Spanner	3/4	1	1	0														18		
59	56		169	2.0	1	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	405										18		
59	56		168	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	406									73			
59	56		169	1.0	1	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	407												
59	56		170	1.0	1	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	408												
60	56	166	171	0.0	2	0	0	Spanner	3/4	1	1	0																
60	56	166	171	0.0	2	0	0	Spanner	3/4	1	1	0														19		
60	56	166	171	0.3333333333333333	2	0	0	Chord	3/4	1	1	1/12		1/8	2/3	409		articStaccatoBelow							75	19		
60	56	499/3	514/3	0.3333333333333333	2	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	410		articStaccatoBelow							75	19		
60	56	500/3	515/3	0.3333333333333333	2	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	411		articStaccatoBelow								19		
60	56	167	172	0.0	2	1/4	1/4	Spanner	3/4	1	1	0																
60	56	167	172	1.0	2	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	412												
60	56	166	171	1.0	2	0	0	Chord	3/4	2	1	1/4		1/4	1	413									76			
60	56	167	172	1.0	2	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	414												
