mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_line	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
32	32	94	94	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16after	1/16	1	241							15						
32	32	94	94	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	242							15						
32	32	94	94	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	243							15						
32	32	94	94	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	244		ornamentTrill					15						
32	32	93	93	0.0	0	0	Spanner	3/4	2	1	0												19	19				
32	32	93	93	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	245								19	19				
32	32	94	94	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	246								19	19				
32	32	95	95	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	247								19	19				
33	33	96	96	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	248							15						
33	33	193/2	193/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	249							15						
33	33	97	97	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	250							15						
33	33	98	98	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	251							15						
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	252							15						
33	33	96	96	0.0	0	0	Spanner	3/4	2	1	0																	
33	33	96	96	0.0	0	0	Spanner	3/4	2	1	0												20	20				
33	33	96	96	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	253								20	20				
33	33	97	97	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	254								20	20				
33	33	98	98	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	255								20	20				
34	34	99	99	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	256													
34	34	399/4	399/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	257							16						
34	34	100	100	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	258							16						
34	34	99	99	0.0	0	0	Spanner	3/4	2	1	0																	
34	34	99	99	0.0	0	0	Spanner	3/4	2	1	0												21	21				
34	34	99	99	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	259								21	21				
34	34	100	100	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	260								21	21				
34	34	101	101	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	261								21	21				
35	35	102	102	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	262							16						
35	35	205/2	205/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	263							16						
35	35	103	103	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	264							16						
35	35	104	104	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	265							16						
35	35	419/4	419/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	266							16						
35	35	102	102	0.0	0	0	Spanner	3/4	2	1	0																	
35	35	102	102	0.0	0	0	Spanner	3/4	2	1	0												22	22				
35	35	102	102	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	267								22	22				
35	35	103	103	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	268								22	22				
35	35	104	104	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	269								22	22				
36	36	105	105	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	270							16						
36	36	105	105	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	271							16						
36	36	105	105	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	272							16						
36	36	423/4	423/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	273							16						
36	36	106	106	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	274													
36	36	106	106	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	275													
36	36	107	107	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	276													
36	36	105	105	0.0	0	0	Spanner	3/4	2	1	0																	
36	36	106	106	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	277													
36	36	107	107	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	278													
37	37	108	108	0.0	0	0	StaffText	3/4	1	1	0							sotto voce										
37	37	108	108	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	279													
37	37	109	109	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	280							17						
37	37	110	110	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	281							17						
37	37	443/4	443/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	282							17						
37	37	110	110	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	283													
37	37	108	108	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	284													
37	37	109	109	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	285													
37	37	110	110	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	286													
38	38	111	111	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	287							17						
38	38	112	112	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	288							17						
38	38	113	113	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	289							17						
38	38	455/4	455/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	290							17						
38	38	111	111	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	291													
38	38	112	112	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	292													
38	38	113	113	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	293													
39	39	114	114	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	294							17						
39	39	115	115	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	295							17						
39	39	116	116	0.0	1/2	1/2	Spanner	3/4	1	1	0											17			0			
39	39	116	116	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	296							17			0			
39	39	467/4	467/4	0.0	11/16	11/16	Spanner	3/4	1	1	0											17						
39	39	467/4	467/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	297							17						
39	39	116	116	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	298													
39	39	114	114	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	299							18						
39	39	115	115	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	300							18						
39	39	116	116	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	301							18						
40	40	117	117	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	302							17						
40	40	118	118	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	303							17						
40	40	119	119	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	304							17						
40	40	479/4	479/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	305							17						
40	40	117	117	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	306							18						
40	40	118	118	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	307							18						
40	40	119	119	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	308							18						
41	41	120	120	0.0	0	0	Spanner	3/4	1	1	0											17					5	
41	41	120	120	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	309							17					5	
41	41	241/2	241/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	310							17					5	
41	41	121	121	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	311							17					5	
41	41	243/2	243/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	312							17					5	
41	41	122	122	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	313							17					5	
41	41	491/4	491/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	314							17					5	
41	41	120	120	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	315												5	
41	41	120	120	0.0	0	0	Spanner	3/4	2	1	0												23	23				
41	41	120	120	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	316								23	23				
41	41	121	121	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	317								23	23				
41	41	122	122	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	318								23	23				
42	42	123	123	0.0	0	0	Spanner	3/4	1	1	0											17						
42	42	123	123	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	319							17						
42	42	124	124	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	320							17						
42	42	251/2	251/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	321							17						
42	42	123	123	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	322													
42	42	247/2	247/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	323													
42	42	124	124	0.0	1/4	1/4	Dynamic	3/4	1	2	0					f												
42	42	124	124	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	324													
42	42	123	123	0.0	0	0	Spanner	3/4	2	1	0																	
42	42	123	123	0.0	0	0	Spanner	3/4	2	1	0												24	24				
42	42	123	123	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	325							19	24	24				
42	42	124	124	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	326							19	24	24				
42	42	125	125	0.0	1/2	1/2	Spanner	3/4	2	1	0											19						
42	42	125	125	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	327							19						
42	42	123	123	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	328													
43	43	126	126	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	329							17						
43	43	128	128	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	330							17						
43	43	257/2	257/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	331							17						
43	43	126	126	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	332													
43	43	253/2	253/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	333													
43	43	127	127	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	334													
43	43	255/2	255/2	1.0	3/8	3/8	Chord	3/4	1	2	1/4		1/4	1	335													
43	43	257/2	257/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	336													
43	43	126	126	0.0	0	0	Spanner	3/4	2	1	0											19	25	25				
43	43	126	126	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	337							19	25	25				
43	43	127	127	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	338							19	25	25				
43	43	128	128	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
43	43	128	128	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	339													
44	44	129	129	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	340							17						
44	44	259/2	259/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	341							17						
44	44	130	130	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	342							17						
44	44	261/2	261/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	343							17						
44	44	131	131	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	344							17						
44	44	263/2	263/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	345							17						
44	44	129	129	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	346													
44	44	259/2	259/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	347													
44	44	130	130	1.5	1/4	1/4	Chord	3/4	1	2	3/8		1/4	3/2	348													
44	44	263/2	263/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	349													
44	44	129	129	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	350													
44	44	131	131	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	351													
44	44	129	129	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	352													
44	44	130	130	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	353													
45	45	132	132	0.0	0	0	Spanner	3/4	1	1	0											17				2		
45	45	132	132	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	354							17				2		
45	45	267/2	267/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	355							17				2		
45	45	134	134	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	356							17				2		
45	45	269/2	269/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	357							17				2		
45	45	132	132	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	358											2		
45	45	265/2	265/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	359											2		
45	45	133	133	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	360											2		
45	45	267/2	267/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	361											2		
45	45	134	134	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	362											2		
45	45	269/2	269/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	363											2		
45	45	132	132	0.0	0	0	Spanner	3/4	2	1	0												26	26				
45	45	132	132	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	364								26	26				
45	45	133	133	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	365								26	26				
45	45	134	134	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
45	45	134	134	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	366													
46	46	135	135	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	367							17				2		
46	46	271/2	271/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	368							17				2		
46	46	136	136	0.0	1/4	1/4	Spanner	3/4	1	1	0											17				2, 3		
46	46	136	136	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	369		articAccentAbove					17				2, 3		
46	46	275/2	275/2	0.0	5/8	5/8	Spanner	3/4	1	1	0																	
46	46	275/2	275/2	0.0	5/8	5/8	Spanner	3/4	1	1	0																	
46	46	275/2	275/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	370													
46	46	135	135	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	371													
46	46	271/2	271/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	372													
46	46	136	136	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	373													
46	46	135	135	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	374													
46	46	136	136	0.0	1/4	1/4	Spanner	3/4	2	1	0												27	27				
46	46	136	136	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	375								27	27				
46	46	137	137	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	376								27	27				
46	46	136	136	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	377								27	27				
47	47	138	138	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	378							20						
47	47	277/2	277/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	379							20						
47	47	139	139	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	380							20						
47	47	279/2	279/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	381							20						
47	47	140	140	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	382							20						
47	47	281/2	281/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	383							20						
47	47	138	138	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	384								27	27				
47	47	139	139	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	385								27	27				
47	47	140	140	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	386								27	27				
48	48	141	141	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	387							20						
48	48	283/2	283/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	388							20						
48	48	142	142	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	389							20						
48	48	285/2	285/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	390							20						
48	48	143	143	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	391							20						
48	48	287/2	287/2	0.0	5/8	5/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	392													
48	48	287/2	287/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	393													
48	48	141	141	0.0	0	0	Spanner	3/4	2	1	0																	
48	48	142	142	0.0	1/4	1/4	Spanner	3/4	2	1	0												28	28				
48	48	142	142	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	394								28	28				
48	48	143	143	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	395								28	28				
49	49	144	144	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	396							21						
49	49	145	145	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	397							21						
49	49	146	146	0.0	1/2	1/2	Spanner	3/4	1	1	0											21					6	
49	49	146	146	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	398							21					6	
49	49	293/2	293/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	399							21					6	
49	49	144	144	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	400												6	
49	49	289/2	289/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	401												6	
49	49	145	145	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	402												6	
49	49	291/2	291/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	403												6	
49	49	146	146	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	404												6	
49	49	293/2	293/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	405												6	
49	49	144	144	0.0	0	0	Spanner	3/4	2	1	0																	
49	49	144	144	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	406													
49	49	146	146	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	407													
49	49	293/2	293/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	408													
49	49	144	144	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	409							22						
49	49	145	145	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	410							22						
50	50	147	147	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	411							21					6	
50	50	591/4	591/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	412							21					6	
50	50	148	148	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	413							21					6	
50	50	148	148	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	414							21					6	
50	50	299/2	299/2	0.0	5/8	5/8	Spanner	3/4	1	1	0											21						
50	50	299/2	299/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	415							21						
50	50	147	147	0.75	0	0	Chord	3/4	1	2	3/16		1/8	3/2	416													
50	50	591/4	591/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16		1/16	1	417													
50	50	147	147	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	418													
50	50	148	148	0.0	1/4	1/4	Spanner	3/4	2	1	0												29	29				
50	50	148	148	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	419								29	29				
50	50	149	149	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	420							23	29	29				
50	50	147	147	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	421								29	29				
51	51	150	150	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	422							21						
51	51	301/2	301/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	423							21						
51	51	151	151	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	424							21						
51	51	303/2	303/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	425							21						
51	51	152	152	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	426							21						
51	51	611/4	611/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	427							21						
51	51	150	150	0.0	0	0	Spanner	3/4	2	1	0											23						
51	51	150	150	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	428							23						
51	51	151	151	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	429							23						
51	51	152	152	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	430							23						
52	52	153	153	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	431							21						
52	52	307/2	307/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	432							21						
52	52	154	154	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	433							21						
52	52	309/2	309/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	434							21						
52	52	155	155	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	435							21						
52	52	311/2	311/2	0.0	5/8	5/8	Chord	3/4	1	1	0	acciaccatura	1/8	1	436													
52	52	311/2	311/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	437													
52	52	153	153	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	438													
52	52	154	154	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	439							24						
52	52	154	154	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	440													
52	52	155	155	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	441													
52	52	311/2	311/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	442													
53	53	156	156	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	443							25						
53	53	627/4	627/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	444							25						
53	53	157	157	0.0	1/4	1/4	Spanner	3/4	1	1	0											25					7	
53	53	157	157	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	445							25					7	
53	53	315/2	315/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	446							25					7	
53	53	158	158	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	447							25					7	
53	53	317/2	317/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	448							25					7	
53	53	156	156	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	449							24						
53	53	157	157	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	450							24						
53	53	158	158	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	451							24						
54	54	159	159	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	452							25					7	
54	54	639/4	639/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	453							25					7	
54	54	160	160	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	454							25					7	
54	54	321/2	321/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	455							25					7	
54	54	161	161	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	456							25					7	
54	54	323/2	323/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	457							25					7	
54	54	159	159	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	458													
54	54	160	160	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	459		articStaccatoBelow											
55	55	162	162	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	460							25					7	
55	55	325/2	325/2	0.0	1/8	1/8	Spanner	3/4	1	1	0											25						
55	55	325/2	325/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	461							25						
55	55	163	163	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	462													
55	55	327/2	327/2	0.0	3/8	3/8	Spanner	3/4	1	1	0															4		
55	55	655/4	655/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	463							26				4		
55	55	164	164	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	464							26				4		
55	55	329/2	329/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	465							26				4		
55	55	162	162	0.0	0	0	Spanner	3/4	2	1	0												30	30				
55	55	162	162	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	466		articStaccatoBelow						30	30				
55	55	163	163	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	467		articStaccatoAbove						30	30				
56	56	165	165	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	468							26				4		
56	56	331/2	331/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	469							26				4		
56	56	166	166	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	470							26				4		
56	56	499/3	499/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	471							26				4		
56	56	500/3	500/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	472							26				4		
56	56	167	167	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	473							26				4		
56	56	502/3	502/3	0.0	7/12	7/12	Spanner	3/4	1	1	0											26						
56	56	502/3	502/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	474							26						
56	56	503/3	503/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	475													
56	56	165	165	0.0	0	0	Spanner	3/4	2	1	0																	
56	56	165	165	0.0	0	0	Spanner	3/4	2	1	0												31	31				
56	56	165	165	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	476		articStaccatoAbove						31	31				
56	56	166	166	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	477								31	31				
56	56	167	167	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
57	57	168	168	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	478							27						
57	57	675/4	675/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	479							27						
57	57	169	169	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	480							27						
57	57	341/2	341/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	481							27						
57	57	168	168	0.0	0	0	Dynamic	3/4	1	2	0					p												
57	57	168	168	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	482													
57	57	169	169	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	483													
57	57	168	168	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	484							28						
57	57	337/2	337/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	485							28						
57	57	169	169	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	486							28						
57	57	339/2	339/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	487							28						
57	57	170	170	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	488							28						
57	57	341/2	341/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	489							28						
57	57	168	168	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	490													
58	58	171	171	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	491							27						
58	58	687/4	687/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	492							27						
58	58	172	172	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	493							27						
58	58	347/2	347/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	494							27						
