mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin
34	33	97	97	0.0	0	0	Spanner	3/4	2	1	0									11	11	
34	33	97	97	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	275					11	11	
34	33	98	98	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	276		articAccentAbove			11	11	
34	33	99	99	0.0	1/2	1/2	Spanner	3/4	2	1	0											
34	33	99	99	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	277							
35	34	100	100	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	278				11			
35	34	100	100	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	279				11			
35	34	403/4	403/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	280				11			
35	34	101	101	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	281				11			
35	34	205/2	205/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	282				11			
35	34	100	100	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	283							
35	34	101	101	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	284							
35	34	100	100	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	285							
35	34	101	101	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	286							
35	34	100	100	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	287							
35	34	102	102	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	288							
36	35	103	103	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	289				11			
36	35	415/4	415/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	290				11			
36	35	104	104	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	291				11			
36	35	211/2	211/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	292				11			
36	35	103	103	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	293							
36	35	104	104	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	294							
36	35	103	103	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	295							
36	35	104	104	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	296							
36	35	103	103	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	297							
36	35	105	105	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	298							
37	36	106	106	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	299				11			
37	36	106	106	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	300				11			
37	36	427/4	427/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	301				11			
37	36	107	107	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	302							
37	36	106	106	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	303							
37	36	106	106	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	304							
37	36	107	107	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	305							
37	36	106	106	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	306							
37	36	108	108	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	307							
38	37	109	109	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	308				12			
38	37	110	110	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	309				12			
38	37	223/2	223/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	310				12			
38	37	109	109	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	311							
38	37	110	110	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	312							
38	37	110	110	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	313		articAccentAbove					
38	37	109	109	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	314							
38	37	111	111	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	315							
39	38	112	112	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	316				12			
39	38	112	112	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	317				12			
39	38	451/4	451/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	318				12			
39	38	113	113	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	319				12			
39	38	229/2	229/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	320				12			
39	38	112	112	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	321							
39	38	113	113	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	322							
39	38	112	112	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	323							
39	38	113	113	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	324							
39	38	112	112	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	325							
39	38	114	114	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	326							
40	39	115	115	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	327				12			
40	39	463/4	463/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	328				12			
40	39	116	116	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	329				12			
40	39	235/2	235/2	0.0	5/8	5/8	Chord	3/4	1	1	0	grace16	1/16	1	330				12			
40	39	235/2	235/2	0.0	5/8	5/8	Chord	3/4	1	1	0	grace16	1/16	1	331				12			
40	39	235/2	235/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	332				12			
40	39	115	115	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	333							
40	39	116	116	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	334		articAccentBelow					
40	39	116	116	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	335							
40	39	115	115	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	336							
40	39	117	117	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	337							
41	40	118	118	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	338							
41	40	475/4	475/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	339				13			
41	40	119	119	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	340		articAccentBelow					
41	40	118	118	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	341							
41	40	118	118	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	342							
41	40	120	120	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	343							
42	41	121	121	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	344				14			
42	41	122	122	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	345				14			
42	41	247/2	247/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	346				14			
42	41	121	121	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	347							
42	41	122	122	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	348							
42	41	121	121	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	349							
42	41	122	122	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	350		articAccentAbove					
42	41	123	123	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	351							
43	42	124	124	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	352				14			
43	42	124	124	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	353				14			
43	42	124	124	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	354				14			
43	42	499/4	499/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	355				14			
43	42	125	125	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	356				14			
43	42	253/2	253/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	357				14			
43	42	124	124	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	358							
43	42	125	125	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	359		articAccentBelow					
43	42	124	124	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	360							
43	42	125	125	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	361							
43	42	124	124	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	362							
43	42	126	126	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	363							
44	43	127	127	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	364				14			
44	43	511/4	511/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	365				14			
44	43	128	128	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	366				14			
44	43	259/2	259/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	367				14			
44	43	127	127	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	368							
44	43	128	128	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	369							
44	43	127	127	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	370							
44	43	128	128	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	371							
44	43	127	127	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	372							
44	43	129	129	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	373							
45	44	130	130	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	374				14			
45	44	130	130	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	375				14			
45	44	130	130	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	376				14			
45	44	523/4	523/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	377				14			
45	44	131	131	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	378							
45	44	130	130	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	379							
45	44	131	131	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	380							
45	44	130	130	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	381							
45	44	131	131	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	382							
45	44	130	130	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	383							
45	44	132	132	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	384							
46	45	133	133	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	385				15			
46	45	134	134	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	386				15			
46	45	271/2	271/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	387				15			
46	45	133	133	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	388							
46	45	134	134	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	389							
46	45	134	134	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	390							
46	45	133	133	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	391							
46	45	135	135	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	392							
47	46	136	136	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	393				15			
47	46	136	136	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	394				15			
47	46	136	136	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	395				15			
47	46	547/4	547/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	396				15			
47	46	137	137	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	397				15			
47	46	277/2	277/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	398				15			
47	46	136	136	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	399							
47	46	137	137	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	400							
47	46	136	136	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	401							
47	46	137	137	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	402		articAccentAbove					
47	46	136	136	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	403							
47	46	138	138	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	404							
48	47	139	139	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	405							
48	47	559/4	559/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	406				16			
48	47	140	140	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	407				16, 17			
48	47	283/2	283/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	408				16			
48	47	139	139	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	409							
48	47	140	140	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	410							
48	47	139	139	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	411							
48	47	140	140	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	412							
48	47	141	141	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	413							
49	48	142	142	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	414							
49	48	571/4	571/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	415							
49	48	143	143	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	416							
49	48	143	143	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	417							
49	48	142	142	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	418							
49	48	143	143	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	419							
49	48	142	142	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	420							
