mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
26	26	76	76	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	222								20	3			
26	26	153/2	153/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	223								20	3			
26	26	77	77	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	224								20	3			
26	26	155/2	155/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	225									3			
26	26	75	75	0.0		0	0	Spanner	3/4	2	1	0																
26	26	75	75	0.0		0	0	Spanner	3/4	2	1	0															31	31
26	26	75	75	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	226											31	31
26	26	76	76	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	227											31	31
27	27	78	78	0.0		0	0	Spanner	3/4	1	1	0																
27	27	78	78	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	228								21				
27	27	157/2	157/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	229								21				
27	27	79	79	0.0		1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	230								21				
27	27	79	79	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	231								21				
27	27	80	80	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	232								21, 22				
27	27	161/2	161/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	233												
27	27	78	78	0.0		0	0	Spanner	3/4	2	1	0																
27	27	78	78	0.0		0	0	Spanner	3/4	2	1	0															32	32
27	27	78	78	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	234											32	32
27	27	79	79	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	235		articAccentAbove									32	32
27	27	80	80	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	236											32	32
28	28	81	81	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	237								23				
28	28	163/2	163/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	238								23				
28	28	82	82	0.0		1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	239								23				
28	28	82	82	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	240		articAccentAbove						23				
28	28	83	83	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	241												
28	28	81	81	0.0		0	0	Spanner	3/4	2	1	0																
28	28	81	81	0.0		0	0	Spanner	3/4	2	1	0															33	33
28	28	81	81	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	242											33	33
28	28	82	82	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	243		articAccentBelow						24			33	33
28	28	83	83	1.0		1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	244											33	33
29	29	84	84	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	245								25				
29	29	84	84	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	246								25				
29	29	169/2	169/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	247								25				
29	29	85	85	0.0		1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	248												
29	29	85	85	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	249		articAccentAbove										
29	29	86	86	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	250								26				
29	29	173/2	173/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	251								26				
29	29	84	84	0.0		0	0	Spanner	3/4	2	1	0																
29	29	84	84	0.0		0	0	Spanner	3/4	2	1	0															34	34
29	29	84	84	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	252											34	34
29	29	85	85	0.0		1/4	1/4	Spanner	3/4	2	1	0																
29	29	85	85	0.0		1/4	1/4	Spanner	3/4	2	1	0															35	35
29	29	85	85	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	253											35	35
29	29	86	86	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	254											35	35
30	30	87	87	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	255								26				
30	30	175/2	175/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	256								26				
30	30	88	88	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	257								26				
30	30	177/2	177/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	258								26				
30	30	89	89	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	259								26				
30	30	179/2	179/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	260												
30	30	87	87	0.0		0	0	Spanner	3/4	2	1	0																
30	30	87	87	0.0		0	0	Spanner	3/4	2	1	0															36	36
30	30	87	87	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	261											36	36
30	30	88	88	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	262											36	36
31	31	90	90	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	263								27				
31	31	363/4	363/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	264		ornamentTrill						27				
31	31	91	91	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	265								27				
31	31	183/2	183/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	266								27				
31	31	92	92	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	267								27				
31	31	185/2	185/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	268												
31	31	90	90	0.0		0	0	Spanner	3/4	2	1	0																
31	31	90	90	0.0		0	0	Spanner	3/4	2	1	0															37	37
31	31	90	90	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	269											37	37
31	31	91	91	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	270											37	37
31	31	92	92	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	271											37	37
32	32		93	0.3333333333333333	1	0	0	Chord	3/4	1	1	1/12		1/8	2/3	272								28				
32	32		280/3	0.3333333333333333	1	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	273								28				
32	32		281/3	0.3333333333333333	1	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	274								28				
32	32		94	1.0	1	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	275												
32	32		95	0.5	1	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	276								29				
32	32		191/2	0.5	1	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	277												
32	32		93	0.5	1	0	0	Chord	3/4	1	2	1/8		1/8	1	278												
32	32		187/2	0.5	1	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	279												
32	32		93	0.0	1	0	0	Spanner	3/4	2	1	0																
32	32		93	0.0	1	0	0	Spanner	3/4	2	1	0															38	38
32	32		93	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	280											38	38
32	32		94	1.0	1	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	281											38	38
33	32	93	96	0.3333333333333333	2	0	0	Chord	3/4	1	1	1/12		1/8	2/3	282								30				
33	32	280/3	289/3	0.3333333333333333	2	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	283								30				
33	32	281/3	290/3	0.3333333333333333	2	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	284												
33	32	94	97	1.0	2	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	285												
33	32	191/2	197/2	0.5	2	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	286								31				
33	32	93	96	0.5	2	0	0	Chord	3/4	1	2	1/8		1/8	1	287												
33	32	187/2	193/2	0.5	2	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	288												
33	32	93	96	0.0	2	0	0	Spanner	3/4	2	1	0																
33	32	93	96	0.0	2	0	0	Spanner	3/4	2	1	0															39	39
33	32	93	96	1.0	2	0	0	Chord	3/4	2	1	1/4		1/4	1	289											39	39
33	32	94	97	1.0	2	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	290											39	39
34	33	96	99	0.0		0	0	Dynamic	3/4	1	1	0					p											
34	33	96	99	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	291		articStaccatoAbove										
34	33	97	100	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	292								32				
34	33	197/2	203/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	293												
34	33	96	99	0.0		0	0	Spanner	3/4	2	1	0															40	40
34	33	96	99	0.0		0	0	Spanner	3/4	2	1	0															40	40
34	33	96	99	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	294											40	40
34	33	97	100	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	295											40	40
34	33	98	101	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	296											40	40
35	34	99	102	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	297												
35	34	399/4	411/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	298												
35	34	100	103	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	299												
35	34	203/2	209/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	300								33				
35	34	99	102	0.0		0	0	Spanner	3/4	2	1	0																
35	34	99	102	0.0		0	0	Spanner	3/4	2	1	0															41	41
35	34	99	102	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	301											41	41
35	34	100	103	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	302											41	41
35	34	101	104	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	303											41	41
36	35	102	105	0.0		0	0	Spanner	3/4	1	1	0												33	4			
36	35	102	105	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	304								33	4			
36	35	205/2	211/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	305								33	4			
36	35	103	106	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	306									4			
36	35	209/2	215/2	0.0		5/8	5/8	Spanner	3/4	1	1	0																
36	35	209/2	215/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	307								34				
36	35	102	105	0.0		0	0	Spanner	3/4	2	1	0																
36	35	102	105	0.0		0	0	Spanner	3/4	2	1	0															42	42
36	35	102	105	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	308											42	42
36	35	103	106	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	309											42	42
36	35	104	107	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	310											42	42
37	36	105	108	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	311		articStaccatoAbove										
37	36	423/4	435/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	312								35				
37	36	106	109	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	313												
37	36	107	110	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	314								36				
37	36	105	108	0.0		0	0	Spanner	3/4	2	1	0																
37	36	105	108	0.0		0	0	Spanner	3/4	2	1	0															43	43
37	36	105	108	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	315											43	43
37	36	106	109	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	316								37			43	43
37	36	107	110	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	317											43	43
38	37	108	111	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	318		articStaccatoAbove										
38	37	109	112	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	319								38				
38	37	221/2	227/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	320												
38	37	108	111	0.0		0	0	Spanner	3/4	2	1	0																
38	37	108	111	0.0		0	0	Spanner	3/4	2	1	0															44	44
38	37	108	111	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	321											44	44
38	37	109	112	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	322											44	44
38	37	110	113	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	323											44	44
39	38	111	114	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	324								39				
39	38	223/2	229/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	325								39				
39	38	112	115	0.0		1/4	1/4	Spanner	3/4	1	1	0														0		
39	38	112	115	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	326										0		
39	38	227/2	233/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	327										0		
39	38	111	114	0.0		0	0	Spanner	3/4	2	1	0																
39	38	111	114	0.0		0	0	Spanner	3/4	2	1	0															45	45
39	38	111	114	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	328											45	45
39	38	112	115	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	329											45	45
39	38	113	116	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	330											45	45
39	38	111	114	3.0		0	0	Chord	3/4	2	2	3/4		1/2	3/2	331											45	45
40	39	114	117	0.0		0	0	Spanner	3/4	1	1	0																
40	39	114	117	0.0		0	0	Spanner	3/4	1	1	0													5			
40	39	114	117	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	332								40	5			
40	39	229/2	235/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	333								40	5			
40	39	115	118	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	334								40	5			
40	39	231/2	237/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	335								40	5			
40	39	116	119	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	336								40	5			
40	39	233/2	239/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	337									5			
40	39	114	117	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	338									5			
40	39	115	118	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	339									5			
40	39	116	119	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	340									5			
40	39	114	117	0.0		0	0	Spanner	3/4	2	1	0																
40	39	114	117	0.0		0	0	Spanner	3/4	2	1	0															46	46
40	39	114	117	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	341											46	46
40	39	115	118	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	342											46	46
40	39	116	119	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	343											46	46
41	40	117	120	0.0		0	0	Spanner	3/4	1	1	0																
41	40	117	120	0.0		0	0	Spanner	3/4	1	1	0														1		
41	40	117	120	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	344								41		1		
41	40	235/2	241/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	345								41		1		
41	40	118	121	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	346								41		1		
41	40	119	122	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	347										1		
41	40	117	120	0.0		0	0	Chord	3/4	1	2	0	acciaccatura	1/8	1	348										1		
41	40	117	120	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	349										1		
41	40	118	121	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	350										1		
41	40	119	122	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	351										1		
41	40	117	120	0.0		0	0	Spanner	3/4	2	1	0																
41	40	117	120	0.0		0	0	Spanner	3/4	2	1	0															47	47
41	40	117	120	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	352											47	47
41	40	118	121	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	353											47	47
41	40	119	122	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	354											47	47
42	41	120	123	0.0		0	0	Spanner	3/4	1	1	0																
42	41	120	123	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	355												
42	41	120	123	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	356		articStaccatoAbove										
42	41	121	124	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	357								42				
42	41	245/2	251/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	358												
42	41	120	123	0.0		0	0	Spanner	3/4	2	1	0																
42	41	120	123	0.0		0	0	Spanner	3/4	2	1	0															48	48
42	41	120	123	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	359											48	48
42	41	121	124	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	360											48	48
42	41	122	125	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	361											48	48
43	42	123	126	0.75		0	0	Chord	3/4	1	1	3/16		1/8	3/2	362								43				
43	42	495/4	507/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	363								43				
43	42	124	127	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	364												
43	42	251/2	257/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	365								44				
43	42	123	126	0.0		0	0	Spanner	3/4	2	1	0																
43	42	123	126	0.0		0	0	Spanner	3/4	2	1	0															49	49
43	42	123	126	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	366											49	49
43	42	124	127	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	367											49	49
43	42	125	128	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	368											49	49
44	43	126	129	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	369								44				
44	43	253/2	259/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	370								44				
44	43	127	130	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	371												
44	43	257/2	263/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	372								45				
44	43	126	129	0.0		0	0	Spanner	3/4	2	1	0																
44	43	126	129	0.0		0	0	Spanner	3/4	2	1	0															50	50
44	43	126	129	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	373											50	50
44	43	127	130	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	374											50	50
44	43	128	131	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	375											50	50
45	44	129	132	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	376		articStaccatoAbove										
45	44	519/4	531/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	377								46				
45	44	130	133	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	378												
45	44	131	134	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	379								47				
45	44	129	132	0.0		0	0	Spanner	3/4	2	1	0																
45	44	129	132	0.0		0	0	Spanner	3/4	2	1	0															51	51
45	44	129	132	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	380											51	51
45	44	130	133	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	381								48			51	51
45	44	131	134	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	382											51	51
46	45	132	135	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	383		articStaccatoAbove										
46	45	133	136	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	384								49				
46	45	269/2	275/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	385												
46	45	132	135	0.0		0	0	Spanner	3/4	2	1	0																
46	45	132	135	0.0		0	0	Spanner	3/4	2	1	0															52	52
46	45	132	135	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	386											52	52
46	45	133	136	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	387											52	52
46	45	134	137	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	388											52	52
47	46	136	139	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	389								50				
47	46	275/2	281/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	390												
47	46	135	138	0.0		0	0	Dynamic	3/4	1	2	0					f											
47	46	135	138	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	391												
47	46	136	139	0.0		1/4	1/4	Dynamic	3/4	1	2	0					sf											
47	46	136	139	2.0		1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	392												
47	46	135	138	0.0		0	0	Spanner	3/4	2	1	0																
47	46	135	138	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	393												
47	46	136	139	0.0		1/4	1/4	Spanner	3/4	2	1	0															53	53
47	46	136	139	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	394											53	53
48	47	138	141	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	395								51				
48	47	277/2	283/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	396								51				
48	47	139	142	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	397								51				
48	47	279/2	285/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	398								51				
48	47	140	143	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	399								51				
48	47	281/2	287/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	400												
48	47	138	141	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	401												
48	47	139	142	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	402												
48	47	140	143	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	403												
48	47	138	141	0.0		0	0	Spanner	3/4	2	1	0																
48	47	138	141	0.0		0	0	Spanner	3/4	2	1	0															54	54
48	47	138	141	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	404											54	54
48	47	139	142	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	405											54	54
48	47	140	143	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	406											54	54
49	48	141	144	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	407												
49	48	142	145	0.0		1/4	1/4	Dynamic	3/4	1	1	0					sf											
49	48	142	145	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	408												
49	48	141	144	0.0		0	0	Spanner	3/4	2	1	0																
49	48	141	144	0.0		0	0	Spanner	3/4	2	1	0															55	55
49	48	141	144	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	409											55	55
49	48	142	145	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	410											55	55
50	49	144	147	0.0		0	0	Dynamic	3/4	1	1	0					f											
50	49	144	147	0.0		0	0	Spanner	3/4	1	1	0													6			
50	49	144	147	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	411		articStaccatoBelow							6			
50	49	289/2	295/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	412		articStaccatoBelow							6			
50	49	145	148	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	413		articStaccatoBelow							6			
50	49	146	149	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf											
50	49	146	149	0.0		1/2	1/2	Spanner	3/4	1	1	0																
50	49	146	149	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	414												
50	49	144	147	0.0		0	0	Spanner	3/4	2	1	0																
50	49	144	147	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	415												
50	49	289/2	295/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	416												
50	49	145	148	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	417												
50	49	146	149	0.0		1/2	1/2	Spanner	3/4	2	1	0															56	56
50	49	146	149	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	418											56	56
51	50	147	150	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	419		articStaccatoBelow										
51	50	295/2	301/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	420		articStaccatoBelow										
51	50	148	151	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	421		articStaccatoBelow										
51	50	149	152	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf											
51	50	149	152	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	422												
51	50	147	150	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	423											56	56
51	50	295/2	301/2	0.0		1/8	1/8	Spanner	3/4	2	1	0																
51	50	295/2	301/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	424												
51	50	148	151	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	425												
51	50	149	152	0.0		1/2	1/2	Spanner	3/4	2	1	0															57	57
51	50	149	152	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	426											57	57
52	51	150	153	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	427		articStaccatoBelow										
52	51	301/2	307/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	428		articStaccatoBelow										
52	51	151	154	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	429		articStaccatoBelow										
52	51	152	155	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf											
52	51	152	155	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	430												
52	51	150	153	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	431											57	57
52	51	301/2	307/2	0.0		1/8	1/8	Spanner	3/4	2	1	0																
52	51	301/2	307/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	432												
52	51	151	154	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	433												
52	51	152	155	0.0		1/2	1/2	Spanner	3/4	2	1	0															58	58
52	51	152	155	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	434											58	58
53	52	153	156	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	435		articStaccatoBelow										
53	52	307/2	313/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	436		articStaccatoBelow										
53	52	154	157	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	437		articStaccatoBelow										
53	52	155	158	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	438								52				
53	52	311/2	317/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	439								52				
53	52	153	156	0.0		0	0	Spanner	3/4	2	1	0																
53	52	153	156	0.0		0	0	Spanner	3/4	2	1	0															59	59
53	52	153	156	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	440											59	59
53	52	307/2	313/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	441											59	59
53	52	154	157	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	442											59	59
54	53	156	159	0.0		0	0	Dynamic	3/4	1	1	0					p											
54	53	156	159	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	443		articStaccatoAbove										
54	53	313/2	319/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	444												
54	53	157	160	0.0		1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	445												
54	53	157	160	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	446		articAccentAbove										
54	53	158	161	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	447								53				
54	53	317/2	323/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	448								53				
54	53	156	159	0.0		0	0	Spanner	3/4	2	1	0																
54	53	156	159	0.0		0	0	Spanner	3/4	2	1	0															60	60
54	53	156	159	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	449											60	60
54	53	157	160	0.0		1/4	1/4	Spanner	3/4	2	1	0															61	61
