mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	slur	crescendo_hairpin	diminuendo_line	pedal	Pedal_<sym>keyboardPedalPed</sym>
37	36	106	106	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	254								
38	37	109	109	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	255				31				
38	37	439/4	439/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	256				31				
38	37	110	110	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	257				31				
38	37	111	111	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	258				31				
38	37	111	111	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	259				32				
39	38	112	112	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	260								
39	38	114	114	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	261				33				
39	38	229/2	229/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	262				33				
39	38	113	113	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	263								
39	38	113	113	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	264								
39	38	112	112	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	265								
40	39	115	115	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	266				33				
40	39	231/2	231/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	267				33				
40	39	116	116	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	268				33				
40	39	117	117	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	269				33				
40	39	117	117	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	270				33				
41	40	118	118	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	271				33				
41	40	237/2	237/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	272								
41	40	120	120	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	273								
41	40	119	119	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	274		articAccentAbove						
41	40	120	120	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	275								
42	41	121	121	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	276				34				
42	41	487/4	487/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	277				34				
42	41	122	122	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	278				34				
42	41	123	123	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	279								
42	41	121	121	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	280								
42	41	122	122	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	281								
42	41	123	123	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	282								
42	41	121	121	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	283								
42	41	122	122	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	284				35				
42	41	123	123	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	285								
43	42	124	124	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	286								
43	42	124	124	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	287				36				
43	42	499/4	499/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	288				36				
43	42	125	125	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	289				36				
43	42	126	126	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	290								
43	42	125	125	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	291				37				
43	42	126	126	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	292								
44	43	127	127	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	293				38				
44	43	511/4	511/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	294				38				
44	43	128	128	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	295				38				
44	43	129	129	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	296				38				
44	43	129	129	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	297				39				
45	44	130	130	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	298				38				
45	44	132	132	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	299				38				
45	44	131	131	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	300								
45	44	132	132	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	301								
45	44	131	131	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	302								
45	44	132	132	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	303								
45	44	130	130	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	304								
46	45	133	133	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	305				38				
46	45	535/4	535/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	306				38				
46	45	134	134	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	307				38				
46	45	135	135	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	308								
46	45	134	134	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	309								
46	45	135	135	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	310								
46	45	134	134	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	311				40				
46	45	135	135	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	312								
47	46	136	136	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	313								
47	46	136	136	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	314				41				
47	46	547/4	547/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	315				41				
47	46	137	137	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	316				41				
47	46	138	138	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	317								
47	46	137	137	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	318				42				
47	46	138	138	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	319								
48	47	139	139	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	320								
48	47	139	139	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	321								
48	47	139	139	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	322				43				
48	47	559/4	559/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	323				43				
48	47	140	140	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	324				43				
48	47	141	141	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	325				43				
48	47	141	141	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	326				44				
49	48	142	142	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	327				43				
49	48	143	143	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	328								
49	48	142	142	0.0	0	0	Spanner	3/4	2	1	0											18	18
49	48	143	143	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	329							18	18
49	48	145	145	0.0	3/4	3/4	Spanner	3/4	2	1	0												
49	48	142	142	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	330								
