mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	crescendo_hairpin
30	29	86	86	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	259											
30	29	85	85	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	260											
30	29	86	86	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	261											
30	29	85	85	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	262											
30	29	87	87	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	263											
31	30	88	88	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	264							16				
31	30	355/4	355/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	265							16				
31	30	89	89	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	266							16				
31	30	179/2	179/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	267							16				
31	30	90	90	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	268							16				
31	30	88	88	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	269											
31	30	90	90	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	270											
31	30	88	88	0.0	0	0	Spanner	3/4	2	1	0												19	19		
31	30	88	88	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	271								19	19		
31	30	90	90	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	272								19	19		
32	31	91	91	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	273							16				
32	31	183/2	183/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	274							16				
32	31	92	92	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	275							16				
32	31	187/2	187/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	276							16				
32	31	91	91	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	277											
32	31	92	92	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	278											
32	31	93	93	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	279											
32	31	91	91	0.0	0	0	Spanner	3/4	2	1	0															
32	31	91	91	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	280											
32	31	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	281											
33	32	94	94	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	282							16				
33	32	189/2	189/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	283							16				
33	32	95	95	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	284											
33	32	193/2	193/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	285							18				
33	32	94	94	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	286											
33	32	96	96	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	287											
33	32	94	94	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	288											
33	32	96	96	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	289											
34	33	97	97	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	290		articAccentAbove					18				
34	33	99	99	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	291							18				
34	33	199/2	199/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	292							18				
34	33	97	97	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	293											
34	33	98	98	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	294											
34	33	197/2	197/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	295											
34	33	99	99	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	296											
34	33	97	97	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	297											
34	33	98	98	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	298											
34	33	99	99	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	299											
35	34	100	100	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	300							18				
35	34	102	102	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	301											
35	34	100	100	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	302											
35	34	201/2	201/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	303											
35	34	101	101	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	304											
35	34	102	102	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	305											
35	34	100	100	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	306											
35	34	101	101	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	307											
35	34	102	102	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	308											
36	35	103	103	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	309		articAccentAbove					19				
36	35	105	105	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	310							19				
36	35	211/2	211/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	311							19				
36	35	103	103	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	312											
36	35	207/2	207/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	313											
36	35	104	104	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	314											
36	35	209/2	209/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	315											
36	35	105	105	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	316											
36	35	103	103	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	317											
36	35	104	104	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	318											
36	35	105	105	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	319											
37	36	106	106	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	320							19				
37	36	107	107	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	321											
37	36	106	106	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	322											
37	36	213/2	213/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	323											
37	36	107	107	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	324											
37	36	106	106	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	325											
37	36	107	107	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	326											
37	36	108	108	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	327											
38	37	109	109	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	328		articAccentAbove					20				
38	37	111	111	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	329							20				
38	37	223/2	223/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	330							20				
38	37	110	110	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	331											
38	37	221/2	221/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	332											
38	37	111	111	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	333											
38	37	109	109	0.0	0	0	Spanner	3/4	2	1	0												20	20		
38	37	109	109	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	334								20	20		
38	37	110	110	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	335								20	20		
38	37	111	111	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	336								20	20		
39	38	112	112	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	337							20				
39	38	114	114	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	338											
39	38	112	112	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	339											
39	38	225/2	225/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	340											
39	38	113	113	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	341											
39	38	114	114	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	342											
39	38	112	112	0.0	0	0	Spanner	3/4	2	1	0															
39	38	112	112	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	343											
39	38	113	113	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	344											
39	38	114	114	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	345											
40	39	115	115	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	346							21				
40	39	117	117	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	347							21				
40	39	235/2	235/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	348							21				
40	39	115	115	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	349											
40	39	231/2	231/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	350											
40	39	116	116	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	351											
40	39	233/2	233/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	352											
40	39	117	117	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	353											
40	39	115	115	0.0	0	0	Spanner	3/4	2	1	0												21	21		
40	39	115	115	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	354								21	21		
40	39	116	116	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	355								21	21		
40	39	117	117	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	356								21	21		
41	40	118	118	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	357							21				
41	40	119	119	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	358											
41	40	118	118	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	359											
41	40	237/2	237/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	360											
41	40	119	119	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	361											
41	40	118	118	0.0	0	0	Spanner	3/4	2	1	0															
41	40	118	118	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	362											
41	40	119	119	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	363											
41	40	120	120	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	364											
42	41	122	122	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	365							22				
42	41	245/2	245/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	366							22				
42	41	123	123	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	367							22				
42	41	247/2	247/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	368							22				
42	41	121	121	0.0	0	0	Spanner	3/4	2	1	0												22	22		
42	41	121	121	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	369								22	22		
42	41	122	122	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	370								22	22		
42	41	123	123	0.0	1/2	1/2	Spanner	3/4	2	1	0															
42	41	123	123	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	371											
43	42	124	124	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	372		articStaccatoBelow									
43	42	125	125	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	373											
43	42	125	125	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	374							23				
43	42	251/2	251/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	375							23				
43	42	126	126	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	376							23				
43	42	125	125	0.0	1/4	1/4	Spanner	3/4	2	1	0												23	23		
43	42	125	125	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	377								23	23		
43	42	126	126	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	378								23	23		
44	43	127	127	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	379		articStaccatoBelow									
44	43	128	128	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	380							24				
44	43	257/2	257/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	381							24				
44	43	129	129	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	382							24				
44	43	259/2	259/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	383							24				
44	43	127	127	0.0	0	0	Spanner	3/4	2	1	0															
44	43	127	127	0.0	0	0	Spanner	3/4	2	1	0												24	24		
44	43	127	127	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	384								24	24		
44	43	128	128	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	385								24	24		
44	43	129	129	0.0	1/2	1/2	Spanner	3/4	2	1	0															
44	43	129	129	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	386											
45	44	130	130	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	387		articAccentAbove									
45	44	130	130	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	388											
45	44	131	131	0.0	1/4	1/4	Spanner	3/4	2	1	0												25	25		
45	44	131	131	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	389								25	25		
45	44	132	132	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	390								25	25		
46	45	133	133	0.0	0	0	StaffText	3/4	1	1	0							sotto voce								
46	45	133	133	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	391							25				
46	45	135	135	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	392							25				
46	45	134	134	0.0	1/4	1/4	Spanner	3/4	2	1	0															
46	45	134	134	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	393											
46	45	269/2	269/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	394											
46	45	135	135	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	395											
46	45	133	133	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	396											
46	45	135	135	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	397											
46	45	271/2	271/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	398											
47	46	136	136	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	399							25				
47	46	273/2	273/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	400							25				
47	46	137	137	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	401							25				
47	46	137	137	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	402							25				
47	46	275/2	275/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	403							25				
47	46	138	138	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	404							25				
47	46	136	136	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	405											
47	46	137	137	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	406											
47	46	275/2	275/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	407											
47	46	138	138	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	408											
47	46	136	136	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	409											
48	47	139	139	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	410							25				
48	47	140	140	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	411							25				
48	47	281/2	281/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	412							25				
48	47	141	141	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	413							25				
48	47	139	139	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	414											
48	47	140	140	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	415											
48	47	281/2	281/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	416											
48	47	141	141	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	417											
48	47	139	139	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	418											
48	47	141	141	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	419											
48	47	283/2	283/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	420											
49	48	142	142	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	421							25				
49	48	285/2	285/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	422							25				
49	48	143	143	0.0	1/4	1/4	Dynamic	3/4	1	1	0					pp						25				
49	48	143	143	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	423							25				
49	48	144	144	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	424							25				
49	48	289/2	289/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	425							25				
49	48	142	142	0.0	0	0	Spanner	3/4	2	1	0												26	26		
49	48	142	142	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	426								26	26		
50	49	145	145	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	427											
50	49	147	147	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	428							26				
50	49	295/2	295/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	429							26				
50	49	145	145	0.0	0	0	Spanner	3/4	2	1	0															
51	50	148	148	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	430							26				
51	50	297/2	297/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	431							26				
51	50	149	149	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	432							26				
51	50	299/2	299/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	433							26				
51	50	150	150	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	434							26				
51	50	301/2	301/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	435							26				
52	51	151	151	0.0	0	0	Spanner	3/4	1	1	0											26				1
52	51	151	151	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	436							26				1
52	51	303/2	303/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	437							26				1
52	51	152	152	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	438							26				1
52	51	305/2	305/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	439							26				1
52	51	153	153	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	440							26				1
52	51	307/2	307/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	441							26				1
53	52	154	154	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	442							26				1
53	52	309/2	309/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	443							26				1
53	52	155	155	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	444							26				1
53	52	311/2	311/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	445							26				1
53	52	156	156	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	446							26				1
53	52	313/2	313/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	447											1
54	53	157	157	0.0	0	0	Dynamic	3/4	1	1	0					f										
54	53	157	157	0.0	0	0	Spanner	3/4	1	1	0															
54	53	157	157	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	448							27				
54	53	315/2	315/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	449							27				
54	53	158	158	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	450							27				
54	53	317/2	317/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	451							27				
54	53	159	159	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	452							27				
54	53	319/2	319/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	453							27				
54	53	157	157	0.0	0	0	Spanner	3/4	2	1	0												27	27		
54	53	157	157	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	454								27	27		
54	53	158	158	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	455								27	27		
54	53	159	159	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	456								27	27		
55	54	160	160	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	457											
55	54	321/2	321/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	458							28				
55	54	161	161	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	459							28				
55	54	161	161	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	460							28				
55	54	323/2	323/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	461							28				
55	54	162	162	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	462		articAccentAbove									
55	54	160	160	0.0	0	0	Spanner	3/4	2	1	0															
55	54	160	160	0.0	0	0	Spanner	3/4	2	1	0												28	28		
55	54	160	160	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	463								28	28		
55	54	161	161	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	464								28	28		
55	54	162	162	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	465								28	28		
56	55	163	163	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	466							29				
56	55	327/2	327/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	467							29				
56	55	164	164	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	468							29				
56	55	329/2	329/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	469							29				
56	55	165	165	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	470							29				
56	55	331/2	331/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	471							29				
56	55	163	163	0.0	0	0	Spanner	3/4	2	1	0															
56	55	163	163	0.0	0	0	Spanner	3/4	2	1	0												29	29		
56	55	163	163	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	472								29	29		
56	55	164	164	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	473								29	29		
56	55	165	165	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	474								29	29		
57	56	166	166	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	475											
57	56	333/2	333/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	476							30				
57	56	167	167	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	477							30				
57	56	167	167	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	478							30				
57	56	335/2	335/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	479							30				
57	56	168	168	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	480		articAccentAbove									
57	56	166	166	0.0	0	0	Spanner	3/4	2	1	0															
57	56	166	166	0.0	0	0	Spanner	3/4	2	1	0												30	30		
57	56	166	166	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	481								30	30		
57	56	167	167	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	482								30	30		
57	56	168	168	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	483								30	30		
58	57	169	169	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	484							31				
58	57	339/2	339/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	485							31				
58	57	170	170	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	486							31				
58	57	341/2	341/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	487							31				
58	57	171	171	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	488							31				
58	57	343/2	343/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	489							31				
58	57	169	169	0.0	0	0	Spanner	3/4	2	1	0															
58	57	169	169	0.0	0	0	Spanner	3/4	2	1	0												31	31		
58	57	169	169	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	490								31	31		
58	57	170	170	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	491								31	31		
58	57	171	171	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	492								31	31		
59	58	172	172	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	493											
59	58	691/4	691/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	494							32				
59	58	173	173	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	495							32				
59	58	173	173	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	496							32				
59	58	347/2	347/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	497							32				
59	58	174	174	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	498		articAccentAbove									
59	58	172	172	0.0	0	0	Spanner	3/4	2	1	0															
59	58	172	172	0.0	0	0	Spanner	3/4	2	1	0												32	32		
59	58	172	172	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	499								32	32		
59	58	173	173	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	500								32	32		
59	58	174	174	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	501								32	32		
60	59	175	175	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	502							33				
60	59	351/2	351/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	503							33				
60	59	176	176	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	504							33				
60	59	353/2	353/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	505							33				
60	59	177	177	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	506							33				
60	59	355/2	355/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	507							33				
60	59	175	175	0.0	0	0	Spanner	3/4	2	1	0															
60	59	175	175	0.0	0	0	Spanner	3/4	2	1	0												33	33		
60	59	175	175	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	508								33	33		
60	59	176	176	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	509								33	33		
60	59	177	177	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	510								33	33		
61	60	178	178	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	511											
61	60	715/4	715/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	512							34				
61	60	179	179	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	513							34				
61	60	179	179	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	514							34				
61	60	359/2	359/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	515							34				
61	60	180	180	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	516		articAccentBelow									
61	60	178	178	0.0	0	0	Spanner	3/4	2	1	0															
61	60	178	178	0.0	0	0	Spanner	3/4	2	1	0												34	34		
61	60	178	178	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	517								34	34		
61	60	179	179	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	518								34	34		
61	60	180	180	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	519								34	34		
62	61	181	181	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	520							35				
62	61	183	183	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	521							35				
62	61	181	181	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	522											
62	61	182	182	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	523											
62	61	181	181	0.0	0	0	Spanner	3/4	2	1	0															
62	61	181	181	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	524											
62	61	182	182	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	525											
