mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	system_text	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
32	29	509/6	509/6	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	227			2				
32	29	511/6	511/6	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	228							
32	29	171/2	171/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	229	articStaccatoAbove						
32	29	173/2	173/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	230	articStaccatoAbove						
32	29	169/2	169/2	0.0		0	0	Spanner	3/4	2	1	0											
32	29	169/2	169/2	0.0		0	0	Spanner	3/4	2	1	0										13	13
32	29	169/2	169/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	231						13	13
32	29	171/2	171/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	232						13	13
32	29	173/2	173/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	233						13	13
33	30	175/2	175/2	0.0		0	0	Spanner	3/4	1	1	0									8		
33	30	175/2	175/2	0.3333333333333333		0	0	Chord	3/4	1	1	1/12		1/8	2/3	234					8		
33	30	527/6	527/6	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	235					8		
33	30	529/6	529/6	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	236					8		
33	30	177/2	177/2	0.0		1/4	1/4	Spanner	3/4	1	1	0											
33	30	177/2	177/2	0.0		1/4	1/4	Spanner	3/4	1	1	0								10			
33	30	177/2	177/2	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	237				10			
33	30	90	90	0.0		5/8	5/8	Spanner	3/4	1	1	0											
33	30	90	90	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	238							
33	30	175/2	175/2	0.0		0	0	Spanner	3/4	2	1	0											
33	30	175/2	175/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	239							
33	30	177/2	177/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	240							
33	30	179/2	179/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	241							
34	31	181/2	181/2	0.0		0	0	Spanner	3/4	1	1	0								11			
34	31	181/2	181/2	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	242				11			
34	31	181/2	181/2	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	243				11			
34	31	92	92	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	244				11			
34	31	185/2	185/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	245				11			
34	31	93	93	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	246				11			
34	31	181/2	181/2	0.0		0	0	Spanner	3/4	2	1	0										14	14
34	31	181/2	181/2	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	247						14	14
34	31	183/2	183/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	248						14	14
34	31	185/2	185/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	249						14	14
35	32		187/2	0.0	1	0	0	Spanner	3/4	1	1	0											
35	32		187/2	0.5	1	0	0	Chord	3/4	1	1	1/8		1/8	1	250	ornamentTrill						
35	32		377/4	0.25	1	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	251							
35	32		189/2	0.5	1	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	252							
35	32		95	0.5	1	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	253							
35	32		191/2	0.5	1	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	254							
35	32		96	0.5	1	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	255							
35	32		187/2	0.0	1	0	0	Spanner	3/4	2	1	0											
35	32		187/2	0.0	1	0	0	Spanner	3/4	2	1	0										15	15
35	32		187/2	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	256						15	15
35	32		189/2	1.0	1	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	257						15	15
35	32		191/2	0.0	1	1/2	1/2	Spanner	3/4	2	1	0											
36	32	187/2	193/2	0.0	2	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	258							
36	32	187/2	193/2	0.5	2	0	0	Chord	3/4	1	1	1/8		1/8	1	259							
36	32	377/4	389/4	0.25	2	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	260							
36	32	189/2	195/2	1.0	2	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	261							
36	32	187/2	193/2	1.0	2	0	0	Chord	3/4	2	1	1/4		1/4	1	262							
36	32	189/2	195/2	1.0	2	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	263							
